vyanjan,frequency,probability
क,6.0,0.03389830508474576
ख,0.0,0.0
ग,6.0,0.03389830508474576
घ,0.0,0.0
ङ,0.0,0.0
च,0.0,0.0
छ,0.0,0.0
ज,1.0,0.005649717514124294
झ,0.0,0.0
ञ,14.0,0.07909604519774012
ट,0.0,0.0
ठ,0.0,0.0
ड,0.0,0.0
ढ,0.0,0.0
ण,2.0,0.011299435028248588
त,2.0,0.011299435028248588
थ,0.0,0.0
द,0.0,0.0
ध,0.0,0.0
न,3.0,0.01694915254237288
प,4.0,0.022598870056497175
फ,0.0,0.0
ब,1.0,0.005649717514124294
भ,0.0,0.0
म,48.0,0.2711864406779661
य,16.0,0.0903954802259887
र,0.0,0.0
ल,5.0,0.02824858757062147
व,18.0,0.1016949152542373
श,9.0,0.05084745762711865
ष,0.0,0.0
स,41.0,0.23163841807909605
ह,1.0,0.005649717514124294
