vyanjan,frequency,probability
क,49.0,0.054505005561735265
ख,0.0,0.0
ग,17.0,0.018909899888765295
घ,0.0,0.0
ङ,0.0,0.0
च,1.0,0.0011123470522803114
छ,0.0,0.0
ज,2.0,0.002224694104560623
झ,0.0,0.0
ञ,0.0,0.0
ट,0.0,0.0
ठ,0.0,0.0
ड,0.0,0.0
ढ,0.0,0.0
ण,58.0,0.06451612903225806
त,50.0,0.05561735261401557
थ,0.0,0.0
द,72.0,0.08008898776418243
ध,8.0,0.008898776418242492
न,127.0,0.14126807563959956
प,29.0,0.03225806451612903
फ,0.0,0.0
ब,3.0,0.0033370411568409346
भ,13.0,0.014460511679644048
म,61.0,0.067853170189099
य,49.0,0.054505005561735265
र,188.0,0.20912124582869857
ल,9.0,0.010011123470522803
व,17.0,0.018909899888765295
श,117.0,0.13014460511679643
ष,0.0,0.0
स,16.0,0.017797552836484983
ह,13.0,0.014460511679644048
