vyanjan,frequency,probability
क,7.0,0.012939001848428836
ख,0.0,0.0
ग,3.0,0.005545286506469501
घ,0.0,0.0
ङ,0.0,0.0
च,1.0,0.0018484288354898336
छ,0.0,0.0
ज,4.0,0.0073937153419593345
झ,0.0,0.0
ञ,0.0,0.0
ट,0.0,0.0
ठ,0.0,0.0
ड,0.0,0.0
ढ,0.0,0.0
ण,0.0,0.0
त,14.0,0.025878003696857672
थ,0.0,0.0
द,3.0,0.005545286506469501
ध,4.0,0.0073937153419593345
न,110.0,0.2033271719038817
प,6.0,0.011090573012939002
फ,0.0,0.0
ब,2.0,0.0036968576709796672
भ,1.0,0.0018484288354898336
म,44.0,0.08133086876155268
य,12.0,0.022181146025878003
र,239.0,0.4417744916820702
ल,2.0,0.0036968576709796672
व,31.0,0.05730129390018484
श,13.0,0.024029574861367836
ष,0.0,0.0
स,44.0,0.08133086876155268
ह,1.0,0.0018484288354898336
