vyanjan,frequency,probability
क,73.0,0.0641476274165202
ख,5.0,0.004393673110720563
ग,36.0,0.03163444639718805
घ,6.0,0.005272407732864675
ङ,0.0,0.0
च,17.0,0.014938488576449912
छ,0.0,0.0
ज,4.0,0.0035149384885764497
झ,0.0,0.0
ञ,0.0,0.0
ट,0.0,0.0
ठ,0.0,0.0
ड,1.0,0.0008787346221441124
ढ,0.0,0.0
ण,0.0,0.0
त,37.0,0.03251318101933216
थ,0.0,0.0
द,67.0,0.058875219683655534
ध,9.0,0.007908611599297012
न,119.0,0.10456942003514938
प,25.0,0.021968365553602813
फ,0.0,0.0
ब,5.0,0.004393673110720563
भ,25.0,0.021968365553602813
म,217.0,0.19068541300527242
य,71.0,0.06239015817223199
र,135.0,0.11862917398945519
ल,14.0,0.012302284710017574
व,45.0,0.03954305799648506
श,54.0,0.04745166959578207
ष,12.0,0.01054481546572935
स,152.0,0.1335676625659051
ह,9.0,0.007908611599297012
