vyanjan,frequency,probability
क,71.0,0.04476670870113493
ख,2.0,0.0012610340479192938
ग,10.0,0.006305170239596469
घ,0.0,0.0
ङ,13.0,0.00819672131147541
च,17.0,0.010718789407313998
छ,0.0,0.0
ज,6.0,0.0037831021437578815
झ,0.0,0.0
ञ,26.0,0.01639344262295082
ट,10.0,0.006305170239596469
ठ,0.0,0.0
ड,0.0,0.0
ढ,0.0,0.0
ण,23.0,0.014501891551071878
त,161.0,0.10151324085750316
थ,25.0,0.015762925598991173
द,108.0,0.06809583858764187
ध,4.0,0.0025220680958385876
न,108.0,0.06809583858764187
प,41.0,0.025851197982345524
फ,6.0,0.0037831021437578815
ब,4.0,0.0025220680958385876
भ,6.0,0.0037831021437578815
म,125.0,0.07881462799495587
य,29.0,0.01828499369482976
र,446.0,0.2812105926860025
ल,31.0,0.019546027742749054
व,28.0,0.017654476670870115
श,143.0,0.09016393442622951
ष,0.0,0.0
स,120.0,0.07566204287515763
ह,23.0,0.014501891551071878
