vyanjan,frequency,probability
क,0.0,0.0
ख,0.0,0.0
ग,0.0,0.0
घ,0.0,0.0
ङ,0.0,0.0
च,0.0,0.0
छ,0.0,0.0
ज,0.0,0.0
झ,0.0,0.0
ञ,0.0,0.0
ट,0.0,0.0
ठ,0.0,0.0
ड,2.0,0.005420054200542005
ढ,0.0,0.0
ण,1.0,0.0027100271002710027
त,3.0,0.008130081300813009
थ,0.0,0.0
द,10.0,0.02710027100271003
ध,2.0,0.005420054200542005
न,31.0,0.08401084010840108
प,1.0,0.0027100271002710027
फ,0.0,0.0
ब,1.0,0.0027100271002710027
भ,57.0,0.15447154471544716
म,1.0,0.0027100271002710027
य,0.0,0.0
र,31.0,0.08401084010840108
ल,146.0,0.3956639566395664
व,0.0,0.0
श,0.0,0.0
ष,0.0,0.0
स,3.0,0.008130081300813009
ह,80.0,0.21680216802168023
