vyanjan,frequency,probability
क,60.0,0.1088929219600726
ख,0.0,0.0
ग,42.0,0.07622504537205081
घ,0.0,0.0
ङ,18.0,0.032667876588021776
च,0.0,0.0
छ,0.0,0.0
ज,10.0,0.018148820326678767
झ,0.0,0.0
ञ,6.0,0.010889292196007259
ट,1.0,0.0018148820326678765
ठ,0.0,0.0
ड,0.0,0.0
ढ,0.0,0.0
ण,1.0,0.0018148820326678765
त,17.0,0.030852994555353903
थ,0.0,0.0
द,20.0,0.036297640653357534
ध,1.0,0.0018148820326678765
न,14.0,0.025408348457350273
प,1.0,0.0018148820326678765
फ,0.0,0.0
ब,0.0,0.0
भ,1.0,0.0018148820326678765
म,24.0,0.043557168784029036
य,75.0,0.13611615245009073
र,75.0,0.13611615245009073
ल,3.0,0.0054446460980036296
व,166.0,0.30127041742286753
श,4.0,0.007259528130671506
ष,0.0,0.0
स,11.0,0.019963702359346643
ह,1.0,0.0018148820326678765
