vyanjan,frequency,probability
क,101.0,0.043273350471293916
ख,0.0,0.0
ग,24.0,0.010282776349614395
घ,1.0,0.0004284490145672665
ङ,5.0,0.0021422450728363325
च,21.0,0.008997429305912597
छ,0.0,0.0
ज,40.0,0.01713796058269066
झ,0.0,0.0
ञ,4.0,0.001713796058269066
ट,1.0,0.0004284490145672665
ठ,0.0,0.0
ड,0.0,0.0
ढ,0.0,0.0
ण,5.0,0.0021422450728363325
त,431.0,0.18466152527849186
थ,169.0,0.07240788346186804
द,166.0,0.07112253641816624
ध,21.0,0.008997429305912597
न,229.0,0.09811482433590403
प,59.0,0.025278491859468722
फ,2.0,0.000856898029134533
ब,7.0,0.0029991431019708655
भ,30.0,0.012853470437017995
म,348.0,0.14910025706940874
य,46.0,0.01970865467009426
र,32.0,0.013710368466152529
ल,1.0,0.0004284490145672665
व,136.0,0.05826906598114824
श,85.0,0.03641816623821765
ष,3.0,0.0012853470437017994
स,334.0,0.143101970865467
ह,33.0,0.014138817480719794
