vyanjan,frequency,probability
क,228.0,0.0716755737189563
ख,7.0,0.0022005658597925182
ग,37.0,0.011631562401760453
घ,28.0,0.008802263439170073
ङ,3.0,0.0009430996541967935
च,37.0,0.011631562401760453
छ,0.0,0.0
ज,75.0,0.023577491354919836
झ,0.0,0.0
ञ,2.0,0.0006287331027978623
ट,0.0,0.0
ठ,0.0,0.0
ड,0.0,0.0
ढ,0.0,0.0
ण,217.0,0.06821754165356805
त,329.0,0.10342659541024835
थ,136.0,0.04275385099025464
द,94.0,0.02955045583149953
ध,33.0,0.010374096196164728
न,90.0,0.028292989625903806
प,78.0,0.02452059100911663
फ,0.0,0.0
ब,24.0,0.007544797233574348
भ,102.0,0.03206538824269098
म,556.0,0.1747878025778057
य,120.0,0.03772398616787174
र,58.0,0.018233259981138006
ल,9.0,0.0028292989625903803
व,352.0,0.11065702609242377
श,89.0,0.027978623074504872
ष,35.0,0.011002829298962591
स,323.0,0.10154039610185477
ह,119.0,0.03740961961647281
