vyanjan,frequency,probability
क,341.0,0.4434330299089727
ख,3.0,0.0039011703511053317
ग,3.0,0.0039011703511053317
घ,5.0,0.006501950585175552
ङ,26.0,0.033810143042912875
च,6.0,0.007802340702210663
छ,0.0,0.0
ज,9.0,0.011703511053315995
झ,0.0,0.0
ञ,0.0,0.0
ट,0.0,0.0
ठ,0.0,0.0
ड,0.0,0.0
ढ,0.0,0.0
ण,0.0,0.0
त,17.0,0.022106631989596878
थ,0.0,0.0
द,15.0,0.01950585175552666
ध,3.0,0.0039011703511053317
न,15.0,0.01950585175552666
प,49.0,0.06371911573472042
फ,12.0,0.015604681404421327
ब,11.0,0.014304291287386216
भ,22.0,0.02860858257477243
म,83.0,0.10793237971391417
य,35.0,0.045513654096228866
र,6.0,0.007802340702210663
ल,12.0,0.015604681404421327
व,36.0,0.04681404421326398
श,14.0,0.018205461638491547
ष,1.0,0.0013003901170351106
स,43.0,0.055916775032509754
ह,2.0,0.002600780234070221
