vyanjan,frequency,probability
क,96.0,0.038461538461538464
ख,0.0,0.0
ग,27.0,0.010817307692307692
घ,0.0,0.0
ङ,2.0,0.0008012820512820513
च,131.0,0.05248397435897436
छ,0.0,0.0
ज,67.0,0.026842948717948716
झ,0.0,0.0
ञ,6.0,0.002403846153846154
ट,14.0,0.005608974358974359
ठ,0.0,0.0
ड,0.0,0.0
ढ,0.0,0.0
ण,157.0,0.06290064102564102
त,219.0,0.08774038461538461
थ,11.0,0.004407051282051282
द,80.0,0.03205128205128205
ध,63.0,0.025240384615384616
न,378.0,0.15144230769230768
प,44.0,0.017628205128205128
फ,0.0,0.0
ब,8.0,0.003205128205128205
भ,52.0,0.020833333333333332
म,206.0,0.08253205128205128
य,136.0,0.05448717948717949
र,401.0,0.1606570512820513
ल,62.0,0.024839743589743588
व,18.0,0.007211538461538462
श,71.0,0.02844551282051282
ष,3.0,0.001201923076923077
स,218.0,0.08733974358974358
ह,26.0,0.010416666666666666
