vyanjan,frequency,probability
क,91.0,0.1111111111111111
ख,1.0,0.001221001221001221
ग,25.0,0.030525030525030524
घ,0.0,0.0
ङ,21.0,0.02564102564102564
च,6.0,0.007326007326007326
छ,0.0,0.0
ज,0.0,0.0
झ,0.0,0.0
ञ,0.0,0.0
ट,0.0,0.0
ठ,3.0,0.003663003663003663
ड,0.0,0.0
ढ,0.0,0.0
ण,0.0,0.0
त,73.0,0.08913308913308914
थ,0.0,0.0
द,5.0,0.006105006105006105
ध,1.0,0.001221001221001221
न,121.0,0.14774114774114774
प,6.0,0.007326007326007326
फ,0.0,0.0
ब,24.0,0.029304029304029304
भ,1.0,0.001221001221001221
म,52.0,0.06349206349206349
य,56.0,0.06837606837606838
र,202.0,0.24664224664224665
ल,11.0,0.013431013431013432
व,7.0,0.008547008547008548
श,36.0,0.04395604395604396
ष,1.0,0.001221001221001221
स,69.0,0.08424908424908426
ह,7.0,0.008547008547008548
