vyanjan,frequency,probability
क,5.0,0.0059382422802850355
ख,0.0,0.0
ग,8.0,0.009501187648456057
घ,0.0,0.0
ङ,0.0,0.0
च,0.0,0.0
छ,0.0,0.0
ज,2.0,0.0023752969121140144
झ,0.0,0.0
ञ,1.0,0.0011876484560570072
ट,3.0,0.0035629453681710215
ठ,0.0,0.0
ड,3.0,0.0035629453681710215
ढ,0.0,0.0
ण,134.0,0.15914489311163896
त,58.0,0.0688836104513064
थ,0.0,0.0
द,2.0,0.0023752969121140144
ध,3.0,0.0035629453681710215
न,28.0,0.0332541567695962
प,3.0,0.0035629453681710215
फ,0.0,0.0
ब,0.0,0.0
भ,27.0,0.032066508313539195
म,63.0,0.07482185273159145
य,75.0,0.08907363420427554
र,17.0,0.020190023752969122
ल,1.0,0.0011876484560570072
व,20.0,0.023752969121140142
श,4.0,0.004750593824228029
ष,5.0,0.0059382422802850355
स,377.0,0.4477434679334917
ह,3.0,0.0035629453681710215
