vyanjan,frequency,probability
क,34.0,0.019675925925925927
ख,8.0,0.004629629629629629
ग,8.0,0.004629629629629629
घ,2.0,0.0011574074074074073
ङ,94.0,0.05439814814814815
च,15.0,0.008680555555555556
छ,0.0,0.0
ज,14.0,0.008101851851851851
झ,0.0,0.0
ञ,16.0,0.009259259259259259
ट,0.0,0.0
ठ,0.0,0.0
ड,0.0,0.0
ढ,0.0,0.0
ण,0.0,0.0
त,110.0,0.06365740740740741
थ,2.0,0.0011574074074074073
द,54.0,0.03125
ध,4.0,0.0023148148148148147
न,175.0,0.10127314814814815
प,30.0,0.017361111111111112
फ,7.0,0.004050925925925926
ब,8.0,0.004629629629629629
भ,19.0,0.01099537037037037
म,433.0,0.2505787037037037
य,12.0,0.006944444444444444
र,295.0,0.1707175925925926
ल,43.0,0.02488425925925926
व,29.0,0.01678240740740741
श,21.0,0.012152777777777778
ष,1.0,0.0005787037037037037
स,66.0,0.03819444444444445
ह,228.0,0.13194444444444445
