vyanjan,frequency,probability
क,4.0,0.005442176870748299
ख,0.0,0.0
ग,6.0,0.00816326530612245
घ,0.0,0.0
ङ,3.0,0.004081632653061225
च,7.0,0.009523809523809525
छ,0.0,0.0
ज,2.0,0.0027210884353741495
झ,0.0,0.0
ञ,1.0,0.0013605442176870747
ट,0.0,0.0
ठ,0.0,0.0
ड,0.0,0.0
ढ,0.0,0.0
ण,9.0,0.012244897959183673
त,205.0,0.2789115646258503
थ,3.0,0.004081632653061225
द,26.0,0.03537414965986395
ध,0.0,0.0
न,68.0,0.09251700680272108
प,2.0,0.0027210884353741495
फ,0.0,0.0
ब,1.0,0.0013605442176870747
भ,2.0,0.0027210884353741495
म,59.0,0.08027210884353742
य,11.0,0.014965986394557823
र,127.0,0.1727891156462585
ल,12.0,0.0163265306122449
व,32.0,0.04353741496598639
श,3.0,0.004081632653061225
ष,0.0,0.0
स,152.0,0.20680272108843537
ह,0.0,0.0
