digram,frequency,probability
तु,196,0.16512215669755687
ते,120,0.10109519797809605
तं,104,0.08761583824768324
वै,20,0.016849199663016005
हि,135,0.11373209772535804
वा,80,0.06739679865206402
नो,6,0.005054759898904802
सह,52,0.04380791912384162
कौ,4,0.003369839932603201
मम,61,0.051390058972198824
या,11,0.009267059814658803
सा,74,0.062342038753159225
इव,20,0.016849199663016005
यो,12,0.010109519797809604
नौ,1,0.0008424599831508003
मे,88,0.07413647851727043
अथ,5,0.004212299915754001
तौ,40,0.03369839932603201
नः,4,0.003369839932603201
एष,10,0.008424599831508003
तव,30,0.02527379949452401
ये,11,0.009267059814658803
मा,10,0.008424599831508003
इह,8,0.006739679865206402
तत,5,0.004212299915754001
चर,2,0.0016849199663016006
एव,5,0.004212299915754001
यः,6,0.005054759898904802
को,8,0.006739679865206402
दश,6,0.005054759898904802
नु,15,0.012636899747262006
भव,10,0.008424599831508003
भज,1,0.0008424599831508003
कः,2,0.0016849199663016006
का,3,0.002527379949452401
बत,2,0.0016849199663016006
यं,2,0.0016849199663016006
हा,7,0.005897219882055603
नव,1,0.0008424599831508003
खे,2,0.0016849199663016006
गज,1,0.0008424599831508003
कं,2,0.0016849199663016006
खं,1,0.0008424599831508003
भो,1,0.0008424599831508003
यौ,1,0.0008424599831508003
हर,1,0.0008424599831508003
दह,1,0.0008424599831508003
