digram,frequency,probability
िश,324,0.009772576461362129
ार,909,0.02741750618326597
ात,836,0.025215660252156602
ान,1693,0.05106472823792001
ाम,1557,0.04696265910599023
ुर,483,0.014568377872956506
ाप,412,0.012426856487904928
ाश,454,0.013693671955118537
ुश,111,0.003348012306207396
ीर,267,0.008053326898715088
िक,263,0.007932677806599505
िप,282,0.00850576099414852
ाह,284,0.00856608554020631
ाव,532,0.016046329251372383
ृत,465,0.014025456958436388
ीप,84,0.0025336309344272186
ूर,275,0.00829462508294625
ूत,92,0.002774929118658382
ां,1039,0.03133860167702238
ुस,108,0.0032575254871207095
ृष,258,0.007781866441455028
ाज,258,0.007781866441455028
िर,521,0.015714544248054532
ृग,141,0.00425288049707426
ैर,293,0.008837545997466369
ुभ,130,0.003921095493756409
ाक,647,0.01951499064969536
िस,170,0.005127586414912228
ैस,93,0.0028050913916872777
ूज,37,0.0011160041020691319
ित,1397,0.04213669542136696
ैः,187,0.00564034505640345
ाल,298,0.008988357362610847
ुग,76,0.002292332750196055
ाण,354,0.010677444652228993
िन,565,0.017041684261325935
िद,228,0.006876998250588164
ोय,10,0.00030162273028895456
ूल,72,0.002171683658080473
ैश,110,0.0033178500331785005
ोभ,81,0.0024431441153405322
ृक,32,0.0009651927369246547
ुण,122,0.003679797309525246
ाद,445,0.013422211497858478
ुफ,2,6.032454605779092e-05
िह,174,0.00524823550702781
ोम,49,0.0014779513784158773
ोष,55,0.0016589250165892503
ुष,300,0.009048681908668638
ाभ,243,0.007329432346021596
ुन,232,0.0069976473427037465
िभ,159,0.004795801411594378
ुत,360,0.010858418290402365
िय,213,0.006424564155154733
िः,138,0.0041623936779875735
ाग,228,0.006876998250588164
ुप,163,0.004916450503709959
ाघ,200,0.006032454605779091
ीम,186,0.005610182783374555
ंस,170,0.005127586414912228
ेज,76,0.002292332750196055
िज,114,0.003438499125294082
ुः,105,0.003167038668034023
िव,426,0.012849128310309465
ोप,114,0.003438499125294082
ास,663,0.019997587018157688
ीत,448,0.013512698316945165
ैद,118,0.003559148217409664
ेह,151,0.004554503227363214
ीं,192,0.005791156421547928
ोद,124,0.0037401218555830366
िण,130,0.003921095493756409
ैव,157,0.004735476865536587
ुञ,24,0.000723894552693491
ाः,405,0.01221572057670266
ृह,63,0.0019002232008204138
ृढ,14,0.0004222718224045364
ूप,143,0.0043132050431320505
ंह,45,0.0013573022863002957
ौक,4,0.00012064909211558183
ुम,241,0.007269107799963806
ुव,156,0.004705314592507692
ेष,258,0.007781866441455028
ृश,124,0.0037401218555830366
ेत,249,0.007510405984194969
