digram,frequency,probability
आर,12,0.010704727921498661
अभ,42,0.03746654772524532
आश,21,0.01873327386262266
अत,24,0.021409455842997322
आज,10,0.008920606601248885
इन,5,0.0044603033006244425
एव,78,0.0695807314897413
अन,58,0.05173951828724353
आम,4,0.003568242640499554
अव,28,0.024977698483496878
इव,54,0.04817127564674398
अङ,4,0.003568242640499554
अध,9,0.008028545941123996
अह,34,0.030330062444246207
इय,8,0.007136485280999108
अब,23,0.020517395182872437
अद,28,0.024977698483496878
इत,79,0.0704727921498662
अथ,15,0.013380909901873328
इक,4,0.003568242640499554
उत,22,0.019625334522747548
अप,50,0.04460303300624442
अय,25,0.02230151650312221
उच,3,0.0026761819803746653
एष,19,0.01694915254237288
उद,18,0.016057091882247992
इद,22,0.019625334522747548
अख,1,0.0008920606601248885
अस,35,0.031222123104371096
अर,18,0.016057091882247992
इम,16,0.014272970561998216
उर,1,0.0008920606601248885
एत,38,0.03389830508474576
इह,18,0.016057091882247992
अग,25,0.02230151650312221
अक,10,0.008920606601248885
ऋष,17,0.015165031222123104
आव,9,0.008028545941123996
अश,17,0.015165031222123104
आक,5,0.0044603033006244425
ऊच,2,0.001784121320249777
एह,3,0.0026761819803746653
उप,23,0.020517395182872437
आख,2,0.001784121320249777
उव,32,0.028545941123996433
आप,6,0.0053523639607493305
अम,12,0.010704727921498661
आग,8,0.007136485280999108
आब,2,0.001784121320249777
आत,10,0.008920606601248885
उष,2,0.001784121320249777
औद,1,0.0008920606601248885
आस,19,0.01694915254237288
अल,8,0.007136485280999108
आच,2,0.001784121320249777
आद,3,0.0026761819803746653
उल,2,0.001784121320249777
ऋक,7,0.006244424620874219
अच,4,0.003568242640499554
ऋत,3,0.0026761819803746653
ऋज,1,0.0008920606601248885
एन,4,0.003568242640499554
आह,3,0.0026761819803746653
एक,11,0.009812667261373774
ऊर,3,0.0026761819803746653
आय,3,0.0026761819803746653
अष,2,0.001784121320249777
ऐश,2,0.001784121320249777
आन,9,0.008028545941123996
अज,7,0.006244424620874219
ऐर,1,0.0008920606601248885
ओष,1,0.0008920606601248885
इच,4,0.003568242640499554
उक,1,0.0008920606601248885
औष,1,0.0008920606601248885
इं,1,0.0008920606601248885
उभ,1,0.0008920606601248885
ईद,2,0.001784121320249777
ईप,1,0.0008920606601248885
उन,1,0.0008920606601248885
इङ,1,0.0008920606601248885
ऋश,1,0.0008920606601248885
