digram,frequency,probability
रव,352,0.004741762534687609
वि,1374,0.01850903898483175
तु,724,0.009752943395209742
मह,591,0.007961311528410163
हा,587,0.007907427863243258
रण,217,0.0029231888353045774
यं,454,0.006115795996443678
दण,58,0.0007813131449201174
डक,49,0.000660074898294582
का,738,0.009941536223293908
यम,348,0.004687878869520705
मा,1305,0.017579545760702642
मव,85,0.0011450278847967238
वा,1473,0.01984265969771264
दद,72,0.0009699059730042838
दर,188,0.002532532262844519
रा,2450,0.0330037449147291
मो,161,0.0021688175229679124
दु,210,0.0028288924212624945
धर,239,0.003219548993722553
षस,377,0.005078535441980764
ता,1536,0.020691327424091386
पस,120,0.0016165099550071397
सा,615,0.00828461351941159
रम,556,0.007489829458199747
मम,256,0.003448554570681898
मण,378,0.005092006358272489
डल,30,0.0004041274887517849
लम,83,0.0011180860522132716
कु,221,0.0029770725004714823
शच,6,8.082549775035698e-05
ची,27,0.0003637147398766064
रप,78,0.0010507314707546406
पर,446,0.006008028666109869
रि,724,0.009752943395209742
षि,265,0.003569792817307433
तं,521,0.007018347387989331
या,1532,0.02063744375892448
लक,341,0.0045935824554786215
सम,433,0.0058329067543174285
वृ,162,0.0021822884392596383
तम,394,0.005307541018940108
यथ,169,0.0022765848533017217
था,423,0.005698197591400167
रद,94,0.0012662661314222594
दी,141,0.001899399197133389
शं,119,0.0016030390387154134
गग,11,0.0001481800792089878
गन,70,0.0009429641404208314
ने,285,0.0038392111431419565
सू,60,0.0008082549775035698
शर,202,0.002721125090928685
सर,295,0.0039739203060592185
वभ,52,0.0007004876471697605
भू,212,0.0028558342538459467
ना,1026,0.013821160115311043
सु,361,0.0048630007813131445
मृ,229,0.0030848398308052916
टा,103,0.0013875043780477948
जि,92,0.001239324298838807
रं,331,0.00445887329256136
सद,54,0.0007274294797532128
दा,396,0.005334482851523561
गै,26,0.0003502438235848802
बह,80,0.001077673303338093
हु,127,0.0017108063690492227
भि,392,0.005280599186356656
की,48,0.0006466039820028558
णं,137,0.0018455155319664844
पक,71,0.0009564350567125576
सङ,94,0.0012662661314222594
घै,12,0.00016165099550071395
पू,102,0.0013740334617560687
रन,90,0.0012123824662553548
नृ,35,0.0004714820702104157
नि,977,0.013161085217016462
मप,125,0.0016838645364657704
रस,323,0.00435110596222755
गण,33,0.0004445402376269634
णै,74,0.000996847805587736
शा,250,0.003367729072931541
लै,40,0.0005388366516690465
रग,37,0.000498423902793868
रु,535,0.007206940216073497
भा,284,0.0038257402268502302
डै,1,1.3470916291726164e-05
रज,75,0.0010103187218794623
नै,85,0.0011450278847967238
शै,39,0.0005253657353773203
मि,693,0.009335344990166231
तो,370,0.0049842390279386806
यक,101,0.0013605625454643426
कल,34,0.00045801115391868956
लश,14,0.00018859282808416627
फल,51,0.0006870167308780343
मू,66,0.0008890804752539268
शो,173,0.002330468518468626
यै,62,0.0008351968100870222
षै,20,0.00026941832583452326
पु,368,0.004957297195355228
बल,146,0.0019667537785920198
लि,104,0.001400975294339521
हो,55,0.000740900396044939
चि,287,0.0038661529757254088
रह,119,0.0016030390387154134
मघ,9,0.00012123824662553547
घो,93,0.001252795215130533
षन,28,0.00037718565616833255
दि,362,0.004876471697604871
पै,17,0.00022900557695934478
चा,300,0.004041274887517849
पद,108,0.0014548589595064255
सप,30,0.0004041274887517849
मय,148,0.001993695611175472
ला,251,0.0033811999892232668
शन,121,0.0016299808712988658
तै,85,0.0011450278847967238
रक,228,0.0030713689145135652
कृ,264,0.0035563219010157072
णा,406,0.005469192014440822
बर,31,0.0004175984050435111
रै,133,0.0017916318667995797
यव,136,0.0018320446156747583
वै,243,0.0032734326588894575
नर,135,0.001818573699383032
भै,16,0.00021553466066761862
मु,544,0.007328178462699033
वु,25,0.00033677290729315407
यत,431,0.005805964921733977
मर,216,0.002909717919012851
तद,196,0.002640299593178328
मभ,73,0.0009833768892960099
भव,166,0.002236172104426543
वन,378,0.005092006358272489
नप,25,0.00033677290729315407
रख,7,9.429641404208314e-05
पश,143,0.0019263410297168414
दृ,243,0.0032734326588894575
घव,158,0.002128404774092734
वः,68,0.0009160223078373791
री,294,0.003960449389767492
यग,24,0.0003233019910014279
गच,67,0.0009025513915456529
छन,29,0.0003906565724600587
ते,735,0.00990112347441873
जा,227,0.003057897998221839
हद,26,0.0003502438235848802
धन,110,0.001481800792089878
नु,268,0.0036102055661826117
यज,40,0.0005388366516690465
ञा,67,0.0009025513915456529
नो,136,0.0018320446156747583
पप,41,0.0005523075679607727
पन,108,0.0014548589595064255
मं,159,0.00214187569038446
हर,127,0.0017108063690492227
षय,75,0.0010103187218794623
यः,99,0.0013336207128808902
दे,314,0.004229867715602015
ही,151,0.0020341083600506505
यश,85,0.0011450278847967238
शस,69,0.0009294932241291052
नी,215,0.002896247002721125
सो,70,0.0009429641404208314
वो,103,0.0013875043780477948
यन,229,0.0030848398308052916
मच,29,0.0003906565724600587
णम,120,0.0016165099550071397
चै,75,0.0010103187218794623
मङ,5,6.735458145863082e-05
गल,10,0.00013470916291726163
रय,120,0.0016165099550071397
यु,358,0.004822588032437966
रत,329,0.004431931459977907
गृ,95,0.0012797370477139855
णन,11,0.0001481800792089878
ढव,4,5.3883665166904655e-05
रू,202,0.002721125090928685
सं,238,0.0032060780774308267
हन,68,0.0009160223078373791
नन,119,0.0016030390387154134
नं,290,0.003906565724600588
मी,67,0.0009025513915456529
सौ,129,0.001737748201632675
वे,277,0.0037314438128081473
षत,58,0.0007813131449201174
शु,126,0.0016973354527574965
मस,234,0.0031521944122639223
नव,45,0.0006061912331276774
सि,327,0.004404989627394456
नः,220,0.002963601584179756
चर,149,0.0020071665274671983
यभ,30,0.0004041274887517849
नच,17,0.00022900557695934478
णः,135,0.001818573699383032
हि,333,0.004485815125144813
गा,197,0.002653770509470054
तह,12,0.00016165099550071395
ति,883,0.011894819085594203
थि,197,0.002653770509470054
णश,34,0.00045801115391868956
वं,292,0.0039335075571840395
शय,56,0.0007543713123366651
तत,432,0.005819435838025702
सत,110,0.001481800792089878
धि,184,0.002478648597677614
पा,460,0.006196621494194035
वक,96,0.0012932079640057116
को,64,0.0008621386426704745
पम,125,0.0016838645364657704
जह,27,0.0003637147398766064
सल,43,0.0005792494005442251
लं,82,0.0011046151359215455
पं,51,0.0006870167308780343
वम,206,0.0027750087560955896
मन,362,0.004876471697604871
दय,49,0.000660074898294582
यि,126,0.0016973354527574965
मज,73,0.0009833768892960099
तः,380,0.005118948190855942
जल,42,0.0005657784842524988
लय,35,0.0004714820702104157
यो,282,0.003798798394266778
लो,214,0.002882776086429399
जन,207,0.002788479672387316
नस,152,0.002047579276342377
यस,334,0.004499286041436538
डध,1,1.3470916291726164e-05
रो,305,0.00410862946897648
गु,65,0.0008756095589622006
ये,388,0.005226715521189751
चत,55,0.000740900396044939
गः,16,0.00021553466066761862
तस,488,0.006573807150362368
वर,401,0.005401837432982191
भो,38,0.0005118948190855942
भु,54,0.0007274294797532128
ङक,1,1.3470916291726164e-05
कन,36,0.0004849529865021419
नम,217,0.0029231888353045774
वय,136,0.0018320446156747583
वत,219,0.0029501306678880296
वद,80,0.001077673303338093
नग,36,0.0004849529865021419
गर,72,0.0009699059730042838
थो,45,0.0006061912331276774
रः,105,0.0014144462106312472
डा,11,0.0001481800792089878
जञ,1,1.3470916291726164e-05
तक,97,0.0013066788802974377
धा,235,0.003165665328555648
षण,134,0.0018051027830913058
णी,60,0.0008082549775035698
शश,36,0.0004849529865021419
दग,17,0.00022900557695934478
भभ,1,1.3470916291726164e-05
तप,148,0.001993695611175472
पो,39,0.0005253657353773203
जय,49,0.000660074898294582
तथ,100,0.0013470916291726163
तर,177,0.002384352183635531
पय,29,0.0003906565724600587
नत,37,0.000498423902793868
मे,412,0.005550017512191179
वग,27,0.0003637147398766064
हत,205,0.0027615378398038633
षश,4,5.3883665166904655e-05
दू,81,0.0010911442196298192
से,138,0.0018589864482582105
वस,218,0.0029366597515963037
तव,155,0.0020879920252175554
षल,1,1.3470916291726164e-05
लत,17,0.00022900557695934478
कू,25,0.00033677290729315407
शक,91,0.0012258533825470809
झि,1,1.3470916291726164e-05
गत,221,0.0029770725004714823
मध,60,0.0008082549775035698
सी,294,0.003960449389767492
तय,135,0.001818573699383032
सह,228,0.0030713689145135652
थस,41,0.0005523075679607727
नघ,6,8.082549775035698e-05
गि,52,0.0007004876471697605
शृ,27,0.0003637147398766064
भं,22,0.0002963601584179756
षा,194,0.0026133577605948755
दं,139,0.0018724573645499368
गम,129,0.001737748201632675
भी,65,0.0008756095589622006
षं,54,0.0007274294797532128
कट,4,5.3883665166904655e-05
टं,43,0.0005792494005442251
षम,63,0.0008486677263787483
बी,4,5.3883665166904655e-05
भत,17,0.00022900557695934478
घं,3,4.041274887517849e-05
सन,175,0.0023574103510520784
कम,76,0.0010237896381711884
वौ,20,0.00026941832583452326
कौ,31,0.0004175984050435111
पृ,60,0.0008082549775035698
दश,117,0.0015760972061319612
सव,29,0.0003906565724600587
धं,61,0.000821725893795296
गज,17,0.00022900557695934478
जस,79,0.001064202387046367
शि,177,0.002384352183635531
सज,14,0.00018859282808416627
शू,75,0.0010103187218794623
ले,95,0.0012797370477139855
नद,67,0.0009025513915456529
दन,127,0.0017108063690492227
मै,98,0.001320149796589164
ली,108,0.0014548589595064255
यध,21,0.0002828892421262494
धः,27,0.0003637147398766064
कः,21,0.0002828892421262494
के,156,0.0021014629415092813
वी,279,0.0037583856453915995
जट,27,0.0003637147398766064
रध,33,0.0004445402376269634
रौ,76,0.0010237896381711884
सभ,19,0.0002559474095427971
यौ,20,0.00026941832583452326
षी,51,0.0006870167308780343
णज,10,0.00013470916291726163
जी,83,0.0011180860522132716
तौ,123,0.001656922703882318
टौ,7,9.429641404208314e-05
रच,37,0.000498423902793868
णौ,51,0.0006870167308780343
कथ,68,0.0009160223078373791
थं,109,0.0014683298757981519
सय,12,0.00016165099550071395
सः,68,0.0009160223078373791
मद,67,0.0009025513915456529
पौ,19,0.0002559474095427971
षक,5,6.735458145863082e-05
हं,143,0.0019263410297168414
गं,40,0.0005388366516690465
धो,57,0.0007678422286283913
भक,60,0.0008082549775035698
धे,49,0.000660074898294582
धस,44,0.0005927203168359512
सग,8,0.00010776733033380931
नक,73,0.0009833768892960099
पत,161,0.0021688175229679124
कद,27,0.0003637147398766064
दल,9,0.00012123824662553547
कग,6,8.082549775035698e-05
खे,17,0.00022900557695934478
रे,334,0.004499286041436538
कस,72,0.0009699059730042838
खस,14,0.00018859282808416627
जप,12,0.00016165099550071395
यद,166,0.002236172104426543
दभ,13,0.0001751219117924401
कै,58,0.0007813131449201174
थे,62,0.0008351968100870222
घद,1,1.3470916291726164e-05
यय,46,0.0006196621494194035
पि,323,0.00435110596222755
सक,34,0.00045801115391868956
खत,1,1.3470916291726164e-05
यह,33,0.0004445402376269634
बा,174,0.0023439394347603525
कप,29,0.0003906565724600587
लु,26,0.0003502438235848802
मः,101,0.0013605625454643426
कि,107,0.0014413880432146994
णि,170,0.0022900557695934476
भर,75,0.0010103187218794623
बभ,57,0.0007678422286283913
वज,67,0.0009025513915456529
चल,10,0.00013470916291726163
जब,2,2.6941832583452328e-05
लव,36,0.0004849529865021419
गव,33,0.0004445402376269634
यप,59,0.0007947840612118436
नय,71,0.0009564350567125576
तन,76,0.0010237896381711884
घू,3,4.041274887517849e-05
हस,152,0.002047579276342377
खम,33,0.0004445402376269634
छत,34,0.00045801115391868956
थः,16,0.00021553466066761862
वल,62,0.0008351968100870222
नौ,22,0.0002963601584179756
गो,71,0.0009564350567125576
छा,42,0.0005657784842524988
बो,6,8.082549775035698e-05
शत,73,0.0009833768892960099
णो,91,0.0012258533825470809
दज,2,2.6941832583452328e-05
वध,63,0.0008486677263787483
छे,29,0.0003906565724600587
भे,40,0.0005388366516690465
सृ,36,0.0004849529865021419
पे,74,0.000996847805587736
षौ,13,0.0001751219117924401
पल,31,0.0004175984050435111
चे,70,0.0009429641404208314
तल,37,0.000498423902793868
चन,164,0.002209230271843091
पच,17,0.00022900557695934478
षु,133,0.0017916318667995797
णे,138,0.0018589864482582105
छर,14,0.00018859282808416627
शी,76,0.0010237896381711884
जघ,14,0.00018859282808416627
घा,40,0.0005388366516690465
णव,25,0.00033677290729315407
खा,66,0.0008890804752539268
सस,66,0.0008890804752539268
जो,25,0.00033677290729315407
वव,18,0.00024247649325107094
कय,13,0.0001751219117924401
जृ,4,5.3883665166904655e-05
भम,24,0.0003233019910014279
णस,88,0.0011854406336719023
तच,52,0.0007004876471697605
छू,2,2.6941832583452328e-05
लन,15,0.00020206374437589246
रभ,102,0.0013740334617560687
भृ,28,0.00037718565616833255
खच,1,1.3470916291726164e-05
छि,33,0.0004445402376269634
कर,272,0.0036640892313495165
खड,8,0.00010776733033380931
गौ,8,0.00010776733033380931
मौ,47,0.0006331330657111297
भौ,23,0.00030983107470970175
तू,21,0.0002828892421262494
मब,76,0.0010237896381711884
वह,26,0.0003502438235848802
मल,68,0.0009160223078373791
पथ,25,0.00033677290729315407
वब,8,0.00010776733033380931
धग,3,4.041274887517849e-05
चक,71,0.0009564350567125576
धत,14,0.00018859282808416627
जग,93,0.001252795215130533
खो,9,0.00012123824662553547
घन,13,0.0001751219117924401
टो,27,0.0003637147398766064
धै,17,0.00022900557695934478
चु,18,0.00024247649325107094
जौ,13,0.0001751219117924401
रथ,136,0.0018320446156747583
थी,16,0.00021553466066761862
रर,58,0.0007813131449201174
हल,12,0.00016165099550071395
थौ,8,0.00010776733033380931
वच,131,0.0017646900342161273
भञ,6,8.082549775035698e-05
दक,49,0.000660074898294582
भग,42,0.0005657784842524988
नब,5,6.735458145863082e-05
घस,9,0.00012123824662553547
लः,50,0.0006735458145863081
टि,32,0.00043106932133523724
थण,2,2.6941832583452328e-05
डि,24,0.0003233019910014279
खङ,15,0.00020206374437589246
शम,52,0.0007004876471697605
भय,75,0.0010103187218794623
षव,20,0.00026941832583452326
जे,23,0.00030983107470970175
खन,7,9.429641404208314e-05
हे,88,0.0011854406336719023
जर,24,0.0003233019910014279
हच,7,9.429641404208314e-05
चस,24,0.0003233019910014279
धम,44,0.0005927203168359512
कण,13,0.0001751219117924401
ठे,9,0.00012123824662553547
रश,89,0.0011989115499636284
चः,22,0.0002963601584179756
षर,17,0.00022900557695934478
षभ,27,0.0003637147398766064
यब,7,9.429641404208314e-05
दह,13,0.0001751219117924401
बु,57,0.0007678422286283913
शप,6,8.082549775035698e-05
वण,157,0.0021149338578010076
नश,54,0.0007274294797532128
गे,66,0.0008890804752539268
हम,59,0.0007947840612118436
हश,3,4.041274887517849e-05
भङ,18,0.00024247649325107094
पव,28,0.00037718565616833255
यर,32,0.00043106932133523724
धय,12,0.00016165099550071395
भः,15,0.00020206374437589246
वट,14,0.00018859282808416627
टे,21,0.0002828892421262494
शल,11,0.0001481800792089878
धी,21,0.0002828892421262494
धश,13,0.0001751219117924401
पी,34,0.00045801115391868956
गस,52,0.0007004876471697605
ठं,11,0.0001481800792089878
शङ,21,0.0002828892421262494
हव,32,0.00043106932133523724
बि,35,0.0004714820702104157
थव,18,0.00024247649325107094
थम,48,0.0006466039820028558
मत,134,0.0018051027830913058
लप,49,0.000660074898294582
हृ,97,0.0013066788802974377
टर,4,5.3883665166904655e-05
दत,50,0.0006735458145863081
तभ,9,0.00012123824662553547
दध,8,0.00010776733033380931
षः,16,0.00021553466066761862
कष,2,2.6941832583452328e-05
वप,44,0.0005927203168359512
जम,35,0.0004714820702104157
शे,80,0.001077673303338093
षग,8,0.00010776733033380931
डु,8,0.00010776733033380931
रघ,28,0.00037718565616833255
लस,43,0.0005792494005442251
डे,5,6.735458145863082e-05
धू,25,0.00033677290729315407
जु,21,0.0002828892421262494
टम,17,0.00022900557695934478
हय,11,0.0001481800792089878
हू,43,0.0005792494005442251
गप,14,0.00018859282808416627
णय,6,8.082549775035698e-05
ती,188,0.002532532262844519
तब,11,0.0001481800792089878
पञ,26,0.0003502438235848802
चव,15,0.00020206374437589246
है,8,0.00010776733033380931
दम,61,0.000821725893795296
ठा,11,0.0001481800792089878
रष,35,0.0004714820702104157
टु,27,0.0003637147398766064
षे,72,0.0009699059730042838
छद,14,0.00018859282808416627
दः,24,0.0003233019910014279
दौ,13,0.0001751219117924401
लब,11,0.0001481800792089878
धव,31,0.0004175984050435111
तश,91,0.0012258533825470809
गश,9,0.00012123824662553547
दो,35,0.0004714820702104157
कं,63,0.0008486677263787483
मक,48,0.0006466039820028558
वश,71,0.0009564350567125576
ञः,6,8.082549775035698e-05
चौ,2,2.6941832583452328e-05
चम,13,0.0001751219117924401
चं,11,0.0001481800792089878
यच,21,0.0002828892421262494
सश,21,0.0002828892421262494
शः,34,0.00045801115391868956
चय,27,0.0003637147398766064
जं,12,0.00016165099550071395
लख,3,4.041274887517849e-05
खि,26,0.0003502438235848802
लू,5,6.735458145863082e-05
खल,9,0.00012123824662553547
थै,30,0.0004041274887517849
जक,6,8.082549775035698e-05
पट,10,0.00013470916291726163
टव,5,6.735458145863082e-05
ढय,1,1.3470916291726164e-05
ञम,3,4.041274887517849e-05
थश,9,0.00012123824662553547
तृ,25,0.00033677290729315407
मश,45,0.0006061912331276774
ञं,3,4.041274887517849e-05
षड,3,4.041274887517849e-05
लफ,12,0.00016165099550071395
ञश,4,5.3883665166904655e-05
णभ,6,8.082549775035698e-05
ठो,5,6.735458145863082e-05
थग,6,8.082549775035698e-05
सै,62,0.0008351968100870222
षो,37,0.000498423902793868
हथ,3,4.041274887517849e-05
छय,6,8.082549775035698e-05
धृ,24,0.0003233019910014279
पः,33,0.0004445402376269634
जै,7,9.429641404208314e-05
घम,8,0.00010776733033380931
टस,16,0.00021553466066761862
पफ,6,8.082549775035698e-05
लद,15,0.00020206374437589246
पङ,13,0.0001751219117924401
कज,9,0.00012123824662553547
घु,26,0.0003502438235848802
जश,3,4.041274887517849e-05
कव,26,0.0003502438235848802
धु,36,0.0004849529865021419
छृ,4,5.3883665166904655e-05
जः,29,0.0003906565724600587
नह,9,0.00012123824662553547
तध,7,9.429641404208314e-05
षज,2,2.6941832583452328e-05
थय,16,0.00021553466066761862
नध,9,0.00012123824662553547
लग,3,4.041274887517849e-05
मष,5,6.735458145863082e-05
खै,10,0.00013470916291726163
षह,3,4.041274887517849e-05
जत,25,0.00033677290729315407
ढम,3,4.041274887517849e-05
यफ,2,2.6941832583452328e-05
गय,14,0.00018859282808416627
यू,21,0.0002828892421262494
फु,11,0.0001481800792089878
जष,1,1.3470916291726164e-05
डव,4,5.3883665166904655e-05
तट,5,6.735458145863082e-05
लौ,8,0.00010776733033380931
बध,2,2.6941832583452328e-05
ठस,12,0.00016165099550071395
णप,10,0.00013470916291726163
ठि,6,8.082549775035698e-05
भद,20,0.00026941832583452326
चश,13,0.0001751219117924401
णध,4,5.3883665166904655e-05
कच,19,0.0002559474095427971
छु,2,2.6941832583452328e-05
गद,26,0.0003502438235848802
भट,1,1.3470916291726164e-05
पध,4,5.3883665166904655e-05
ठत,22,0.0002963601584179756
छस,32,0.00043106932133523724
णत,13,0.0001751219117924401
गक,1,1.3470916291726164e-05
थञ,14,0.00018859282808416627
शध,1,1.3470916291726164e-05
लभ,22,0.0002963601584179756
ञे,14,0.00018859282808416627
शब,24,0.0003233019910014279
भन,14,0.00018859282808416627
खं,30,0.0004041274887517849
पज,6,8.082549775035698e-05
नभ,25,0.00033677290729315407
धौ,6,8.082549775035698e-05
ढं,9,0.00012123824662553547
खण,2,2.6941832583452328e-05
डय,3,4.041274887517849e-05
दव,17,0.00022900557695934478
घे,2,2.6941832583452328e-05
सध,4,5.3883665166904655e-05
लर,6,8.082549775035698e-05
लज,9,0.00012123824662553547
खग,4,5.3883665166904655e-05
थब,1,1.3470916291726164e-05
बद,10,0.00013470916291726163
बम,1,1.3470916291726164e-05
रल,9,0.00012123824662553547
लङ,26,0.0003502438235848802
बै,1,1.3470916291726164e-05
लच,6,8.082549775035698e-05
गी,22,0.0002963601584179756
कश,21,0.0002828892421262494
हज,2,2.6941832583452328e-05
शव,7,9.429641404208314e-05
टप,10,0.00013470916291726163
डम,5,6.735458145863082e-05
षट,3,4.041274887517849e-05
दप,29,0.0003906565724600587
नष,12,0.00016165099550071395
ञो,11,0.0001481800792089878
कञ,3,4.041274887517849e-05
थल,5,6.735458145863082e-05
डस,4,5.3883665166904655e-05
मग,41,0.0005523075679607727
नू,37,0.000498423902793868
पभ,6,8.082549775035698e-05
दस,16,0.00021553466066761862
सञ,16,0.00021553466066761862
डू,6,8.082549775035698e-05
खर,123,0.001656922703882318
पह,23,0.00030983107470970175
घृ,5,6.735458145863082e-05
धद,3,4.041274887517849e-05
नल,14,0.00018859282808416627
वञ,6,8.082549775035698e-05
धप,6,8.082549775035698e-05
हः,10,0.00013470916291726163
तज,12,0.00016165099550071395
शठ,3,4.041274887517849e-05
ठः,2,2.6941832583452328e-05
तग,22,0.0002963601584179756
मञ,1,1.3470916291726164e-05
बे,5,6.735458145863082e-05
शह,7,9.429641404208314e-05
चो,46,0.0006196621494194035
णु,21,0.0002828892421262494
रब,24,0.0003233019910014279
हप,2,2.6941832583452328e-05
ठश,1,1.3470916291726164e-05
ठप,2,2.6941832583452328e-05
टी,13,0.0001751219117924401
सख,8,0.00010776733033380931
मथ,12,0.00016165099550071395
चच,14,0.00018859282808416627
लह,2,2.6941832583452328e-05
टन,6,8.082549775035698e-05
षष,5,6.735458145863082e-05
जज,10,0.00013470916291726163
ञि,1,1.3470916291726164e-05
शद,5,6.735458145863082e-05
दै,16,0.00021553466066761862
तङ,11,0.0001481800792089878
वथ,11,0.0001481800792089878
गू,4,5.3883665166904655e-05
डो,4,5.3883665166904655e-05
धक,7,9.429641404208314e-05
षञ,1,1.3470916291726164e-05
छल,2,2.6941832583452328e-05
कत,5,6.735458145863082e-05
टज,3,4.041274887517849e-05
तख,1,1.3470916291726164e-05
थप,4,5.3883665166904655e-05
जू,2,2.6941832583452328e-05
चू,6,8.082549775035698e-05
पग,10,0.00013470916291726163
णख,21,0.0002828892421262494
खद,4,5.3883665166904655e-05
टल,1,1.3470916291726164e-05
ढप,1,1.3470916291726164e-05
लघ,5,6.735458145863082e-05
सफ,7,9.429641404208314e-05
पब,4,5.3883665166904655e-05
टः,6,8.082549775035698e-05
वङ,2,2.6941832583452328e-05
तऋ,1,1.3470916291726164e-05
यण,5,6.735458145863082e-05
णक,10,0.00013470916291726163
थन,3,4.041274887517849e-05
तण,1,1.3470916291726164e-05
खः,3,4.041274887517849e-05
टत,4,5.3883665166904655e-05
हग,6,8.082549775035698e-05
लष,1,1.3470916291726164e-05
घब,3,4.041274887517849e-05
यी,12,0.00016165099550071395
पण,23,0.00030983107470970175
शग,25,0.00033677290729315407
जव,14,0.00018859282808416627
लध,3,4.041274887517849e-05
यञ,4,5.3883665166904655e-05
खी,11,0.0001481800792089878
धज,4,5.3883665166904655e-05
यङ,5,6.735458145863082e-05
सच,15,0.00020206374437589246
दब,3,4.041274887517849e-05
भज,10,0.00013470916291726163
वष,3,4.041274887517849e-05
टभ,6,8.082549775035698e-05
बन,31,0.0004175984050435111
फे,6,8.082549775035698e-05
सब,8,0.00010776733033380931
डर,2,2.6941832583452328e-05
सथ,2,2.6941832583452328e-05
जद,3,4.041274887517849e-05
घप,5,6.735458145863082e-05
टक,15,0.00020206374437589246
हब,1,1.3470916291726164e-05
बण,1,1.3470916291726164e-05
थह,1,1.3470916291726164e-05
कह,2,2.6941832583452328e-05
हौ,4,5.3883665166904655e-05
थु,9,0.00012123824662553547
