ngram,frequency,probability
।। ,1663,0.00817705311396737
क्ष,1342,0.0065986802639472104
प्र,1078,0.005300579228416612
 रा,1058,0.005202238240876415
म्।,1056,0.005192404142122395
्य ,1002,0.004926883475763864
ां ,905,0.004449929686193909
्या,861,0.004233579513605475
स्त,840,0.004130321476688269
स्य,834,0.00410081918042621
ः।।,768,0.0037762939215435602
त्व,747,0.0036730358846263533
्।।,745,0.003663201785872334
ान्,698,0.003432100465152871
न्त,667,0.0032796719344655658
 प्,660,0.003245252588826497
्रा,657,0.0032305014406954673
्वा,657,0.0032305014406954673
त्र,653,0.0032108332431874283
 वि,623,0.003063321761877133
राम,566,0.0027830499473875717
तं ,518,0.002547031577291099
श्च,485,0.002384768947849774
वा ,484,0.0023798518984727646
ं व,479,0.002355266651587715
र्व,471,0.0023159302565716367
्ष्,470,0.0023110132071946267
ाक्,470,0.0023110132071946267
तस्,456,0.0022421745159164888
 मह,451,0.0022175892690314398
त्य,450,0.00221267221965443
यं ,449,0.00220775517027742
स्स,449,0.00220775517027742
ं प,439,0.0021585846765073214
ं त,438,0.002153667627130312
ं स,434,0.0021339994296222724
। त,427,0.0020995800839832034
्त्,427,0.0020995800839832034
ात्,413,0.0020307413927050655
या ,407,0.0020012390964430065
ष्ट,399,0.0019619027014269276
ः प,393,0.0019324004051648686
ते ,389,0.0019127322076568293
 च ,386,0.0018979810595257998
महा,383,0.0018832299113947701
क्त,381,0.0018733958126407506
ति ,374,0.0018389764670016817
ेन ,365,0.001794723022608593
्षस,362,0.0017799718744775635
िष्,360,0.0017701377757235437
ार्,351,0.0017258843313304553
ं म,349,0.0017160502325764355
श्र,348,0.0017111331831994258
र्य,344,0.0016914649856913863
ित्,343,0.0016865479363143766
तु ,340,0.0016717967881833468
ष्य,337,0.0016570456400523174
र्म,337,0.0016570456400523174
ास्,336,0.0016521285906753076
्मण,335,0.0016472115412982976
्च ,326,0.0016029580969052091
 नि,326,0.0016029580969052091
त्त,322,0.0015832898993971697
्रम,322,0.0015832898993971697
रं ,320,0.0015734558006431502
राक,318,0.0015636217018891304
 त्,317,0.0015587046525121205
लक्,314,0.001543953504381091
ता ,310,0.0015242853068730517
क्र,310,0.0015242853068730517
ं र,308,0.001514451208119032
िता,306,0.0015046171093650122
स्थ,301,0.001480031862479963
द्र,298,0.0014652807143489335
्रि,298,0.0014652807143489335
