pattern,frequency,probability
VVV,3926,0.11470476524381336
VVM,7411,0.21652496567037718
VVS,0,0.0
VMV,18113,0.5292020919157391
VMM,388,0.011336079703158326
VMS,1,2.921670026587197e-05
VSV,2,5.843340053174394e-05
VSM,0,0.0
VSS,0,0.0
MVV,1604,0.04686358722645864
MVM,2233,0.06524089169369211
MVS,0,0.0
MMV,45,0.0013147515119642387
MMM,0,0.0
MMS,0,0.0
MSV,0,0.0
MSM,0,0.0
MSS,0,0.0
SVV,256,0.007479475268063225
SVM,247,0.007216524965670377
SVS,0,0.0
SMV,1,2.921670026587197e-05
SMM,0,0.0
SMS,0,0.0
SSV,0,0.0
SSM,0,0.0
SSS,0,0.0
