trigram,frequency,probability
ारण,61,0.003098176646858652
ामो,85,0.004317131393163695
ापस,32,0.0016252729950733912
ुशच,2,0.00010157956219208695
ीरप,3,0.00015236934328813042
ावृ,26,0.0013205343084971303
ृतम,35,0.0017776423383615216
ूता,37,0.0018792219005536086
ाना,238,0.012087967900858348
ुसम,9,0.0004571080298643913
ाजि,22,0.0011173751841129565
िरं,20,0.0010157956219208695
ृगै,4,0.0002031591243841739
ुभि,35,0.0017776423383615216
िरा,88,0.004469500736451826
ाकी,9,0.0004571080298643913
िसङ,12,0.0006094773731525217
ूजि,8,0.0004063182487683478
ितं,101,0.005129767890700391
िशा,96,0.004875818985220173
ालै,9,0.0004571080298643913
ैरग,2,0.00010157956219208695
िशर,4,0.0002031591243841739
ैरज,5,0.0002539489054802174
िनै,1,5.0789781096043474e-05
ुशै,2,0.00010157956219208695
ोयक,1,5.0789781096043474e-05
ूलै,6,0.00030473868657626083
ोभि,37,0.0018792219005536086
ितम,108,0.005485296358372695
ादु,16,0.0008126364975366956
ुफल,2,0.00010157956219208695
िहो,7,0.00035552846767230434
ोमा,12,0.0006094773731525217
ोषन,3,0.00015236934328813042
िना,126,0.006399512418101478
ादि,68,0.0034537051145309564
ूला,22,0.0011173751841129565
ाशन,35,0.0017776423383615216
ीरक,9,0.0004571080298643913
ानर,20,0.0010157956219208695
ाभै,4,0.0002031591243841739
ुरा,61,0.003098176646858652
ाणै,23,0.001168164965209
ुनि,61,0.003098176646858652
िभि,55,0.002793437960282391
ुतम,20,0.0010157956219208695
ियत,25,0.001269744527401087
ाहा,24,0.0012189547463050433
ारै,8,0.0004063182487683478
ाभा,32,0.0016252729950733912
ागै,5,0.0002539489054802174
ैरु,13,0.0006602671542485652
ुपश,7,0.00035552846767230434
ाघव,153,0.007770836507694652
ीमा,35,0.0017776423383615216
ांस,70,0.003555284676723043
ाते,41,0.0020823810249377826
ेजा,26,0.0013205343084971303
ानो,25,0.001269744527401087
ोपप,4,0.0002031591243841739
ामं,90,0.0045710802986439125
ीता,182,0.009243740159479912
ैदे,115,0.005840824826044999
ेही,80,0.004063182487683478
िनी,87,0.0044187109553557825
ोमम,2,0.00010157956219208695
िवो,11,0.0005586875920564783
ारि,68,0.0034537051145309564
िणम,18,0.0009142160597287826
ानि,210,0.01066585403016913
ृढव,4,0.0002031591243841739
ूपस,8,0.0004063182487683478
ंहन,4,0.0002031591243841739
ौकु,2,0.00010157956219208695
ुमा,36,0.0018284321194575652
ुवे,10,0.0005078978109604348
ेषत,7,0.00035552846767230434
ृशु,7,0.00035552846767230434
िता,306,0.015541673015389303
ाका,41,0.0020823810249377826
ारा,68,0.0034537051145309564
ामस,130,0.006602671542485652
ासि,56,0.0028442277413784347
िनः,34,0.0017268525572654782
ैरन,12,0.0006094773731525217
िमि,38,0.001930011681649652
िषै,3,0.00015236934328813042
ैरि,20,0.0010157956219208695
िणः,26,0.0013205343084971303
ैनं,5,0.0002539489054802174
ागा,17,0.0008634262786327391
ूतह,5,0.0002539489054802174
िते,58,0.0029458073035705215
िथि,9,0.0004571080298643913
ाला,58,0.0029458073035705215
ाया,117,0.005942404388237087
ेशय,2,0.00010157956219208695
िधि,17,0.0008634262786327391
ावक,23,0.001168164965209
ोपम,44,0.002234750368225913
िलं,3,0.00015236934328813042
ूलं,7,0.00035552846767230434
िवे,30,0.0015236934328813044
ेदय,2,0.00010157956219208695
ुवन,14,0.0007110569353446087
ालो,18,0.0009142160597287826
ायश,16,0.0008126364975366956
ूजन,6,0.00030473868657626083
ीयश,4,0.0002031591243841739
ाजा,42,0.002133170806033826
ुरु,62,0.0031489664279546956
ागः,1,5.0789781096043474e-05
ोगा,11,0.0005586875920564783
ुङक,1,5.0789781096043474e-05
ेलो,2,0.00010157956219208695
ोकन,5,0.0002539489054802174
ृतः,15,0.0007618467164406522
िषय,7,0.00035552846767230434
ाजञ,1,5.0789781096043474e-05
ितक,11,0.0005586875920564783
ोधा,13,0.0006602671542485652
िया,64,0.0032505459901467824
ीया,15,0.0007618467164406522
ोधन,8,0.0004063182487683478
िवि,43,0.0021839605871298694
िधा,56,0.0028442277413784347
ूजय,11,0.0005586875920564783
ायव,3,0.00015236934328813042
ायं,14,0.0007110569353446087
ामा,132,0.006704251104677739
ासु,29,0.0014729036517852608
ुरी,15,0.0007618467164406522
ृता,97,0.004926608766316217
ाति,72,0.0036568642389151304
ोदय,7,0.00035552846767230434
ुनी,11,0.0005586875920564783
ेवा,49,0.0024886992737061303
ाहत,9,0.0004571080298643913
ामृ,18,0.0009142160597287826
ृगग,3,0.00015236934328813042
ेवि,23,0.001168164965209
ागु,4,0.0002031591243841739
िला,23,0.001168164965209
ाशय,9,0.0004571080298643913
ाशक,5,0.0002539489054802174
िझि,1,5.0789781096043474e-05
िका,33,0.0016760627761694348
ागण,1,5.0789781096043474e-05
ानु,86,0.004367921174259739
ुगत,4,0.0002031591243841739
ीतय,43,0.0021839605871298694
ाकु,60,0.0030473868657626088
िनघ,1,5.0789781096043474e-05
ोरम,9,0.0004571080298643913
ृगा,19,0.000965005840824826
ायु,70,0.003555284676723043
ुते,4,0.0002031591243841739
िरि,38,0.001930011681649652
िशृ,5,0.0002539489054802174
ाभं,6,0.00030473868657626083
ुषा,35,0.0017776423383615216
ादं,23,0.001168164965209
ीरा,12,0.0006094773731525217
िकट,2,0.00010157956219208695
िषम,16,0.0008126364975366956
ोदर,14,0.0007110569353446087
ीभत,2,0.00010157956219208695
िकृ,22,0.0011173751841129565
ृतं,34,0.0017268525572654782
ोरद,9,0.0004571080298643913
ानं,96,0.004875818985220173
ैया,1,5.0789781096043474e-05
ुधि,40,0.002031591243841739
िरो,16,0.0008126364975366956
ासन,19,0.000965005840824826
िवा,89,0.00452029051754787
ुरो,21,0.001066585403016913
ृकौ,1,5.0789781096043474e-05
ृषत,5,0.0002539489054802174
िषा,19,0.000965005840824826
ाणं,13,0.0006602671542485652
ायस,21,0.001066585403016913
ूले,3,0.00015236934328813042
िनद,9,0.0004571080298643913
ैथि,67,0.0034029153334349128
िली,62,0.0031489664279546956
ावत,28,0.0014221138706892174
ुसङ,6,0.00030473868657626083
ैरव,11,0.0005586875920564783
ालय,21,0.001066585403016913
ेदि,25,0.001269744527401087
ेना,59,0.002996597084666565
ादा,61,0.003098176646858652
ीमप,6,0.00030473868657626083
ुवा,62,0.0031489664279546956
ाची,2,0.00010157956219208695
ीरध,1,5.0789781096043474e-05
ीणज,3,0.00015236934328813042
ीवि,53,0.0026918583980903043
ितौ,23,0.001168164965209
ापा,29,0.0014729036517852608
