trigram,frequency,probability
आरण,1,0.0013531799729364006
अति,8,0.010825439783491205
आजह,2,0.0027063599458728013
एवम,53,0.07171853856562922
अवस,2,0.0027063599458728013
इवा,18,0.02435723951285521
अधर,2,0.0027063599458728013
अहं,15,0.02029769959404601
इयं,7,0.009472259810554804
इति,37,0.05006765899864682
अना,7,0.009472259810554804
अथो,1,0.0013531799729364006
अयम,6,0.008119079837618403
इदं,17,0.023004059539918808
अभि,19,0.02571041948579161
अनु,14,0.018944519621109608
इतो,2,0.0027063599458728013
अवट,2,0.0027063599458728013
अखन,1,0.0013531799729364006
अवध,2,0.0027063599458728013
अवर,1,0.0013531799729364006
असं,2,0.0027063599458728013
अपश,5,0.006765899864682003
इमे,3,0.0040595399188092015
उरो,1,0.0013531799729364006
एतद,11,0.014884979702300407
इहै,1,0.0013531799729364006
इदम,3,0.0040595399188092015
इहो,2,0.0027063599458728013
ऋषि,4,0.005412719891745603
अहम,8,0.010825439783491205
आवा,3,0.0040595399188092015
इमा,10,0.013531799729364006
अशय,1,0.0013531799729364006
आका,2,0.0027063599458728013
ऊचु,2,0.0027063599458728013
एहि,3,0.0040595399188092015
एवं,18,0.02435723951285521
एतच,4,0.005412719891745603
उपा,7,0.009472259810554804
इमम,1,0.0013531799729364006
अहत,3,0.0040595399188092015
उवा,32,0.04330175913396482
एतस,5,0.006765899864682003
उपस,5,0.006765899864682003
उदय,1,0.0013531799729364006
आपृ,1,0.0013531799729364006
ऋषी,7,0.009472259810554804
अवि,2,0.0027063599458728013
अमा,4,0.005412719891745603
अरि,1,0.0013531799729364006
एषा,6,0.008119079837618403
आगन,1,0.0013531799729364006
आबध,2,0.0027063599458728013
अयं,11,0.014884979702300407
एतन,1,0.0013531799729364006
अपर,4,0.005412719891745603
उषि,2,0.0027063599458728013
अगस,11,0.014884979702300407
आमन,3,0.0040595399188092015
आरा,1,0.0013531799729364006
औदा,1,0.0013531799729364006
अमो,1,0.0013531799729364006
अने,10,0.013531799729364006
अलङ,2,0.0027063599458728013
इहा,3,0.0040595399188092015
अतश,2,0.0027063599458728013
अपि,16,0.02165087956698241
आसस,3,0.0040595399188092015
आचच,2,0.0027063599458728013
अदि,3,0.0040595399188092015
आदि,3,0.0040595399188092015
उलू,1,0.0013531799729364006
अपत,2,0.0027063599458728013
आगत,2,0.0027063599458728013
इयम,1,0.0013531799729364006
अदू,1,0.0013531799729364006
अचि,2,0.0027063599458728013
ऋतु,1,0.0013531799729364006
अवश,10,0.013531799729364006
एते,7,0.009472259810554804
आजा,1,0.0013531799729364006
ऋजु,1,0.0013531799729364006
अनृ,2,0.0027063599458728013
आसी,5,0.006765899864682003
अरण,1,0.0013531799729364006
अपू,3,0.0040595399188092015
एनं,2,0.0027063599458728013
असप,1,0.0013531799729364006
एना,2,0.0027063599458728013
उपे,1,0.0013531799729364006
अमर,4,0.005412719891745603
उपल,1,0.0013531799729364006
उपग,1,0.0013531799729364006
अपय,1,0.0013531799729364006
इवो,9,0.012178619756427604
अचू,1,0.0013531799729364006
अला,1,0.0013531799729364006
अशि,1,0.0013531799729364006
ऋषय,2,0.0027063599458728013
अमी,1,0.0013531799729364006
आहत,1,0.0013531799729364006
आपद,1,0.0013531799729364006
एकश,2,0.0027063599458728013
आवि,2,0.0027063599458728013
अनी,1,0.0013531799729364006
अवष,2,0.0027063599458728013
एकं,1,0.0013531799729364006
अदद,1,0.0013531799729364006
असङ,2,0.0027063599458728013
ऊरु,1,0.0013531799729364006
इवर,1,0.0013531799729364006
आयस,1,0.0013531799729364006
आगच,2,0.0027063599458728013
अहो,7,0.009472259810554804
आजघ,1,0.0013531799729364006
एतत,6,0.008119079837618403
अपा,3,0.0040595399188092015
आनी,1,0.0013531799729364006
अकम,3,0.0040595399188092015
उपय,1,0.0013531799729364006
अथै,2,0.0027063599458728013
असा,1,0.0013531799729364006
आपग,1,0.0013531799729364006
असौ,4,0.005412719891745603
अरो,1,0.0013531799729364006
आनय,7,0.009472259810554804
आसन,2,0.0027063599458728013
आशङ,1,0.0013531799729364006
आरक,1,0.0013531799729364006
अशी,1,0.0013531799729364006
उदी,1,0.0013531799729364006
उपो,1,0.0013531799729364006
अजे,1,0.0013531799729364006
ऐरा,1,0.0013531799729364006
अभय,1,0.0013531799729364006
अयु,5,0.006765899864682003
अपभ,1,0.0013531799729364006
आयु,2,0.0027063599458728013
एका,2,0.0027063599458728013
अजै,1,0.0013531799729364006
अगर,1,0.0013531799729364006
अनू,1,0.0013531799729364006
अजा,2,0.0027063599458728013
एकप,1,0.0013531799729364006
अमृ,1,0.0013531799729364006
अयो,2,0.0027063599458728013
एकव,1,0.0013531799729364006
अदृ,5,0.006765899864682003
अवज,1,0.0013531799729364006
अकृ,2,0.0027063599458728013
अकु,1,0.0013531799729364006
इदा,2,0.0027063599458728013
आसा,3,0.0040595399188092015
आजग,5,0.006765899864682003
इवौ,1,0.0013531799729364006
उपच,1,0.0013531799729364006
अपक,2,0.0027063599458728013
आरु,2,0.0027063599458728013
अवत,1,0.0013531799729364006
इंद,1,0.0013531799729364006
अनर,1,0.0013531799729364006
अजि,1,0.0013531799729364006
उपव,1,0.0013531799729364006
उभा,1,0.0013531799729364006
उदर,1,0.0013531799729364006
अवे,4,0.005412719891745603
अथा,2,0.0027063599458728013
अशक,3,0.0040595399188092015
अनि,2,0.0027063599458728013
आगम,3,0.0040595399188092015
उपश,1,0.0013531799729364006
अबन,1,0.0013531799729364006
उपत,1,0.0013531799729364006
अभव,1,0.0013531799729364006
एता,2,0.0027063599458728013
उपन,1,0.0013531799729364006
अया,1,0.0013531799729364006
आशी,1,0.0013531799729364006
इती,4,0.005412719891745603
अपह,1,0.0013531799729364006
आपि,1,0.0013531799729364006
आने,1,0.0013531799729364006
असक,1,0.0013531799729364006
अधि,3,0.0040595399188092015
ईदृ,2,0.0027063599458728013
असि,1,0.0013531799729364006
अधो,1,0.0013531799729364006
अलं,4,0.005412719891745603
एतौ,1,0.0013531799729364006
असु,1,0.0013531799729364006
अपन,1,0.0013531799729364006
अशो,5,0.006765899864682003
अशु,2,0.0027063599458728013
उदा,2,0.0027063599458728013
अथव,4,0.005412719891745603
आवृ,3,0.0040595399188092015
ऊरू,1,0.0013531799729364006
अवग,1,0.0013531799729364006
अपस,1,0.0013531799729364006
ऋति,1,0.0013531799729364006
असे,1,0.0013531799729364006
इतस,2,0.0027063599458728013
अपव,1,0.0013531799729364006
आकर,2,0.0027063599458728013
एकस,2,0.0027063599458728013
इतर,1,0.0013531799729364006
एवै,1,0.0013531799729364006
आपत,1,0.0013531799729364006
एकम,1,0.0013531799729364006
उपर,1,0.0013531799729364006
असम,1,0.0013531799729364006
इमं,2,0.0027063599458728013
उदक,2,0.0027063599458728013
आसे,2,0.0027063599458728013
आवय,1,0.0013531799729364006
एके,1,0.0013531799729364006
आहा,2,0.0027063599458728013
अदग,1,0.0013531799729364006
अरज,1,0.0013531799729364006
ऋतव,1,0.0013531799729364006
अशर,1,0.0013531799729364006
ऋषे,1,0.0013531799729364006
अरव,1,0.0013531799729364006
एतै,1,0.0013531799729364006
