trigram,frequency,probability
रवि,53,0.0010438618951017272
विश,93,0.0018316821932917102
महा,383,0.007543379355169086
हार,82,0.0016150316112894649
डका,45,0.0008862978354637307
कार,148,0.0029149351033029365
यमा,119,0.002343765387115199
मात,102,0.002008941760384456
मवा,12,0.00023634608945699486
वान,170,0.003348236267307427
ददर,42,0.000827211313099482
राम,566,0.011147657219388258
दुर,73,0.0014377720441967187
ताप,55,0.0010832529100112264
पसा,26,0.0005120831938234888
साश,6,0.00011817304472849743
रमम,32,0.0006302562385519863
ममण,6,0.00011817304472849743
डलम,9,0.00017725956709274614
कुश,21,0.000413605656549741
शची,6,0.00011817304472849743
चीर,13,0.0002560415969117444
रपर,7,0.000137868552183247
परि,166,0.003269454237488429
रिक,29,0.0005711697161877375
षिप,56,0.001102948417465976
राह,66,0.0012999034920134717
समा,89,0.0017529001634727119
माव,29,0.0005711697161877375
वृत,104,0.0020483327752939553
यथा,136,0.0026785890138459416
रदी,9,0.00017725956709274614
दीप,52,0.0010241663876469776
गगन,6,0.00011817304472849743
गने,3,5.9086522364248715e-05
सूर,38,0.0007484292832804837
यमण,2,3.939101490949914e-05
शरण,19,0.00037421464164024185
वभू,26,0.0005120831938234888
भूत,66,0.0012999034920134717
तान,198,0.0038997104760404152
नां,129,0.002540720461662695
सुस,29,0.0005711697161877375
मृष,23,0.00045299667145924015
टाज,1,1.969550745474957e-05
जिर,3,5.9086522364248715e-05
सदा,13,0.0002560415969117444
मृग,138,0.002717980028755441
गैर,10,0.0001969550745474957
बहु,57,0.0011226439249207255
हुभ,18,0.0003545191341854923
भिर,69,0.0013589900143777204
राक,318,0.006263171370610364
कीर,35,0.000689342760916235
षिस,9,0.00017725956709274614
घैस,1,1.969550745474957e-05
पूज,34,0.0006696472534614854
जित,57,0.0011226439249207255
रनृ,1,1.969550745474957e-05
नृत,7,0.000137868552183247
नित,45,0.0008862978354637307
यमप,10,0.0001969550745474957
सरस,10,0.0001969550745474957
रसा,27,0.0005317787012782384
सां,43,0.0008469068205542316
गणै,9,0.00017725956709274614
णैः,24,0.0004726921789139897
शाल,43,0.0008469068205542316
लैर,18,0.0003545191341854923
निश,90,0.0017725956709274614
रणै,9,0.00017725956709274614
रुग,1,1.969550745474957e-05
भाण,3,5.9086522364248715e-05
डैर,1,1.969550745474957e-05
रजि,8,0.00015756405963799657
जिन,12,0.00023634608945699486
नैः,11,0.0002166505820022453
शैः,4,7.878202981899828e-05
समि,3,5.9086522364248715e-05
मिद,47,0.0009256888503732299
भिस,36,0.0007090382683709846
तोय,8,0.00015756405963799657
यकल,2,3.939101490949914e-05
कलश,2,3.939101490949914e-05
लशै,1,1.969550745474957e-05
फलम,11,0.0002166505820022453
लमू,6,0.00011817304472849743
मूल,21,0.000413605656549741
लैश,4,7.878202981899828e-05
शोभ,44,0.0008666023280089811
भित,44,0.0008666023280089811
यैश,12,0.00023634608945699486
हाव,37,0.0007287337758257341
वृक,25,0.0004923876863687392
षैः,4,7.878202981899828e-05
पुण,29,0.0005711697161877375
यैस,8,0.00015756405963799657
वाद,42,0.000827211313099482
दुफ,1,1.969550745474957e-05
फलै,9,0.00017725956709274614
बलि,8,0.00015756405963799657
लिह,3,5.9086522364248715e-05
होम,2,3.939101490949914e-05
मार,115,0.002264983357296201
चित,119,0.002343765387115199
मघो,3,5.9086522364248715e-05
घोष,8,0.00015756405963799657
षनि,4,7.878202981899828e-05
निन,27,0.0005317787012782384
नाद,69,0.0013589900143777204
दित,107,0.002107419297658204
पुष,75,0.0014771630591062178
पैश,2,3.939101490949914e-05
चान,27,0.0005317787012782384
यैः,6,0.00011817304472849743
मिन,68,0.0013392945069229708
सपद,3,5.9086522364248715e-05
मया,96,0.001890768715655959
लाश,14,0.000275737104366494
शनै,6,0.00011817304472849743
नैर,12,0.00023634608945699486
दान,52,0.0010241663876469776
तैश,13,0.0002560415969117444
रकृ,15,0.00029543261182124356
कृष,23,0.00045299667145924015
णाज,10,0.0001969550745474957
नाम,165,0.0032497587300336795
बरै,1,1.969550745474957e-05
रैः,41,0.0008075158056447324
यवै,4,7.878202981899828e-05
वैश,19,0.00037421464164024185
नरा,27,0.0005317787012782384
राभ,29,0.0005711697161877375
भैश,1,1.969550745474957e-05
पुर,91,0.001792291178382211
राण,115,0.002264983357296201
णैर,37,0.0007287337758257341
मुन,76,0.0014968585665609674
निभ,38,0.0007484292832804837
वुत,4,7.878202981899828e-05
निय,19,0.00037421464164024185
यता,76,0.0014968585665609674
ताह,18,0.0003545191341854923
परम,52,0.0010241663876469776
रमर,17,0.0003348236267307427
षिभ,12,0.00023634608945699486
भिः,67,0.0013195989994682212
मभव,4,7.878202981899828e-05
भवन,20,0.0003939101490949914
वनप,1,1.969550745474957e-05
मवि,20,0.0003939101490949914
विद,73,0.0014377720441967187
हाभ,20,0.0003939101490949914
भाग,30,0.0005908652236424871
मणै,1,1.969550745474957e-05
रुप,16,0.00031512811927599313
पशो,15,0.00029543261182124356
दृष,137,0.0026982845213006914
राघ,153,0.0030134126405766846
घवः,31,0.0006105607310972367
रीम,42,0.000827211313099482
मां,99,0.0019498552380202076
यगच,4,7.878202981899828e-05
हात,81,0.0015953361038347153
तेज,71,0.0013983810292872195
विज,67,0.0013195989994682212
कृत,218,0.004293620625135407
महद,23,0.00045299667145924015
धनु,49,0.000965079865282729
नुः,13,0.0002560415969117444
दिव,57,0.0011226439249207255
ञान,11,0.0002166505820022453
नोप,12,0.00023634608945699486
पपन,3,5.9086522364248715e-05
नास,38,0.0007484292832804837
महर,36,0.0007090382683709846
षयः,13,0.0002560415969117444
तदा,88,0.0017332046560179623
रीत,20,0.0003939101490949914
वैद,117,0.0023043743722057
देह,128,0.002521024954207945
हीं,46,0.0009059933429184803
यशस,18,0.0003545191341854923
विन,170,0.003348236267307427
नीम,29,0.0005711697161877375
सोम,7,0.000137868552183247
ममि,4,7.878202981899828e-05
मिव,89,0.0017529001634727119
वोद,13,0.0002560415969117444
मचा,15,0.00029543261182124356
चार,85,0.0016741181336537136
रिण,61,0.0012014259547397238
मणं,34,0.0006696472534614854
चैव,58,0.001142339432375475
गला,1,1.969550745474957e-05
लान,52,0.0010241663876469776
रयु,9,0.00017725956709274614
युञ,2,3.939101490949914e-05
जान,53,0.0010438618951017272
नाः,34,0.0006696472534614854
यगृ,1,1.969550745474957e-05
गृह,59,0.0011620349398302247
दृढ,14,0.000275737104366494
रता,29,0.0005711697161877375
ताः,95,0.0018710732082012093
रूप,136,0.0026785890138459416
पसं,8,0.00015756405963799657
संह,20,0.0003939101490949914
हनन,2,3.939101490949914e-05
ननं,3,5.9086522364248715e-05
मीं,2,3.939101490949914e-05
सौक,2,3.939101490949914e-05
कुम,12,0.00023634608945699486
सुव,17,0.0003348236267307427
वेष,39,0.0007681247907352333
षता,6,0.00011817304472849743
ताम,163,0.0032103677151241804
ददृ,12,0.00023634608945699486
दृश,81,0.0015953361038347153
शुर,9,0.00017725956709274614
विस,34,0.0006696472534614854
मित,158,0.0031118901778504323
ताक,9,0.00017725956709274614
वनव,6,0.00011817304472849743
नवा,12,0.00023634608945699486
वास,105,0.002068028282748705
सिन,22,0.0004333011640044906
नेत,19,0.00037421464164024185
रैर,48,0.0009453843578279794
रनि,25,0.0004923876863687392
निम,38,0.0007484292832804837
मिष,55,0.0010832529100112264
षैर,13,0.0002560415969117444
रिव,52,0.0010241663876469776
यभू,2,3.939101490949914e-05
शुः,1,1.969550745474957e-05
वनच,7,0.000137868552183247
नचा,10,0.0001969550745474957
रैन,2,3.939101490949914e-05
तहि,5,9.847753727374786e-05
हित,117,0.0023043743722057
तिथ,12,0.00023634608945699486
थिं,2,3.939101490949914e-05
णशा,10,0.0001969550745474957
लाय,11,0.0002166505820022453
यां,154,0.003033108148031434
घवं,11,0.0002166505820022453
संन,1,1.969550745474957e-05
यवे,2,3.939101490949914e-05
वेश,29,0.0005711697161877375
शयन,10,0.0001969550745474957
ततो,65,0.001280207984558722
विध,89,0.0017529001634727119
धिन,11,0.0002166505820022453
पाव,28,0.000551474208732988
वको,3,5.9086522364248715e-05
कोप,13,0.0002560415969117444
पमा,27,0.0005317787012782384
माः,19,0.00037421464164024185
रुस,7,0.000137868552183247
गाः,12,0.00023634608945699486
सलि,12,0.00023634608945699486
लिल,12,0.00023634608945699486
फलं,7,0.000137868552183247
वमा,33,0.0006499517460067358
माश,56,0.001102948417465976
रमं,27,0.0005317787012782384
मनः,65,0.001280207984558722
निव,74,0.0014574675516514683
वेद,35,0.000689342760916235
दयि,9,0.00017725956709274614
यित,64,0.0012605124771039725
ञास,6,0.00011817304472849743
ततः,66,0.0012999034920134717
राञ,7,0.000137868552183247
जलय,3,5.9086522364248715e-05
लयो,6,0.00011817304472849743
रुव,38,0.0007484292832804837
मपा,6,0.00011817304472849743
पाल,21,0.000413605656549741
जनस,48,0.0009453843578279794
यास,89,0.0017529001634727119
हाय,46,0.0009059933429184803
यशा,13,0.0002560415969117444
शाः,12,0.00023634608945699486
जनी,15,0.00029543261182124356
नीय,22,0.0004333011640044906
मान,229,0.004510271207137652
राज,205,0.0040375790282236625
डधर,1,1.969550745474957e-05
धरो,3,5.9086522364248715e-05
गुर,11,0.0002166505820022453
रुः,4,7.878202981899828e-05
येह,6,0.00011817304472849743
चतु,36,0.0007090382683709846
तुर,87,0.0017135091485632127
रजा,16,0.00031512811927599313
षति,3,5.9086522364248715e-05
माद,50,0.0009847753727374785
वरा,55,0.0010832529100112264
रान,117,0.0023043743722057
भोग,10,0.0001969550745474957
गान,31,0.0006105607310972367
यान,91,0.001792291178382211
भुङ,1,1.969550745474957e-05
तेल,1,1.969550745474957e-05
लोक,129,0.002540720461662695
कनम,2,3.939101490949914e-05
नमस,6,0.00011817304472849743
वयं,23,0.00045299667145924015
भवत,28,0.000551474208732988
वता,30,0.0005908652236424871
भवद,3,5.9086522364248715e-05
विष,137,0.0026982845213006914
षयव,2,3.939101490949914e-05
यवा,48,0.0009453843578279794
नगर,5,9.847753727374786e-05
गरस,1,1.969550745474957e-05
वनस,9,0.00017725956709274614
जने,11,0.0002166505820022453
नेश,3,5.9086522364248715e-05
वरः,21,0.000413605656549741
तदण,2,3.939101490949914e-05
रोध,42,0.000827211313099482
तेन,108,0.0021271148051129536
रिय,176,0.0034664093120359246
याः,42,0.000827211313099482
षणी,5,9.847753727374786e-05
णीय,10,0.0001969550745474957
वया,63,0.001240816969649223
वदग,1,1.969550745474957e-05
दगर,1,1.969550745474957e-05
भभू,1,1.969550745474957e-05
तास,54,0.0010635574025564768
तपो,19,0.00037421464164024185
पोध,8,0.00015756405963799657
धना,6,0.00011817304472849743
वमु,75,0.0014771630591062178
मुक,122,0.0024028519094794476
लैः,8,0.00015756405963799657
पैर,5,9.847753727374786e-05
घवम,10,0.0001969550745474957
विव,81,0.0015953361038347153
धाह,1,1.969550745474957e-05
सलक,15,0.00029543261182124356
मणम,23,0.00045299667145924015
णमप,3,5.9086522364248715e-05
मपू,2,3.939101490949914e-05
जयन,7,0.000137868552183247
तथा,73,0.0014377720441967187
थान,129,0.002540720461662695
सास,16,0.00031512811927599313
सिद,25,0.0004923876863687392
नरो,3,5.9086522364248715e-05
रोप,18,0.0003545191341854923
याय,39,0.0007681247907352333
यवृ,5,9.847753727374786e-05
पया,10,0.0001969550745474957
याम,199,0.003919405983495165
मास,87,0.0017135091485632127
सुर,42,0.000827211313099482
रीश,2,3.939101490949914e-05
वरम,24,0.0004726921789139897
तात,41,0.0008075158056447324
योद,10,0.0001969550745474957
दयन,6,0.00011817304472849743
यनं,2,3.939101490949914e-05
रति,124,0.0024422429243889467
नीन,11,0.0002166505820022453
वनम,49,0.000965079865282729
नमे,11,0.0002166505820022453
मेव,63,0.001240816969649223
वगा,6,0.00011817304472849743
गाह,6,0.00011817304472849743
नान,122,0.0024028519094794476
गगण,2,3.939101490949914e-05
गणा,12,0.00023634608945699486
णाक,9,0.00017725956709274614
णमृ,1,1.969550745474957e-05
मृक,2,3.939101490949914e-05
षशा,1,1.969550745474957e-05
शार,22,0.0004333011640044906
दूल,12,0.00023634608945699486
सेव,23,0.00045299667145924015
वित,112,0.002205896834931952
तवृ,2,3.939101490949914e-05
षलत,1,1.969550745474957e-05
लता,9,0.00017725956709274614
ताग,10,0.0001969550745474957
गुल,10,0.0001969550745474957
शसल,1,1.969550745474957e-05
शयम,3,5.9086522364248715e-05
निष,42,0.000827211313099482
कूज,3,5.9086522364248715e-05
जना,14,0.000275737104366494
नाश,34,0.0006696472534614854
शकु,8,0.00015756405963799657
कुन,12,0.00023634608945699486
निझ,1,1.969550745474957e-05
झिल,1,1.969550745474957e-05
लिक,9,0.00017725956709274614
काग,2,3.939101490949914e-05
गणन,1,1.969550745474957e-05
णना,7,0.000137868552183247
मणा,41,0.0008075158056447324
णान,64,0.0012605124771039725
नुग,22,0.0004333011640044906
गतो,9,0.00017725956709274614
नमध,2,3.939101490949914e-05
सीत,236,0.004648139759320899
तया,77,0.001516554074015717
काक,47,0.0009256888503732299
कुत,55,0.0010832529100112264
नघो,1,1.969550745474957e-05
घोर,84,0.001654422626198964
रमृ,9,0.00017725956709274614
गाय,7,0.000137868552183247
युत,37,0.0007287337758257341
गिर,34,0.0006696472534614854
रिश,36,0.0007090382683709846
शृङ,13,0.0002560415969117444
गाभ,6,0.00011817304472849743
रुष,73,0.0014377720441967187
षाद,15,0.00029543261182124356
हास,37,0.0007287337758257341
भीर,18,0.0003545191341854923
विक,97,0.0019104642231107085
कटं,1,1.969550745474957e-05
षमो,1,1.969550745474957e-05
मोद,5,9.847753727374786e-05
दरम,3,5.9086522364248715e-05
बीभ,2,3.939101490949914e-05
षमं,7,0.000137868552183247
