word,frequency,probability
के,10946,0.055878584300292515
में,8144,0.041574565187427574
की,6851,0.03497388827346099
को,5213,0.02661200986272838
ने,4581,0.02338569291792801
से,4547,0.02321212523418875
और,3879,0.019802030741899748
का,3456,0.017642644558908363
पर,3032,0.015478153444042289
कि,2960,0.015110598349065031
भी,2276,0.011618824946781086
है,1991,0.010163919362496108
इस,1898,0.009689160698150482
एक,1867,0.009530907810035275
कर,1753,0.008948945576321284
नहीं,1520,0.007759496449519881
लिए,1428,0.0072898427170489406
ही,1312,0.006697670619585582
हो,1134,0.005788992745891806
किया,1084,0.0055337461521576
बाद,1061,0.005416332719039864
साथ,1017,0.005191715716553763
पुलिस,927,0.0047322718478321904
तो,925,0.004722061984082823
कहा,910,0.00464548800596256
करने,871,0.004446395662849879
गया,841,0.004293247706609355
यह,782,0.003992056726002991
रही,770,0.003930797543506782
रहे,742,0.003787859451015626
हैं,725,0.003701075609145996
ये,681,0.003476458606659894
हुए,674,0.0034407240835371052
अपने,672,0.003430514219787737
लेकिन,661,0.0033743599691662116
तक,642,0.003277366263547213
रहा,637,0.0032518416041737923
जा,627,0.003200792285426951
सरकार,621,0.003170162694178846
दिया,602,0.0030731689885598475
पहले,577,0.0029455456916927442
अब,538,0.002746453348580063
वह,522,0.002664774438585117
लोगों,487,0.0024861018229711727
कुछ,481,0.0024554722317230676
गई,471,0.0024044229129762265
इसके,454,0.002317639071106596
वाले,440,0.002246170024861018
कई,440,0.002246170024861018
बात,437,0.0022308552292369657
लेकर,435,0.0022206453654875975
साल,426,0.0021747009786154403
कोई,422,0.002154281251116704
होने,421,0.0021491763192420196
उनके,414,0.0021134417961192306
था,413,0.0021083368642445467
मामले,412,0.0021032319323698624
गए,406,0.002072602341121758
मोदी,406,0.002072602341121758
अपनी,393,0.002006238226750864
जो,392,0.00200113329487618
बताया,387,0.001975608635502759
जब,373,0.0019041395892571815
बीजेपी,371,0.001893929725507813
करते,366,0.0018684050661343925
किसी,344,0.0017560965648913416
खिलाफ,340,0.001735676837392605
दो,338,0.0017254669736432367
उसके,336,0.0017152571098938685
दोनों,332,0.0016948373823951319
दौरान,332,0.0016948373823951319
दी,327,0.0016693127230217113
उनकी,327,0.0016693127230217113
सिंह,325,0.001659102859272343
भारत,324,0.0016539979273976588
बार,314,0.0016029486086508176
हुई,314,0.0016029486086508176
वो,313,0.0015978436767761334
तरह,311,0.0015876338130267652
नाम,295,0.0015059549030318191
देश,289,0.0014753253117837143
चुनाव,289,0.0014753253117837143
काम,282,0.0014395907886609253
बीच,278,0.0014191710611621887
सभी,278,0.0014191710611621887
हुआ,275,0.0014038562655381364
फिर,271,0.0013834365380394
उसे,269,0.0013732266742900315
इन,267,0.0013630168105406633
घर,262,0.0013374921511672426
दिन,260,0.0013272822874178744
जाने,254,0.0012966526961697695
लोग,251,0.0012813379005457172
मैं,247,0.0012609181730469806
आप,246,0.0012558132411722965
पास,239,0.0012200787180495075
देने,238,0.0012149737861748234
जांच,233,0.001189449126801403
लिया,231,0.0011792392630520345
आ,228,0.0011639244674279822
शुरू,226,0.001153714603678614
वाली,225,0.0011486096718039298
शामिल,223,0.0011383998080545614
समय,222,0.0011332948761798773
राहुल,220,0.001123085012430509
सामने,220,0.001123085012430509
