word,frequency,probability
के,1057030,0.04534167413439
में,804779,0.0345212786469639
की,660338,0.028325431080059
को,509093,0.0218377235367955
ने,448586,0.0192422544613203
है.,441560,0.0189408717167736
से,439000,0.0188310596151454
और,373063,0.0160026687772323
का,329899,0.0141511337949359
पर,311144,0.0133466314644529
कि,302135,0.0129601872364965
भी,211223,0.0090604849774256
है,200214,0.0085882500450722
हैं.,183008,0.0078501926151447
इस,175741,0.0075384720907181
एक,173695,0.00745070820012
कर,167026,0.0071646390963081
नहीं,150532,0.0064571231571459
लिए,141029,0.0060494886252035
ही,126516,0.0054269483787465
किया,105192,0.0045122478884655
बाद,101753,0.0043647307722548
हो,100558,0.0043134708263776
कहा,100400,0.0043066933607303
साथ,94329,0.0040462756775331
तो,94261,0.0040433587935836
करने,88606,0.003800785576901
पुलिस,85130,0.003651681332659
था.,83862,0.0035972900260713
गया,79283,0.0034008722083543
रही,74429,0.0031926581687828
रहे,72610,0.0031146315231337
यह,70945,0.0030432107617232
हैं,69327,0.002973806081866
हुए,65699,0.0028181817440898
लेकिन,64905,0.0027841228344442
अपने,64859,0.002782149648243
उन्होंने,64576,0.0027700102635709
सरकार,64406,0.0027627180536971
ये,63840,0.0027384392843528
रहा,62761,0.0026921551993306
जा,59297,0.0025435656993149
दिया,59222,0.0025403485479001
पहले,58047,0.0024899465090668
तक,56693,0.00243186620219
फिल्म,55452,0.0023786330701117
थी.,54554,0.0023401130438374
अब,49817,0.0021369177604731
लोगों,49354,0.0021170572124052
गई,47690,0.0020456793463468
दिल्ली,47421,0.0020341404966054
साल,45461,0.0019500656062964
वह,45196,0.0019386983379638
कुछ,45184,0.0019381835937374
बात,44280,0.0018994061953499
अपनी,43756,0.0018769290307979
इसके,43588,0.0018697226116286
लेकर,43232,0.0018544518662459
होने,42559,0.0018255832942163
पार्टी,41866,0.0017958568151427
कई,41184,0.0017666021849433
थे.,40672,0.0017446397646177
वाले,40064,0.001718559390481
जो,39674,0.0017018302031236
बीजेपी,39538,0.0016959964352246
मोदी,39150,0.0016793530385716
कोई,38705,0.0016602646068432
उनके,38695,0.0016598356533213
मामले,38390,0.0016467525709007
सिंह,37866,0.0016242754063487
था,37761,0.0016197713943679
दी,37697,0.0016170260918271
कांग्रेस,37616,0.0016135515682991
बताया,37442,0.0016060877770165
वो,36423,0.0015623774131262
करते,35688,0.0015308493292603
भारत,35247,0.0015119324789408
बार,34676,0.0014874392328355
उन्हें,34659,0.0014867100118481
जब,34227,0.0014681792196983
गए,33943,0.0014559969396739
चुनाव,32534,0.0013955573884262
गया.,32050,0.0013747960379622
देश,31857,0.0013665172349879
दौरान,31515,0.001351847024536
किसी,31278,0.0013416808260649
तरह,31201,0.0013383778839456
दो,30733,0.0013183028591167
हुई,30444,0.0013059061023314
काम,30116,0.0012918364268102
खिलाफ,29715,0.0012746353905786
दोनों,29151,0.0012504424119387
बीच,28669,0.001229766852179
उनकी,27445,0.001177262941088
दिन,27294,0.0011707857429061
हुआ,27246,0.0011687267660005
फिर,26871,0.0011526410089261
उसके,26632,0.0011423890197506
नाम,26360,0.0011307214839526
कोर्ट,25756,0.0011048126912247
इन,25541,0.0010955901905021
लोग,25474,0.0010927162019048
घर,25402,0.0010896277365465
आ,25035,0.0010738851422896
जांच,25026,0.0010734990841198
जाने,24685,0.0010588717690201
शुरू,24098,0.0010336921972796
सभी,23922,0.0010261426152927
उसे,23649,0.0010144321841425
दिया.,23584,0.0010116439862496
वे,23562,0.0010107002885012
लिया,23253,0.0009974456246719
वाली,22833,0.0009794295767485
किया.,22644,0.000971322355183
पास,22585,0.0009687915294033
सामने,22562,0.0009678049363027
या,22345,0.0009584966448756
मैं,22333,0.0009579819006493
प्रदेश,22127,0.0009491454580964
ज्यादा,21992,0.0009433545855496
दर्ज,21602,0.0009266253981921
समय,21526,0.0009233653514251
सबसे,21341,0.0009154297112683
ऐसे,21088,0.0009045771871621
गई.,21017,0.000901531617156
मंत्री,20923,0.0008974994540494
हम,20866,0.000895054418974
यहां,20763,0.0008906361976976
आरोप,20703,0.0008880624765657
क्या,20694,0.0008876764183959
अगर,20636,0.0008851884879684
पाकिस्तान,20532,0.0008807273713397
देने,20485,0.0008787112897864
इससे,20427,0.0008762233593589
नेता,20355,0.0008731348940006
रुपये,20293,0.0008704753821643
शामिल,20022,0.0008588507417185
आप,19875,0.0008525451249453
नजर,19767,0.0008479124269079
जारी,19666,0.0008435799963358
काफी,19431,0.0008334995885692
महिला,19342,0.0008296819022235
करना,19215,0.0008242341924943
सकता,19204,0.0008237623436201
मुख्यमंत्री,19056,0.0008174138314947
खान,18990,0.0008145827382496
बारे,18909,0.0008111082147216
बहुत,18841,0.0008081913307721
राज्य,18797,0.0008063039352753
उस,18575,0.0007967811670873
वजह,18397,0.0007891457943959
किए,18233,0.0007821109566354
हत्या,18223,0.0007816820031134
तीन,18163,0.0007791082819815
मुताबिक,18143,0.0007782503749375
वहीं,18058,0.0007746042700006
न,17967,0.0007707007929506
की.,17889,0.0007673549554791
बता,17614,0.0007555587336245
प्रधानमंत्री,17501,0.0007507115588261
जहां,17497,0.0007505399774173
भारतीय,17412,0.0007468938724804
हर,17302,0.0007421753837386
पिछले,17169,0.0007364703018962
गिरफ्तार,17087,0.0007329528830159
ऐसा,16926,0.0007260467313119
आरोपी,16902,0.0007250172428592
मौत,16779,0.0007197411145387
कुमार,16701,0.0007163952770672
जाता,16696,0.0007161808003063
अपना,16690,0.0007159234281931
थी,16645,0.0007139931373441
कम,16546,0.0007097464974765
दे,16278,0.0006982505430873
जानकारी,16107,0.0006909154378613
अभी,15941,0.0006837948093964
उसकी,15901,0.0006820789953084
घटना,15866,0.0006805776579815
इसी,15798,0.000677660774032
वीडियो,15767,0.0006763310181138
सकते,15719,0.0006742720412083
अलावा,15544,0.0006667653545736
ले,15512,0.0006653927033032
हालांकि,15394,0.0006603310517438
गांधी,15375,0.000659516040052
आज,15304,0.0006564704700459
गए.,15289,0.000655827039763
आने,15204,0.0006521809348261
ओर,15195,0.0006517948766563
मीडिया,15058,0.0006459182134051
करीब,14948,0.0006411997246633
इसे,14820,0.0006357091195819
पूरी,14805,0.0006350656892989
वहां,14655,0.0006286313864691
सवाल,14468,0.000620609955608
उनका,14429,0.0006189370368722
परिवार,14368,0.0006163204203881
दी.,14295,0.0006131890596776
दें,14251,0.0006113016641809
टीम,14205,0.0006093284779798
होता,14202,0.0006091997919232
मामला,14108,0.0006051676288165
उसने,14096,0.0006046528845901
रूप,13991,0.0006001488726093
जबकि,13973,0.0005993767562697
पूर्व,13926,0.0005973606747164
जिसमें,13855,0.0005943151047103
फीसदी,13811,0.0005924277092136
उत्तर,13770,0.0005906689997734
लाख,13754,0.0005899826741382
खुद,13731,0.0005889960810377
अध्यक्ष,13684,0.0005869799994843
दिनों,13672,0.000586465255258
मुझे,13484,0.0005784009290446
बिहार,13474,0.0005779719755227
यादव,13401,0.0005748406148122
इसमें,13307,0.0005708084517055
सिर्फ,13238,0.0005678486724038
सकती,13169,0.0005648888931021
कोशिश,13132,0.0005633017650708
क्योंकि,12969,0.0005563098226624
आपको,12819,0.0005498755198326
कहना,12759,0.0005473017987007
लगा,12733,0.0005461865195436
शादी,12701,0.0005448138682732
होगा.,12632,0.0005418540889715
पीएम,12603,0.0005406101237578
राहुल,12523,0.0005371784955819
बयान,12477,0.0005352053093807
चल,12449,0.0005340042395192
सुरक्षा,12424,0.0005329318557142
आतंकी,12363,0.0005303152392301
पता,12346,0.0005295860182427
जाएगा.,12320,0.0005284707390856
बाहर,12231,0.0005246530527399
केस,12226,0.0005244385759789
विधानसभा,12149,0.0005211356338596
पहली,12004,0.0005149158077909
द्वारा,11957,0.0005128997262375
रिपोर्ट,11953,0.0005127281448287
हमले,11911,0.0005109265400364
आगे,11896,0.0005102831097534
मांग,11887,0.0005098970515836
रहने,11821,0.0005070659583385
रात,11807,0.0005064654234077
इलाके,11778,0.000505221458194
थे,11742,0.0005036772255148
कपूर,11737,0.0005034627487539
आई,11712,0.0005023903649489
चाहिए.,11654,0.0004999024345214
वक्त,11628,0.0004987871553642
दिए,11569,0.0004962563295845
तौर,11434,0.0004904654570377
जिले,11387,0.0004884493754844
जनता,11358,0.0004872054102706
लोकसभा,11338,0.0004863475032266
फैसला,11320,0.0004855753868871
रिलीज,11301,0.0004847603751953
शो,11274,0.0004836022006859
इसलिए,11274,0.0004836022006859
दूसरे,11255,0.0004827871889942
केजरीवाल,11189,0.0004799560957491
बनाने,11175,0.0004793555608183
करता,11157,0.0004785834444787
जैसे,11156,0.0004785405491265
नरेंद्र,11098,0.000476052618699
अन्य,11094,0.0004758810372902
जवाब,11076,0.0004751089209506
महीने,10984,0.0004711625485484
गांव,10955,0.0004699185833346
बना,10950,0.0004697041065736
हाल,10844,0.0004651571992406
केंद्र,10764,0.0004617255710647
शेयर,10757,0.0004614253035993
वाला,10747,0.0004609963500773
आए,10683,0.0004582510475366
सलमान,10658,0.0004571786637317
चार,10586,0.0004540901983734
जेल,10578,0.0004537470355558
यूपी,10573,0.0004535325587948
मिल,10563,0.0004531036052728
जिसके,10531,0.0004517309540024
चुके,10527,0.0004515593725937
मुंबई,10523,0.0004513877911849
होती,10483,0.0004496719770969
विरोध,10480,0.0004495432910403
तरफ,10473,0.0004492430235749
होगी.,10394,0.0004458542907513
