vyanjan,frequency,probability
क,92.0,0.017839829358153966
ख,0.0,0.0
ग,19.0,0.003684312584836145
घ,1.0,0.00019391118867558658
ङ,12.0,0.002326934264107039
च,168.0,0.03257707969749855
छ,0.0,0.0
ज,30.0,0.005817335660267597
झ,0.0,0.0
ञ,16.0,0.0031025790188093853
ट,43.0,0.008338181113050224
ठ,4.0,0.0007756447547023463
ड,0.0,0.0
ढ,0.0,0.0
ण,81.0,0.015706806282722512
त,46.0,0.008919914679076983
थ,432.0,0.08376963350785341
द,96.0,0.01861547411285631
ध,7.0,0.001357378320729106
न,222.0,0.04304828388598022
प,509.0,0.09870079503587358
फ,0.0,0.0
ब,35.0,0.00678689160364553
भ,17.0,0.003296490207484972
म,406.0,0.07872794260228815
य,107.0,0.020748497188287765
र,1641.0,0.3182082606166376
ल,305.0,0.05914291254605391
व,145.0,0.028117122357960055
श,185.0,0.03587356990498352
ष,17.0,0.003296490207484972
स,508.0,0.09850688384719798
ह,13.0,0.0025208454527826255
