vyanjan,frequency,probability
क,5.0,0.00648508430609598
ख,0.0,0.0
ग,10.0,0.01297016861219196
घ,1.0,0.0012970168612191958
ङ,18.0,0.023346303501945526
च,3.0,0.0038910505836575876
छ,0.0,0.0
ज,2.0,0.0025940337224383916
झ,0.0,0.0
ञ,0.0,0.0
ट,0.0,0.0
ठ,0.0,0.0
ड,22.0,0.028534370946822308
ढ,0.0,0.0
ण,7.0,0.009079118028534372
त,23.0,0.029831387808041506
थ,0.0,0.0
द,31.0,0.040207522697795074
ध,0.0,0.0
न,28.0,0.03631647211413749
प,17.0,0.02204928664072633
फ,1.0,0.0012970168612191958
ब,1.0,0.0012970168612191958
भ,7.0,0.009079118028534372
म,178.0,0.23086900129701687
य,4.0,0.005188067444876783
र,211.0,0.27367055771725035
ल,102.0,0.13229571984435798
व,8.0,0.010376134889753566
श,18.0,0.023346303501945526
ष,0.0,0.0
स,69.0,0.08949416342412451
ह,5.0,0.00648508430609598
