vyanjan,frequency,probability
क,29.0,0.005194339960594662
ख,0.0,0.0
ग,70.0,0.012538061973849185
घ,1.0,0.00017911517105498835
ङ,92.0,0.01647859573705893
च,375.0,0.06716818914562063
छ,0.0,0.0
ज,145.0,0.02597169980297331
झ,0.0,0.0
ञ,0.0,0.0
ट,1.0,0.00017911517105498835
ठ,0.0,0.0
ड,0.0,0.0
ढ,0.0,0.0
ण,245.0,0.04388321690847215
त,1496.0,0.2679562958982626
थ,0.0,0.0
द,221.0,0.039584452803152426
ध,23.0,0.0041196489342647325
न,438.0,0.0784524449220849
प,80.0,0.014329213684399069
फ,5.0,0.0008955758552749418
ब,10.0,0.0017911517105498836
भ,9.0,0.0016120365394948952
म,870.0,0.15583019881783988
य,61.0,0.01092602543435429
र,587.0,0.10514060540927817
ल,74.0,0.013254522658069139
व,422.0,0.07558660218520509
श,59.0,0.010567795092244313
ष,1.0,0.00017911517105498835
स,227.0,0.04065914382948236
ह,42.0,0.007522837184309511
