vyanjan,frequency,probability
क,12.0,0.01085972850678733
ख,0.0,0.0
ग,1.0,0.0009049773755656109
घ,3.0,0.0027149321266968325
ङ,0.0,0.0
च,2.0,0.0018099547511312218
छ,0.0,0.0
ज,10.0,0.00904977375565611
झ,0.0,0.0
ञ,0.0,0.0
ट,13.0,0.011764705882352941
ठ,0.0,0.0
ड,0.0,0.0
ढ,0.0,0.0
ण,2.0,0.0018099547511312218
त,2.0,0.0018099547511312218
थ,0.0,0.0
द,9.0,0.008144796380090498
ध,0.0,0.0
न,93.0,0.08416289592760182
प,11.0,0.009954751131221719
फ,0.0,0.0
ब,16.0,0.014479638009049774
भ,0.0,0.0
म,33.0,0.02986425339366516
य,16.0,0.014479638009049774
र,20.0,0.01809954751131222
ल,2.0,0.0018099547511312218
व,806.0,0.7294117647058823
श,10.0,0.00904977375565611
ष,0.0,0.0
स,44.0,0.039819004524886875
ह,0.0,0.0
