vyanjan,frequency,probability
क,456.0,0.14657666345226616
ख,0.0,0.0
ग,0.0,0.0
घ,0.0,0.0
ङ,1.0,0.0003214400514304082
च,61.0,0.0196078431372549
छ,0.0,0.0
ज,3.0,0.0009643201542912247
झ,0.0,0.0
ञ,10.0,0.0032144005143040825
ट,0.0,0.0
ठ,0.0,0.0
ड,0.0,0.0
ढ,0.0,0.0
ण,24.0,0.007714561234329798
त,295.0,0.09482481517197043
थ,0.0,0.0
द,5.0,0.0016072002571520412
ध,1.0,0.0003214400514304082
न,1115.0,0.35840565734490515
प,19.0,0.006107360977177756
फ,0.0,0.0
ब,1.0,0.0003214400514304082
भ,7.0,0.0022500803600128574
म,76.0,0.024429443908711025
य,205.0,0.06589521054323369
र,553.0,0.17775634844101576
ल,89.0,0.028608164577306333
व,25.0,0.008036001285760206
श,64.0,0.020572163291546125
ष,2.0,0.0006428801028608164
स,97.0,0.0311796849887496
ह,2.0,0.0006428801028608164
