vyanjan,frequency,probability
क,9.0,0.013657056145675266
ख,0.0,0.0
ग,0.0,0.0
घ,0.0,0.0
ङ,3.0,0.004552352048558422
च,3.0,0.004552352048558422
छ,0.0,0.0
ज,0.0,0.0
झ,0.0,0.0
ञ,0.0,0.0
ट,0.0,0.0
ठ,0.0,0.0
ड,0.0,0.0
ढ,0.0,0.0
ण,0.0,0.0
त,235.0,0.3566009104704097
थ,4.0,0.006069802731411229
द,54.0,0.0819423368740516
ध,1.0,0.0015174506828528073
न,175.0,0.26555386949924126
प,5.0,0.007587253414264037
फ,0.0,0.0
ब,3.0,0.004552352048558422
भ,0.0,0.0
म,2.0,0.0030349013657056147
य,22.0,0.03338391502276176
र,25.0,0.03793626707132018
ल,4.0,0.006069802731411229
व,13.0,0.019726858877086494
श,3.0,0.004552352048558422
ष,0.0,0.0
स,98.0,0.14871016691957512
ह,0.0,0.0
