vyanjan,frequency,probability
क,67.0,0.015617715617715617
ख,0.0,0.0
ग,489.0,0.11398601398601399
घ,42.0,0.009790209790209791
ङ,21.0,0.0048951048951048955
च,2.0,0.0004662004662004662
छ,0.0,0.0
ज,55.0,0.01282051282051282
झ,0.0,0.0
ञ,1.0,0.0002331002331002331
ट,103.0,0.02400932400932401
ठ,0.0,0.0
ड,4.0,0.0009324009324009324
ढ,0.0,0.0
ण,0.0,0.0
त,171.0,0.03986013986013986
थ,0.0,0.0
द,17.0,0.003962703962703963
ध,19.0,0.004428904428904429
न,1310.0,0.30536130536130535
प,150.0,0.03496503496503497
फ,0.0,0.0
ब,4.0,0.0009324009324009324
भ,16.0,0.0037296037296037296
म,225.0,0.05244755244755245
य,315.0,0.07342657342657342
र,178.0,0.04149184149184149
ल,338.0,0.07878787878787878
व,116.0,0.02703962703962704
श,66.0,0.015384615384615385
ष,1.0,0.0002331002331002331
स,467.0,0.10885780885780885
ह,113.0,0.02634032634032634
