vyanjan,frequency,probability
क,10.0,0.04672897196261682
ख,0.0,0.0
ग,3.0,0.014018691588785047
घ,2.0,0.009345794392523364
ङ,0.0,0.0
च,1.0,0.004672897196261682
छ,0.0,0.0
ज,0.0,0.0
झ,0.0,0.0
ञ,0.0,0.0
ट,0.0,0.0
ठ,0.0,0.0
ड,0.0,0.0
ढ,0.0,0.0
ण,0.0,0.0
त,6.0,0.028037383177570093
थ,0.0,0.0
द,4.0,0.018691588785046728
ध,0.0,0.0
न,0.0,0.0
प,13.0,0.06074766355140187
फ,2.0,0.009345794392523364
ब,0.0,0.0
भ,3.0,0.014018691588785047
म,14.0,0.06542056074766354
य,21.0,0.09813084112149532
र,2.0,0.009345794392523364
ल,1.0,0.004672897196261682
व,13.0,0.06074766355140187
श,35.0,0.16355140186915887
ष,0.0,0.0
स,82.0,0.38317757009345793
ह,2.0,0.009345794392523364
