vyanjan,frequency,probability
क,103.0,0.14206896551724138
ख,0.0,0.0
ग,4.0,0.005517241379310344
घ,0.0,0.0
ङ,4.0,0.005517241379310344
च,28.0,0.038620689655172416
छ,0.0,0.0
ज,23.0,0.031724137931034485
झ,0.0,0.0
ञ,0.0,0.0
ट,0.0,0.0
ठ,0.0,0.0
ड,0.0,0.0
ढ,0.0,0.0
ण,0.0,0.0
त,22.0,0.030344827586206897
थ,0.0,0.0
द,12.0,0.016551724137931035
ध,3.0,0.004137931034482759
न,25.0,0.034482758620689655
प,58.0,0.08
फ,1.0,0.001379310344827586
ब,11.0,0.015172413793103448
भ,22.0,0.030344827586206897
म,122.0,0.16827586206896553
य,21.0,0.028965517241379312
र,15.0,0.020689655172413793
ल,6.0,0.008275862068965517
व,86.0,0.11862068965517242
श,34.0,0.04689655172413793
ष,1.0,0.001379310344827586
स,113.0,0.15586206896551724
ह,11.0,0.015172413793103448
