vyanjan,frequency,probability
क,6.0,0.01680672268907563
ख,0.0,0.0
ग,8.0,0.022408963585434174
घ,0.0,0.0
ङ,0.0,0.0
च,0.0,0.0
छ,0.0,0.0
ज,1.0,0.0028011204481792717
झ,0.0,0.0
ञ,0.0,0.0
ट,0.0,0.0
ठ,0.0,0.0
ड,0.0,0.0
ढ,0.0,0.0
ण,0.0,0.0
त,124.0,0.3473389355742297
थ,0.0,0.0
द,3.0,0.008403361344537815
ध,0.0,0.0
न,48.0,0.13445378151260504
प,17.0,0.047619047619047616
फ,0.0,0.0
ब,1.0,0.0028011204481792717
भ,1.0,0.0028011204481792717
म,41.0,0.11484593837535013
य,1.0,0.0028011204481792717
र,2.0,0.0056022408963585435
ल,0.0,0.0
व,9.0,0.025210084033613446
श,11.0,0.03081232492997199
ष,0.0,0.0
स,83.0,0.23249299719887956
ह,1.0,0.0028011204481792717
