vyanjan,frequency,probability
क,95.0,0.27298850574712646
ख,0.0,0.0
ग,3.0,0.008620689655172414
घ,0.0,0.0
ङ,4.0,0.011494252873563218
च,3.0,0.008620689655172414
छ,0.0,0.0
ज,1.0,0.0028735632183908046
झ,0.0,0.0
ञ,0.0,0.0
ट,0.0,0.0
ठ,0.0,0.0
ड,0.0,0.0
ढ,0.0,0.0
ण,0.0,0.0
त,5.0,0.014367816091954023
थ,0.0,0.0
द,2.0,0.005747126436781609
ध,3.0,0.008620689655172414
न,17.0,0.04885057471264368
प,3.0,0.008620689655172414
फ,0.0,0.0
ब,7.0,0.020114942528735632
भ,0.0,0.0
म,20.0,0.05747126436781609
य,22.0,0.06321839080459771
र,14.0,0.040229885057471264
ल,85.0,0.2442528735632184
व,35.0,0.10057471264367816
श,14.0,0.040229885057471264
ष,0.0,0.0
स,13.0,0.03735632183908046
ह,2.0,0.005747126436781609
