vyanjan,frequency,probability
क,3.0,0.03225806451612903
ख,0.0,0.0
ग,2.0,0.021505376344086023
घ,0.0,0.0
ङ,0.0,0.0
च,3.0,0.03225806451612903
छ,0.0,0.0
ज,3.0,0.03225806451612903
झ,0.0,0.0
ञ,0.0,0.0
ट,0.0,0.0
ठ,0.0,0.0
ड,0.0,0.0
ढ,0.0,0.0
ण,0.0,0.0
त,1.0,0.010752688172043012
थ,0.0,0.0
द,1.0,0.010752688172043012
ध,2.0,0.021505376344086023
न,4.0,0.043010752688172046
प,2.0,0.021505376344086023
फ,0.0,0.0
ब,1.0,0.010752688172043012
भ,4.0,0.043010752688172046
म,21.0,0.22580645161290322
य,3.0,0.03225806451612903
र,0.0,0.0
ल,0.0,0.0
व,29.0,0.3118279569892473
श,1.0,0.010752688172043012
ष,0.0,0.0
स,13.0,0.13978494623655913
ह,0.0,0.0
