vyanjan,frequency,probability
क,69.0,0.03543913713405239
ख,27.0,0.01386748844375963
ग,13.0,0.00667693888032871
घ,5.0,0.0025680534155110425
ङ,0.0,0.0
च,45.0,0.023112480739599383
छ,0.0,0.0
ज,16.0,0.008217770929635337
झ,0.0,0.0
ञ,0.0,0.0
ट,0.0,0.0
ठ,0.0,0.0
ड,0.0,0.0
ढ,0.0,0.0
ण,0.0,0.0
त,62.0,0.03184386235233693
थ,0.0,0.0
द,44.0,0.022598870056497175
ध,12.0,0.0061633281972265025
न,46.0,0.02362609142270159
प,85.0,0.04365690806368772
फ,1.0,0.0005136106831022085
ब,12.0,0.0061633281972265025
भ,32.0,0.016435541859270673
म,552.0,0.2835130970724191
य,76.0,0.03903441191576785
र,16.0,0.008217770929635337
ल,9.0,0.004622496147919877
व,179.0,0.09193631227529532
श,151.0,0.07755521314843349
ष,28.0,0.014381099126861838
स,455.0,0.23369286081150487
ह,12.0,0.0061633281972265025
