vyanjan,frequency,probability
क,75.0,0.06590509666080843
ख,0.0,0.0
ग,41.0,0.03602811950790861
घ,1.0,0.0008787346221441124
ङ,0.0,0.0
च,6.0,0.005272407732864675
छ,0.0,0.0
ज,4.0,0.0035149384885764497
झ,0.0,0.0
ञ,39.0,0.03427065026362039
ट,0.0,0.0
ठ,0.0,0.0
ड,0.0,0.0
ढ,0.0,0.0
ण,8.0,0.007029876977152899
त,13.0,0.011423550087873463
थ,0.0,0.0
द,6.0,0.005272407732864675
ध,8.0,0.007029876977152899
न,33.0,0.02899824253075571
प,103.0,0.09050966608084358
फ,0.0,0.0
ब,2.0,0.0017574692442882249
भ,3.0,0.0026362038664323375
म,257.0,0.22583479789103691
य,102.0,0.08963093145869948
र,46.0,0.040421792618629174
ल,23.0,0.020210896309314587
व,116.0,0.10193321616871705
श,24.0,0.0210896309314587
ष,0.0,0.0
स,220.0,0.19332161687170474
ह,8.0,0.007029876977152899
