vyanjan,frequency,probability
क,311.0,0.05407755173013389
ख,0.0,0.0
ग,114.0,0.0198226395409494
घ,1.0,0.0001738828029907842
ङ,26.0,0.0045209528777603895
च,10.0,0.001738828029907842
छ,0.0,0.0
ज,27.0,0.004694835680751174
झ,0.0,0.0
ञ,1.0,0.0001738828029907842
ट,0.0,0.0
ठ,0.0,0.0
ड,0.0,0.0
ढ,0.0,0.0
ण,157.0,0.02729960006955312
त,352.0,0.06120674665275604
थ,2.0,0.0003477656059815684
द,499.0,0.08676751869240132
ध,119.0,0.020692053555903322
न,794.0,0.13806294557468266
प,236.0,0.04103634150582507
फ,1.0,0.0001738828029907842
ब,20.0,0.003477656059815684
भ,55.0,0.009563554164493131
म,494.0,0.0858981046774474
य,457.0,0.07946444096678838
र,1011.0,0.17579551382368283
ल,39.0,0.006781429316640584
व,144.0,0.025039123630672927
श,574.0,0.09980872891671014
ष,7.0,0.0012171796209354895
स,201.0,0.03495044340114763
ह,99.0,0.017214397496087636
