vyanjan,frequency,probability
क,59.0,0.01962088460259395
ख,0.0,0.0
ग,10.0,0.0033255736614566014
घ,1.0,0.0003325573661456601
ङ,0.0,0.0
च,12.0,0.0039906883937479215
छ,0.0,0.0
ज,20.0,0.006651147322913203
झ,0.0,0.0
ञ,0.0,0.0
ट,0.0,0.0
ठ,0.0,0.0
ड,0.0,0.0
ढ,0.0,0.0
ण,0.0,0.0
त,95.0,0.03159294978383771
थ,0.0,0.0
द,11.0,0.0036581310276022614
ध,15.0,0.004988360492184902
न,544.0,0.1809112071832391
प,31.0,0.010309278350515464
फ,0.0,0.0
ब,6.0,0.0019953441968739607
भ,11.0,0.0036581310276022614
म,212.0,0.07050216162287995
य,81.0,0.02693714665779847
र,1480.0,0.492184901895577
ल,5.0,0.0016627868307283007
व,156.0,0.051878949118722976
श,69.0,0.022946458264050548
ष,0.0,0.0
स,181.0,0.06019288327236448
ह,8.0,0.002660458929165281
