vyanjan,frequency,probability
क,9.0,0.0042452830188679245
ख,0.0,0.0
ग,0.0,0.0
घ,0.0,0.0
ङ,0.0,0.0
च,1.0,0.0004716981132075472
छ,0.0,0.0
ज,1.0,0.0004716981132075472
झ,0.0,0.0
ञ,0.0,0.0
ट,0.0,0.0
ठ,0.0,0.0
ड,7.0,0.0033018867924528303
ढ,0.0,0.0
ण,4.0,0.0018867924528301887
त,31.0,0.014622641509433962
थ,0.0,0.0
द,91.0,0.04292452830188679
ध,31.0,0.014622641509433962
न,158.0,0.07452830188679245
प,4.0,0.0018867924528301887
फ,1.0,0.0004716981132075472
ब,6.0,0.002830188679245283
भ,258.0,0.12169811320754717
म,13.0,0.006132075471698114
य,2.0,0.0009433962264150943
र,171.0,0.08066037735849056
ल,825.0,0.3891509433962264
व,31.0,0.014622641509433962
श,5.0,0.0023584905660377358
ष,0.0,0.0
स,11.0,0.005188679245283019
ह,460.0,0.2169811320754717
