vyanjan,frequency,probability
क,235.0,0.06549609810479376
ख,0.0,0.0
ग,274.0,0.07636566332218506
घ,1.0,0.0002787068004459309
ङ,27.0,0.007525083612040134
च,2.0,0.0005574136008918618
छ,0.0,0.0
ज,55.0,0.015328874024526198
झ,0.0,0.0
ञ,13.0,0.0036231884057971015
ट,2.0,0.0005574136008918618
ठ,0.0,0.0
ड,0.0,0.0
ढ,0.0,0.0
ण,7.0,0.0019509476031215162
त,72.0,0.020066889632107024
थ,0.0,0.0
द,138.0,0.038461538461538464
ध,5.0,0.0013935340022296545
न,59.0,0.01644370122630992
प,9.0,0.002508361204013378
फ,1.0,0.0002787068004459309
ब,1.0,0.0002787068004459309
भ,3.0,0.0008361204013377926
म,140.0,0.03901895206243032
य,349.0,0.09726867335562987
र,866.0,0.24136008918617613
ल,20.0,0.005574136008918618
व,1152.0,0.3210702341137124
श,16.0,0.004459308807134894
ष,1.0,0.0002787068004459309
स,135.0,0.03762541806020067
ह,5.0,0.0013935340022296545
