vyanjan,frequency,probability
क,643.0,0.042883820194744564
ख,3.0,0.00020008003201280514
ग,191.0,0.01273842870481526
घ,5.0,0.00033346672002134185
ङ,37.0,0.00246765372815793
च,154.0,0.01027077497665733
छ,0.0,0.0
ज,417.0,0.02781112444977991
झ,0.0,0.0
ञ,21.0,0.0014005602240896359
ट,2.0,0.00013338668800853674
ठ,0.0,0.0
ड,0.0,0.0
ढ,0.0,0.0
ण,61.0,0.004068293984260371
त,3053.0,0.20361477924503135
थ,1020.0,0.06802721088435375
द,901.0,0.060090702947845805
ध,82.0,0.005468854208350007
न,1561.0,0.10410830999066294
प,425.0,0.02834467120181406
फ,11.0,0.0007336267840469521
ब,45.0,0.003001200480192077
भ,163.0,0.010871015072695745
म,2064.0,0.13765506202480993
य,420.0,0.028011204481792718
र,190.0,0.01267173536081099
ल,33.0,0.0022008803521408565
व,770.0,0.051353874883286646
श,595.0,0.03968253968253968
ष,38.0,0.0025343470721621983
स,1854.0,0.12364945978391356
ह,235.0,0.015672935841003068
