vyanjan,frequency,probability
क,454.0,0.1013845466726217
ख,1.0,0.00022331397945511388
ग,63.0,0.014068780705672175
घ,0.0,0.0
ङ,132.0,0.029477445288075034
च,33.0,0.0073693613220187585
छ,0.0,0.0
ज,11.0,0.0024564537740062527
झ,0.0,0.0
ञ,1.0,0.00022331397945511388
ट,0.0,0.0
ठ,11.0,0.0024564537740062527
ड,0.0,0.0
ढ,0.0,0.0
ण,2.0,0.00044662795891022776
त,519.0,0.11589995533720411
थ,0.0,0.0
द,54.0,0.01205895489057615
ध,15.0,0.0033497096918267085
न,680.0,0.15185350602947745
प,68.0,0.015185350602947744
फ,0.0,0.0
ब,155.0,0.034613666815542656
भ,13.0,0.0029030817329164806
म,341.0,0.07615006699419384
य,403.0,0.0899955337204109
र,752.0,0.16793211255024565
ल,174.0,0.038856632425189816
व,57.0,0.012728896828941492
श,196.0,0.04376953997320232
ष,2.0,0.00044662795891022776
स,328.0,0.07324698526127736
ह,13.0,0.0029030817329164806
