vyanjan,frequency,probability
क,233.0,0.01973238482384824
ख,74.0,0.006266937669376694
ग,82.0,0.006944444444444444
घ,5.0,0.0004234417344173442
ङ,536.0,0.04539295392953929
च,78.0,0.0066056910569105695
छ,0.0,0.0
ज,74.0,0.006266937669376694
झ,0.0,0.0
ञ,119.0,0.01007791327913279
ट,0.0,0.0
ठ,0.0,0.0
ड,0.0,0.0
ढ,0.0,0.0
ण,0.0,0.0
त,944.0,0.07994579945799458
थ,8.0,0.0006775067750677507
द,352.0,0.02981029810298103
ध,19.0,0.001609078590785908
न,1296.0,0.10975609756097561
प,184.0,0.015582655826558265
फ,27.0,0.0022865853658536584
ब,52.0,0.004403794037940379
भ,81.0,0.006859756097560976
म,3097.0,0.262279810298103
य,92.0,0.007791327913279133
र,2305.0,0.19520663956639567
ल,332.0,0.028116531165311653
व,169.0,0.014312330623306233
श,106.0,0.008976964769647697
ष,1.0,8.468834688346883e-05
स,310.0,0.02625338753387534
ह,1232.0,0.1043360433604336
