vyanjan,frequency,probability
क,25.0,0.005392579810181191
ख,0.0,0.0
ग,37.0,0.007981018119068163
घ,1.0,0.00021570319240724764
ङ,21.0,0.0045297670405522
च,18.0,0.003882657463330457
छ,0.0,0.0
ज,10.0,0.0021570319240724763
झ,0.0,0.0
ञ,2.0,0.0004314063848144953
ट,0.0,0.0
ठ,0.0,0.0
ड,0.0,0.0
ढ,0.0,0.0
ण,44.0,0.009490940465918895
त,928.0,0.2001725625539258
थ,15.0,0.0032355478861087143
द,123.0,0.026531492666091457
ध,6.0,0.0012942191544434857
न,662.0,0.14279551337359792
प,21.0,0.0045297670405522
फ,0.0,0.0
ब,13.0,0.0028041415012942193
भ,8.0,0.001725625539257981
म,477.0,0.10289042277825712
य,113.0,0.02437446074201898
र,932.0,0.20103537532355478
ल,70.0,0.015099223468507334
व,144.0,0.031061259706643658
श,24.0,0.005176876617773943
ष,0.0,0.0
स,940.0,0.20276100086281276
ह,2.0,0.0004314063848144953
