digram,frequency,probability
ृत,3244,0.015614095041899105
ाष,420,0.002021553612083115
ाच,1159,0.005578525324772214
ेत,1594,0.007672277280144011
ुर,3724,0.01792444202713695
ुक,1503,0.007234273997526003
ुय,89,0.0004283768368461838
ुत,3141,0.015118333084650151
ाम,8955,0.04310241094334356
ाः,2451,0.011797209293370747
ाण,1894,0.009116244145917664
ाश,2430,0.011696131612766593
ैव,1202,0.005785493908866438
िम,1610,0.007749288846318606
ृष,1525,0.007340164901016071
ान,10938,0.0526470319261074
ीक,588,0.002830175056916361
ूढ,76,0.00036580493932932554
ोध,495,0.0023825453285265283
ार,5839,0.028104408430841207
ुप,1286,0.006189804631283061
ाज,2493,0.01199936465457906
ीत,2160,0.010396561433570305
ैत,223,0.0010733487035584157
ां,6363,0.030626537223059188
ीं,849,0.004086426230139439
ूम,374,0.0018001453593311546
ेण,1091,0.005251226168530186
िष,3067,0.01476215459109265
ीम,1063,0.005116455927724645
ूर,1435,0.006906974841283975
ेष,2010,0.009674578000683477
ास,4326,0.020822002204456083
ुन,1422,0.006844402943767117
ुध,422,0.002031180057854939
िर,3185,0.015330114891630288
ाट,110,0.0005294545174503396
ुश,665,0.0032007932191315982
ेक,626,0.0030130775265810234
ित,9186,0.04421426542998927
ीर,1701,0.008187292128936615
ुज,364,0.0017520131304720327
िभ,903,0.004346340265978696
ोज,239,0.0011503602697330105
ैब,5,2.406611442956089e-05
ुङ,152,0.0007316098786586511
िक,1676,0.00806696155678881
ौज,37,0.00017808924677875057
ौभ,14,6.73851204027705e-05
ौप,14,6.73851204027705e-05
ेय,725,0.003489586592286329
ाक,2985,0.014367470314447852
िश,2082,0.010021130048469154
िब,173,0.0008326875592628068
िज,684,0.0032922444539639295
ोत,735,0.0035377188211454507
ाय,2593,0.012480686943170278
ैन,203,0.000977084245840172
ंज,85,0.00040912394530253515
ीष,135,0.0006497850895981441
ृप,320,0.0015402313234918969
िं,1069,0.005145335265040118
ौम,314,0.001511351986176424
िस,1109,0.005337864180476605
ीव,1086,0.005227160054100625
ुद,1646,0.007922564870211445
ाप,2718,0.0130823398039093
ाभ,1396,0.006719259148733401
िद,1792,0.008625295411554624
ाग,1680,0.00808621444833246
ेव,2054,0.009886359807663614
ुव,1083,0.005212720385442889
ृद,550,0.002647272587251698
ंह,269,0.001294756956310376
ाद,2819,0.013568475315386429
िन,3292,0.01584512974042289
ोच,399,0.001920475931478959
ैः,969,0.0046640129764489
ेर,238,0.0011455470468470983
ोम,212,0.0010204032518133818
ुख,779,0.0037495006281255865
ुम,1907,0.009178816043434523
ुल,763,0.0036724890619509918
ोऽ,1478,0.007113943425378199
ैर,1554,0.007479748364707524
ाध,839,0.004038294001280317
िव,3099,0.014916177723441839
ुः,797,0.0038361386400720056
ाञ,358,0.0017231337931565597
ेश,909,0.0043752196032941695
ौण,12,5.775867463094614e-05
ृक,222,0.0010685354806725036
ोद,616,0.0029649452977219015
ीप,437,0.0021033784011436217
ुघ,89,0.0004283768368461838
ोष,422,0.002031180057854939
िप,1647,0.007927378093097357
ुष,1579,0.007600078936855329
िख,164,0.0007893685532895972
ात,5705,0.027459436564128976
ृथ,199,0.0009578313542965235
ाब,558,0.0026857783703389954
ाह,1577,0.007590452491083505
िध,762,0.0036676758390650796
ेन,3144,0.015132772753307887
ोर,639,0.0030756494240978816
ुभ,730,0.0035136527067158897
ेऽ,456,0.002194829635975953
ाव,2527,0.012163014232700074
िय,1471,0.007080250865176814
ुड,18,8.66380119464192e-05
ोण,75,0.00036099171644341334
ून,360,0.001732760238928384
ौत,61,0.00029360659604064286
ंस,928,0.004466670838126501
ुह,521,0.0025076891235602445
ौन,33,0.00015883635523510187
ीद,254,0.0012225586130216932
ेम,193,0.0009289520169810504
ुं,557,0.002680965147453083
ेप,132,0.0006353454209404075
ाङ,446,0.0021466974071168315
ोव,147,0.0007075437642290902
ोग,371,0.001785705690673418
ाल,1925,0.009265454055380942
िच,720,0.003465520477856768
ुस,642,0.003090089092755618
ूद,100,0.0004813222885912178
ैल,249,0.0011984924985921322
ोक,1374,0.006613368245243332
ेद,711,0.0034222014718835584
ोभ,378,0.0018193982508748032
ोप,769,0.003701368399266465
ोह,356,0.0017135073473847353
िः,860,0.004139371681884473
िण,737,0.003547345266917275
ंख,26,0.00012514379503371663
ृज,135,0.0006497850895981441
ंव,271,0.0013043834020822003
िग,674,0.003244112225104808
ीभ,115,0.0005535206318799005
ौर,160,0.0007701156617459484
ूज,230,0.001107041263759801
ैक,380,0.0018290246966466276
ीह,61,0.00029360659604064286
िह,792,0.003812072525642445
ुञ,130,0.0006257189751685831
ीय,433,0.002084125509599973
ृच,111,0.0005342677403362518
ूह,83,0.00039949749953071076
ुच,347,0.0016701883414115258
ूष,337,0.001622056112552404
ूव,181,0.0008711933423501042
ंश,757,0.0036436097246355186
ूं,27,0.0001299570179196288
ेह,594,0.0028590543942318336
ौव,86,0.0004139371681884473
ःख,423,0.0020359932807408514
ोस,94,0.0004524429512757447
ूत,771,0.0037109948450382894
ूय,308,0.0014824726488609507
ृह,508,0.0024451172260433864
ंय,177,0.0008519404508064555
ीन,760,0.003658049393293255
ृण,156,0.0007508627702022998
ृश,700,0.0033692560201385247
ंग,35,0.00016846280100692623
ाघ,993,0.004779530325710793
ाख,149,0.0007171702100009145
ैश,572,0.0027531634907417657
ैग,11,5.294545174503396e-05
ुण,761,0.0036628626161791674
ंप,78,0.0003754313851011499
ोः,94,0.0004524429512757447
ौश,109,0.0005246412945644274
िल,853,0.004105679121683088
ीः,34,0.00016364957812101404
ेभ,146,0.000702730541343178
ाथ,219,0.001054095812014767
ूप,624,0.003003451080809199
ंम,30,0.00014439668657736533
ैस,360,0.001732760238928384
ेः,90,0.000433190059732096
ःस,29,0.00013958346369145316
ंक,76,0.00036580493932932554
ैष,102,0.0004909487343630421
ंन,56,0.000269540481611082
िथ,116,0.0005583338547658127
ैभ,6,2.887933731547307e-05
ोघ,23,0.00011070412637598009
ंच,31,0.00014920990946327753
ोल,48,0.00023103469852378455
ीश,126,0.0006064660836249344
ंभ,33,0.00015883635523510187
ुग,721,0.0034703337007426804
ंत,60,0.00028879337315473066
ोय,80,0.0003850578308729742
ैध,8,3.8505783087297425e-05
ाँ,3,1.4439668657736534e-05
ँल,3,1.4439668657736534e-05
ंछ,4,1.9252891543648712e-05
ःश,35,0.00016846280100692623
िघ,115,0.0005535206318799005
ोन,127,0.0006112793065108466
ोढ,17,8.182478906050702e-05
ेग,250,0.0012033057214780444
ीण,148,0.0007123569871150023
ोब,28,0.000134770240805541
ेच,215,0.0010348429204711182
ूट,85,0.00040912394530253515
ृन,24,0.00011551734926189227
ीच,135,0.0006497850895981441
ील,190,0.0009145123483233138
ेङ,9,4.33190059732096e-05
ृढ,71,0.0003417388248997646
ेज,461,0.002218895750405514
ीज,40,0.0001925289154364871
ेध,58,0.0002791669273829063
ौष,21,0.00010107768060415574
ों,10,4.813222885912178e-05
ीध,28,0.000134770240805541
ृव,61,0.00029360659604064286
ृग,330,0.0015883635523510186
ंऽ,10,4.813222885912178e-05
ंघ,16,7.701156617459485e-05
ीट,7,3.369256020138525e-05
ुब,138,0.0006642247582558805
ंष,52,0.00025028759006743325
ंद,28,0.000134770240805541
ेल,37,0.00017808924677875057
ीड,168,0.0008086214448332459
ंर,87,0.0004187503910743595
ृल,5,2.406611442956089e-05
ृङ,101,0.00048613551147712997
ौच,12,5.775867463094614e-05
ूक,60,0.00028879337315473066
ौक,52,0.00025028759006743325
िङ,76,0.00036580493932932554
ूल,406,0.001954168491680344
ःष,1,4.813222885912178e-06
ंध,10,4.813222885912178e-05
ःक,31,0.00014920990946327753
ःप,99,0.00047650906570530563
ौस,121,0.0005823999691953735
ीस,70,0.00033692560201385247
ैच,6,2.887933731547307e-05
ाऽ,735,0.0035377188211454507
ूण,97,0.00046688261993348124
ृध,77,0.0003706181622152377
ैथ,167,0.0008038082219473337
ैद,342,0.0016461222269819648
ृभ,24,0.00011551734926189227
िञ,161,0.0007749288846318606
ोट,69,0.00033211237912794027
ेस,101,0.00048613551147712997
ौञ,31,0.00014920990946327753
ोश,132,0.0006353454209404075
ःत,3,1.4439668657736534e-05
ाढ,57,0.00027435370449699413
ेघ,107,0.000515014848792603
ृं,5,2.406611442956089e-05
ौल,13,6.257189751685831e-05
ाठ,3,1.4439668657736534e-05
ौद,62,0.00029841981892655506
ूच,46,0.00022140825275196018
ेख,20,9.626445771824355e-05
ीग,17,8.182478906050702e-05
ुट,60,0.00028879337315473066
ैम,20,9.626445771824355e-05
ृस,31,0.00014920990946327753
ौह,36,0.0001732760238928384
ीघ,145,0.0006979173184572658
ोड,13,6.257189751685831e-05
ेथ,10,4.813222885912178e-05
ृम,25,0.00012033057214780444
ूथ,108,0.0005198280716785152
ौघ,46,0.00022140825275196018
ूश,14,6.73851204027705e-05
ीब,14,6.73851204027705e-05
ाड,23,0.00011070412637598009
िफ,4,1.9252891543648712e-05
ूग,2,9.626445771824356e-06
ें,4,1.9252891543648712e-05
ैख,8,3.8505783087297425e-05
ौड,2,9.626445771824356e-06
ःम,4,1.9252891543648712e-05
ंङ,9,4.33190059732096e-05
ेफ,9,4.33190059732096e-05
ाफ,3,1.4439668657736534e-05
ैह,11,5.294545174503396e-05
ीढ,3,1.4439668657736534e-05
ंब,10,4.813222885912178e-05
ंल,11,5.294545174503396e-05
ैप,7,3.369256020138525e-05
ैज,4,1.9252891543648712e-05
ूञ,1,4.813222885912178e-06
ःव,4,1.9252891543648712e-05
ीठ,5,2.406611442956089e-05
ूध,8,3.8505783087297425e-05
ःन,2,9.626445771824356e-06
ूब,4,1.9252891543648712e-05
ृर,5,2.406611442956089e-05
ःर,2,9.626445771824356e-06
ैय,3,1.4439668657736534e-05
ुथ,6,2.887933731547307e-05
ृय,5,2.406611442956089e-05
िट,18,8.66380119464192e-05
ंञ,5,2.406611442956089e-05
ुठ,3,1.4439668657736534e-05
ूः,8,3.8505783087297425e-05
ूस,3,1.4439668657736534e-05
ःअ,1,4.813222885912178e-06
ःय,1,4.813222885912178e-06
ौः,5,2.406611442956089e-05
ृड,3,1.4439668657736534e-05
िऽ,2,9.626445771824356e-06
ेड,1,4.813222885912178e-06
ृघ,1,4.813222885912178e-06
ुफ,5,2.406611442956089e-05
ौध,1,4.813222885912178e-06
ुऽ,1,4.813222885912178e-06
ंट,1,4.813222885912178e-06
ीफ,1,4.813222885912178e-06
ौब,4,1.9252891543648712e-05
ैढ,10,4.813222885912178e-05
ेट,1,4.813222885912178e-06
िठ,1,4.813222885912178e-06
ैड,16,7.701156617459485e-05
ेब,4,1.9252891543648712e-05
ेे,1,4.813222885912178e-06
ंं,3,1.4439668657736534e-05
िड,2,9.626445771824356e-06
िझ,2,9.626445771824356e-06
ूख,3,1.4439668657736534e-05
ूड,9,4.33190059732096e-05
ैघ,1,4.813222885912178e-06
ःफ,1,4.813222885912178e-06
ोथ,1,4.813222885912178e-06
ूफ,1,4.813222885912178e-06
ैऋ,4,1.9252891543648712e-05
