digram,frequency,probability
उव,193,0.020051948051948053
आच,29,0.003012987012987013
अत,117,0.012155844155844156
उत,150,0.015584415584415584
एव,476,0.04945454545454545
अस,223,0.02316883116883117
अश,100,0.01038961038961039
अन,436,0.0452987012987013
अप,239,0.024831168831168832
अय,142,0.014753246753246753
ऽभ,290,0.03012987012987013
अथ,231,0.024
अर,113,0.01174025974025974
ऽच,15,0.0015584415584415584
ऽह,268,0.027844155844155845
एत,226,0.02348051948051948
ऽत,97,0.010077922077922078
ऽन,277,0.02877922077922078
इम,107,0.011116883116883117
ऽव,76,0.007896103896103896
ऽप,352,0.036571428571428574
अध,72,0.007480519480519481
अह,216,0.022441558441558443
उप,178,0.018493506493506492
इष,23,0.0023896103896103894
अव,171,0.017766233766233767
इत,376,0.039064935064935066
ऽस,476,0.04945454545454545
आग,51,0.005298701298701298
ऽम,49,0.005090909090909091
उभ,23,0.0023896103896103894
एन,10,0.001038961038961039
अज,34,0.0035324675324675324
ऽय,208,0.02161038961038961
अच,29,0.003012987012987013
ऽश,76,0.007896103896103896
ऽर,97,0.010077922077922078
आश,72,0.007480519480519481
अक,52,0.005402597402597403
एष,115,0.011948051948051949
आत,67,0.006961038961038961
उद,98,0.010181818181818183
उच,32,0.003324675324675325
ऽङ,21,0.002181818181818182
इन,41,0.004259740259740259
आस,81,0.008415584415584416
आप,39,0.004051948051948052
अघ,2,0.0002077922077922078
आव,40,0.004155844155844156
ऽब,67,0.006961038961038961
ऽद,82,0.008519480519480519
अभ,238,0.024727272727272726
इह,75,0.007792207792207792
ऽग,72,0.007480519480519481
एक,88,0.009142857142857144
आद,34,0.0035324675324675324
ऽध,41,0.004259740259740259
आर,93,0.009662337662337662
ईक,1,0.0001038961038961039
इव,315,0.03272727272727273
इच,19,0.001974025974025974
ओम,1,0.0001038961038961039
आब,9,0.0009350649350649351
ऽक,27,0.0028051948051948054
अग,88,0.009142857142857144
इद,116,0.012051948051948052
ऋक,22,0.002285714285714286
अम,79,0.008207792207792207
आह,30,0.003116883116883117
ऐर,6,0.0006233766233766234
आय,36,0.0037402597402597403
ऽथ,65,0.006753246753246753
आख,11,0.001142857142857143
ऋत,34,0.0035324675324675324
अद,143,0.014857142857142857
आध,4,0.0004155844155844156
ऊर,29,0.003012987012987013
ऋष,95,0.009870129870129871
ऽज,13,0.0013506493506493507
ऽख,5,0.0005194805194805195
ईश,5,0.0005194805194805195
ऽल,7,0.0007272727272727272
ईह,3,0.0003116883116883117
आढ,2,0.0002077922077922078
अफ,7,0.0007272727272727272
इज,2,0.0002077922077922078
इक,49,0.005090909090909091
आज,41,0.004259740259740259
ऽऽ,70,0.007272727272727273
ऋश,17,0.0017662337662337662
अङ,62,0.006441558441558442
अञ,9,0.0009350649350649351
अष,9,0.0009350649350649351
ईद,14,0.0014545454545454545
ऊच,19,0.001974025974025974
आन,46,0.004779220779220779
और,5,0.0005194805194805195
एह,7,0.0007272727272727272
अब,94,0.009766233766233767
ओढ,1,0.0001038961038961039
ऐन,2,0.0002077922077922078
ऽष,3,0.0003116883116883117
उर,6,0.0006233766233766234
उक,17,0.0017662337662337662
ऊन,1,0.0001038961038961039
इय,35,0.0036363636363636364
ऊष,3,0.0003116883116883117
अल,50,0.005194805194805195
ऐष,2,0.0002077922077922078
आक,26,0.0027012987012987014
आम,20,0.002077922077922078
ऐक,2,0.0002077922077922078
ऋच,5,0.0005194805194805195
उम,5,0.0005194805194805195
उग,12,0.0012467532467532467
अं,5,0.0005194805194805195
उष,15,0.0015584415584415584
ऊध,1,0.0001038961038961039
ओङ,1,0.0001038961038961039
औप,5,0.0005194805194805195
ऊह,1,0.0001038961038961039
आभ,5,0.0005194805194805195
ऽञ,7,0.0007272727272727272
औद,3,0.0003116883116883117
एभ,4,0.0004155844155844156
ओष,4,0.0004155844155844156
ईर,1,0.0001038961038961039
उज,1,0.0001038961038961039
ऐश,10,0.001038961038961039
उञ,1,0.0001038961038961039
आल,5,0.0005194805194805195
अअ,1,0.0001038961038961039
उन,11,0.001142857142857143
ईष,3,0.0003116883116883117
ऐण,2,0.0002077922077922078
उध,1,0.0001038961038961039
अट,4,0.0004155844155844156
ऐल,2,0.0002077922077922078
इङ,5,0.0005194805194805195
आञ,1,0.0001038961038961039
उट,1,0.0001038961038961039
आघ,1,0.0001038961038961039
ऐङ,1,0.0001038961038961039
अा,1,0.0001038961038961039
ऋण,3,0.0003116883116883117
अख,2,0.0002077922077922078
उल,3,0.0003116883116883117
ऋज,2,0.0002077922077922078
औष,2,0.0002077922077922078
ऽण,1,0.0001038961038961039
इं,1,0.0001038961038961039
ईप,1,0.0001038961038961039
औत,1,0.0001038961038961039
आष,1,0.0001038961038961039
ऋद,2,0.0002077922077922078
ऐव,1,0.0001038961038961039
