digram,frequency,probability
धृ,139,0.00030422811417965654
तर,1172,0.002565146401572356
रा,13039,0.02853834806322692
वा,10343,0.022637635863022934
धर,1480,0.003239263373999221
मक,322,0.0007047586529917223
षे,583,0.0012760071263794228
रे,2343,0.005128104111675793
कु,1659,0.003631039146935613
रु,3393,0.007426230154040106
सम,3097,0.0067783774792402616
मव,631,0.0013810643168875056
वे,2475,0.005417011385573022
ता,9596,0.021002683335740895
यु,1932,0.004228551917950334
सव,169,0.00036988885824720835
वः,391,0.0008557783643470914
मा,8876,0.01942682547811965
का,4249,0.00929975005143425
पा,2711,0.0059335425722377615
डव,35,7.660420141214373e-05
चै,631,0.0013810643168875056
कि,885,0.0019369919499927773
वत,1699,0.0037185868056923486
सञ,119,0.0002604542848012887
जय,315,0.0006894378127092936
दृ,1214,0.0026570714432669284
तु,3892,0.008518387197030384
नी,1107,0.0024228814560926606
कं,362,0.0007923063117484581
यू,216,0.00047275735728637277
ढं,32,7.003812700538856e-05
दु,1467,0.0032108103849032817
यो,2000,0.004377382937836785
धन,544,0.0011906481590916054
नस,936,0.0020486152149076153
तद,1441,0.0031539044067114036
दा,2446,0.005353539332974388
चा,1763,0.0038586630597031257
यम,2064,0.004517459191847562
मु,3126,0.006841849531838895
पस,611,0.0013372904875091378
सङ,536,0.0011731386273402583
गम,870,0.0019041615779590015
जा,1999,0.004375194246367867
वच,948,0.0020748795125346362
चन,1115,0.0024403909878440077
नम,1440,0.0031517157152424853
मब,444,0.0009717790121997662
रव,2102,0.004600629467666461
वी,1803,0.003946210718459861
पश,741,0.0016218203784685288
यै,496,0.0010855909685835226
डु,62,0.00013569887107294033
पु,3053,0.006682075054607852
णा,2257,0.004939876645348812
मह,3685,0.008065328062964276
हत,928,0.002031105683156268
ती,1135,0.0024841648172223754
चम,76,0.00016634055163779782
मू,427,0.0009345712572281535
ढा,36,7.879289288106212e-05
पद,531,0.0011621951699956664
दप,236,0.0005165311866647406
तव,1061,0.0023222016485224145
शि,968,0.002118653341913004
ये,2348,0.005139047569020385
धी,200,0.0004377382937836785
मत,1150,0.0025169951892561513
शू,216,0.00047275735728637277
हे,554,0.0012125350737807895
सा,3236,0.007082605593419918
भी,301,0.0006587961321444361
जु,146,0.0003195489544620853
धि,1168,0.0025563916356966822
धा,1471,0.0032195651507789555
नो,816,0.0017859722386374083
वि,8152,0.017842212854622737
टश,34,7.441550994322534e-05
दश,574,0.0012563089031591573
हा,3401,0.007443739685791453
रथ,719,0.001573669166152324
थः,94,0.0002057369980783289
टक,103,0.00022543522129859443
के,1011,0.002212767075076495
चे,409,0.0008951748107876225
नः,1151,0.0025191838807250696
जश,66,0.0001444536369486139
यव,770,0.0016852924310671621
जि,585,0.0012803845093172597
ति,6191,0.013550188884073769
भो,245,0.0005362294098850062
शै,246,0.0005384181013539245
यश,595,0.0013022714240064435
नर,1430,0.003129828800553301
रप,517,0.0011315534894308088
गव,422,0.0009236277998835616
मन,3061,0.0066995845863592
तम,2964,0.006487281513874115
मौ,212,0.0004640025914106992
सौ,455,0.0009958546183578686
भद,138,0.00030203942271073814
रो,1882,0.004119117344504415
रौ,352,0.0007704193970592742
दे,1950,0.004267948364390865
या,9763,0.021368194811050265
सर,2305,0.005044933835856895
था,2517,0.005508936427267594
टा,650,0.001422649454796955
नि,5607,0.012271993066225426
बो,60,0.00013132148813510354
जो,195,0.00042679483643908654
ना,6325,0.013843473540908832
यक,643,0.0014073286145145263
मम,1528,0.0033443205645073038
सै,180,0.00039396446440531066
यस,1854,0.0040578339833747
