ending,frequency,probability
,754,0.4889753566796368
यथाविधि,5,0.00324254215304799
च,66,0.042801556420233464
चेतसा,2,0.0012970168612191958
वै,4,0.0025940337224383916
भवानिति,1,0.0006485084306095979
रवौ,1,0.0006485084306095979
विना,4,0.0025940337224383916
यथा,20,0.01297016861219196
तदा,8,0.005188067444876783
ह,18,0.011673151750972763
विनाशने,1,0.0006485084306095979
नय,1,0.0006485084306095979
मायया,2,0.0012970168612191958
विनेदुषी,1,0.0006485084306095979
राघवे,4,0.0025940337224383916
निवेदय,1,0.0006485084306095979
राजसूनुना,1,0.0006485084306095979
मम,11,0.007133592736705577
तथा,9,0.005836575875486381
नामतः,2,0.0012970168612191958
मृगानपि,1,0.0006485084306095979
पृथिवीमपि,1,0.0006485084306095979
ये,1,0.0006485084306095979
तव,6,0.0038910505836575876
पुरा,3,0.0019455252918287938
महाबलौ,1,0.0006485084306095979
सह,10,0.00648508430609598
कौशिक,1,0.0006485084306095979
मुने,1,0.0006485084306095979
तौ,1,0.0006485084306095979
राघव,13,0.008430609597924773
मे,17,0.011024643320363165
धीमता,2,0.0012970168612191958
नृप,2,0.0012970168612191958
देवलोकजिगीषया,1,0.0006485084306095979
नराधिप,1,0.0006485084306095979
ददौ,1,0.0006485084306095979
इमे,1,0.0006485084306095979
बहु,2,0.0012970168612191958
विषीदति,1,0.0006485084306095979
पुनः,9,0.005836575875486381
सुरासुरैः,1,0.0006485084306095979
शचीपतेः,1,0.0006485084306095979
इवांशुभिः,1,0.0006485084306095979
मेदिनी,1,0.0006485084306095979
जीवति,1,0.0006485084306095979
नृपः,2,0.0012970168612191958
नृपाः,1,0.0006485084306095979
मानदैः,1,0.0006485084306095979
रामोऽभिभाषते,1,0.0006485084306095979
महीपतेः,1,0.0006485084306095979
नराधिपः,2,0.0012970168612191958
राघवः,12,0.007782101167315175
पितुः,5,0.00324254215304799
रविः,1,0.0006485084306095979
समाचर,1,0.0006485084306095979
राजसे,1,0.0006485084306095979
ते,6,0.0038910505836575876
गते,1,0.0006485084306095979
मुखे,1,0.0006485084306095979
नभः,1,0.0006485084306095979
वशी,1,0.0006485084306095979
निशाकरः,1,0.0006485084306095979
कदाचन,1,0.0006485084306095979
पांसुषु,1,0.0006485084306095979
भामिनी,3,0.0019455252918287938
शपे,1,0.0006485084306095979
वचः,8,0.005188067444876783
कालोऽयमागत,1,0.0006485084306095979
तापसः,1,0.0006485084306095979
वा,6,0.0038910505836575876
चेतना,2,0.0012970168612191958
मनुजाधिप,1,0.0006485084306095979
वने,3,0.0019455252918287938
भाषसे,1,0.0006485084306095979
भव,4,0.0025940337224383916
गतायुषः,1,0.0006485084306095979
विशेषतः,4,0.0025940337224383916
हि,5,0.00324254215304799
जनाः,2,0.0012970168612191958
वेदपारगे,1,0.0006485084306095979
भूपतिः,1,0.0006485084306095979
पयः,1,0.0006485084306095979
महाबलः,9,0.005836575875486381
दिवाकरः,1,0.0006485084306095979
विचारणा,1,0.0006485084306095979
परमवारिणा,1,0.0006485084306095979
तथाऽपरे,1,0.0006485084306095979
धीमतः,4,0.0025940337224383916
सारथिः,2,0.0012970168612191958
पथि,2,0.0012970168612191958
या,1,0.0006485084306095979
राजनि,1,0.0006485084306095979
शिखरोपमैः,1,0.0006485084306095979
सः,9,0.005836575875486381
सदा,1,0.0006485084306095979
भामिनि,2,0.0012970168612191958
दुःखिता,2,0.0012970168612191958
किल,3,0.0019455252918287938
मया,10,0.00648508430609598
महामते,1,0.0006485084306095979
सुखदुःखयोः,1,0.0006485084306095979
समुपागता,1,0.0006485084306095979
धनमानीयतामिति,1,0.0006485084306095979
वेगितः,1,0.0006485084306095979
चाशुभैः,2,0.0012970168612191958
यः,3,0.0019455252918287938
वसुधाधिपः,1,0.0006485084306095979
यदि,1,0.0006485084306095979
मा,1,0.0006485084306095979
तवानघः,1,0.0006485084306095979
राजसंसदि,1,0.0006485084306095979
परिदूयते,1,0.0006485084306095979
चमूः,1,0.0006485084306095979
मधु,2,0.0012970168612191958
मामकः,1,0.0006485084306095979
सुरामिव,1,0.0006485084306095979
माऽहिते,1,0.0006485084306095979
महीपतिः,1,0.0006485084306095979
सुखोचिता,1,0.0006485084306095979
पूजिता,1,0.0006485084306095979
तवानघ,1,0.0006485084306095979
महायशः,2,0.0012970168612191958
परमपीडिता,1,0.0006485084306095979
चापरे,1,0.0006485084306095979
सुखोचितौ,1,0.0006485084306095979
नः,2,0.0012970168612191958
चानघ,1,0.0006485084306095979
यामुनैः,1,0.0006485084306095979
सजनाधिपा,1,0.0006485084306095979
पिहिताननः,1,0.0006485084306095979
पृथिवीपतौ,1,0.0006485084306095979
शोकलालसा,1,0.0006485084306095979
भुवि,1,0.0006485084306095979
मानवाः,1,0.0006485084306095979
मानुषी,1,0.0006485084306095979
महायशाः,4,0.0025940337224383916
मुनिः,3,0.0019455252918287938
विवासनातुरः,1,0.0006485084306095979
परमपीडितः,1,0.0006485084306095979
मनः,2,0.0012970168612191958
ययौ,1,0.0006485084306095979
सारथे,1,0.0006485084306095979
