ngram,frequency,probability
राघव,785,0.002828237701669561
महात,649,0.002338250023418529
यामि,605,0.0021797245981020185
ानां,596,0.0021472989429236413
वानर,562,0.002024802023360883
राजा,529,0.0019059079543735002
सीता,521,0.0018770851497704984
रवीत,486,0.001750985379632365
रामस,442,0.0015924599543158547
रावण,428,0.0015420200462606013
महाब,427,0.001538417195685226
दुःख,415,0.0014951829887807234
कृता,375,0.001351068965765714
यामा,321,0.001156515034695451
वैदे,319,0.0011493093335447006
ैदेह,319,0.0011493093335447006
रामं,317,0.0011421036323939501
िताम,312,0.001124089379517074
रामो,310,0.0011168836783663233
िताः,309,0.0011132808277909481
ामास,302,0.0010880608737633215
तानि,301,0.0010844580231879463
ुरुष,300,0.001080855172612571
रिया,297,0.0010700466208864454
वचनं,293,0.0010556352185849445
मुनि,282,0.0010160038622558168
राणि,273,0.0009835782070774398
चापि,271,0.0009763725059266892
ुवाच,265,0.0009547554024744377
पुरु,262,0.000943946850748312
ाणां,260,0.0009367411495975616
राणा,259,0.0009331382990221864
वमुक,257,0.0009259325978714359
ामित,257,0.0009259325978714359
पिता,252,0.0009079183449945597
हाबल,251,0.0009043154944191845
रामे,244,0.0008790955403915578
विना,243,0.0008754926898161825
पुनर,242,0.0008718898392408073
यमान,242,0.0008718898392408073
हिता,235,0.0008466698852131806
नाना,229,0.0008250527817609293
हनुम,229,0.0008250527817609293
दशरथ,227,0.0008178470806101788
ानाम,221,0.0007962299771579274
मिदं,220,0.0007926271265825521
विवि,218,0.0007854214254318017
वामि,218,0.0007854214254318017
ुमान,218,0.0007854214254318017
षिता,217,0.0007818185748564264
भविष,216,0.0007782157242810512
ेषां,215,0.0007746128737056759
ैकेय,208,0.0007493929196780493
कैके,208,0.0007493929196780493
महार,208,0.0007493929196780493
विधा,207,0.0007457900691026741
ितान,205,0.0007385843679519235
तुमर,203,0.0007313786668011731
एवमु,202,0.0007277758162257978
नानि,202,0.0007277758162257978
ताना,199,0.0007169672644996722
जीवि,197,0.0007097615633489217
तेजा,195,0.0007025558621981711
िविध,195,0.0007025558621981711
ातेज,193,0.0006953501610474207
ासाद,193,0.0006953501610474207
हाते,193,0.0006953501610474207
मिवा,191,0.0006881444598966702
जगाम,191,0.0006881444598966702
यताम,189,0.0006809387587459198
ादित,188,0.0006773359081705446
ाधिप,188,0.0006773359081705446
पुनः,187,0.0006737330575951693
िवेश,187,0.0006737330575951693
समुद,184,0.0006629245058690436
ितुम,184,0.0006629245058690436
उवाच,182,0.0006557188047182931
तेषा,181,0.0006521159541429179
काकु,181,0.0006521159541429179
ारिण,181,0.0006521159541429179
माना,181,0.0006521159541429179
मुपा,180,0.0006485131035675426
नुमा,180,0.0006485131035675426
सौमि,180,0.0006485131035675426
ौमित,180,0.0006485131035675426
बाहु,179,0.0006449102529921674
मानं,179,0.0006449102529921674
ाकुत,179,0.0006449102529921674
गमिष,178,0.0006413074024167922
देही,176,0.0006341017012660417
बभूव,176,0.0006341017012660417
गिरि,175,0.0006304988506906664
लोके,175,0.0006304988506906664
दिता,174,0.0006268960001152912
हाबा,171,0.0006160874483891655
पितु,170,0.0006124845978137903
महान,170,0.0006124845978137903
मारु,170,0.0006124845978137903
मागत,169,0.000608881747238415
ाबाह,169,0.000608881747238415
ानरा,168,0.0006052788966630398
ीवित,168,0.0006052788966630398
सागर,168,0.0006052788966630398
मैथि,166,0.0005980731955122894
ैथिल,166,0.0005980731955122894
ालिन,165,0.000594470344936914
विशा,165,0.000594470344936914
तेजस,165,0.000594470344936914
ाभिर,164,0.0005908674943615388
ीमान,163,0.0005872646437861636
रियम,161,0.0005800589426354131
िमान,160,0.0005764560920600379
कारण,159,0.0005728532414846627
रामा,159,0.0005728532414846627
यानि,158,0.0005692503909092875
यतां,157,0.0005656475403339122
ीतां,157,0.0005656475403339122
भूता,156,0.000562044689758537
ामिव,156,0.000562044689758537
विनि,155,0.0005584418391831617
ावृत,155,0.0005584418391831617
कुरु,155,0.0005584418391831617
थिता,152,0.000547633287457036
ितां,152,0.000547633287457036
मानस,151,0.0005440304368816608
रीमा,150,0.0005404275863062855
ारुत,150,0.0005404275863062855
विता,148,0.0005332218851555351
पुरा,148,0.0005332218851555351
ाघवः,148,0.0005332218851555351
मासा,147,0.0005296190345801599
देवा,147,0.0005296190345801599
कृतं,146,0.0005260161840047846
ायां,146,0.0005260161840047846
पुरी,145,0.0005224133334294093
िभिः,145,0.0005224133334294093
चतुर,144,0.0005188104828540341
ूतान,143,0.0005152076322786588
ताया,142,0.0005116047817032836
ामेण,142,0.0005116047817032836
वसिष,141,0.0005080019311279084
ूषित,140,0.0005043990805525332
परित,139,0.0005007962299771579
विचि,138,0.0004971933794017827
काले,138,0.0004971933794017827
भिषे,138,0.0004971933794017827
जाना,137,0.0004935905288264075
विनी,136,0.0004899876782510323
निवे,135,0.000486384827675657
निहत,135,0.000486384827675657
सिंह,135,0.000486384827675657
निशा,134,0.00048278197710028176
रिता,133,0.00047917912652490653
तुमि,132,0.00047557627594953125
कृतम,131,0.000471973425374156
वालि,131,0.000471973425374156
राजन,130,0.0004683705747987808
मिति,127,0.00045756202307265507
भूषि,127,0.00045756202307265507
संशय,127,0.00045756202307265507
ाकुल,127,0.00045756202307265507
ुमिच,126,0.00045395917249727984
वृता,126,0.00045395917249727984
सुमह,126,0.00045395917249727984
महाव,126,0.00045395917249727984
थिली,126,0.00045395917249727984
ोऽपि,125,0.0004503563219219046
रामम,124,0.0004467534713465294
सुरा,124,0.0004467534713465294
ाजान,124,0.0004467534713465294
रसाद,124,0.0004467534713465294
पतित,124,0.0004467534713465294
करिष,124,0.0004467534713465294
यितु,122,0.0004395477701957789
राजस,122,0.0004395477701957789
महाम,121,0.00043594491962040366
रातर,121,0.00043594491962040366
युवा,121,0.00043594491962040366
सहित,121,0.00043594491962040366
रामः,120,0.00043234206904502843
रियं,119,0.0004287392184696532
वासि,119,0.0004287392184696532
मानु,119,0.0004287392184696532
महाक,118,0.000425136367894278
लोका,118,0.000425136367894278
रियः,118,0.000425136367894278
तिमा,117,0.0004215335173189027
पराक,117,0.0004215335173189027
चारि,117,0.0004215335173189027
िनीम,117,0.0004215335173189027
रकृत,116,0.00041793066674352747
ृथिव,116,0.00041793066674352747
पृथि,116,0.00041793066674352747
निवर,116,0.00041793066674352747
ोऽयं,115,0.00041432781616815225
ितुं,115,0.00041432781616815225
ोऽहं,115,0.00041432781616815225
ीतया,114,0.000410724965592777
वचनम,113,0.0004071221150174018
माणा,113,0.0004071221150174018
िवृत,112,0.0004035192644420265
िधान,112,0.0004035192644420265
परिव,112,0.0004035192644420265
कौसल,112,0.0004035192644420265
ुपाग,111,0.0003999164138666513
सीतय,111,0.0003999164138666513
रहृष,111,0.0003999164138666513
हितं,111,0.0003999164138666513
विवे,111,0.0003999164138666513
ारुण,110,0.00039631356329127606
शोभि,110,0.00039631356329127606
लानि,110,0.00039631356329127606
तथैव,109,0.00039271071271590084
रुता,109,0.00039271071271590084
थितः,108,0.0003891078621405256
कामा,108,0.0003891078621405256
िशाल,108,0.0003891078621405256
तामह,108,0.0003891078621405256
कपिः,108,0.0003891078621405256
राजप,107,0.00038550501156515033
ोभित,107,0.00038550501156515033
षिणा,107,0.00038550501156515033
ीनां,107,0.00038550501156515033
हारा,106,0.0003819021609897751
शाला,106,0.0003819021609897751
षमाण,106,0.0003819021609897751
देवि,106,0.0003819021609897751
तामि,106,0.0003819021609897751
कृते,105,0.0003782993104143999
महाभ,105,0.0003782993104143999
िनाम,105,0.0003782993104143999
यमाण,105,0.0003782993104143999
याना,105,0.0003782993104143999
केयी,105,0.0003782993104143999
गुरु,104,0.00037469645983902465
समीक,104,0.00037469645983902465
ितुर,104,0.00037469645983902465
ोहित,103,0.0003710936092636494
सदृश,103,0.0003710936092636494
ासुर,103,0.0003710936092636494
रेषु,103,0.0003710936092636494
ाहित,103,0.0003710936092636494
पाणि,103,0.0003710936092636494
मुवा,103,0.0003710936092636494
देवी,103,0.0003710936092636494
भवेत,102,0.00036749075868827414
शुभा,102,0.00036749075868827414
रूपा,102,0.00036749075868827414
योजन,101,0.0003638879081128989
चिता,101,0.0003638879081128989
विधि,101,0.0003638879081128989
गवान,101,0.0003638879081128989
संयु,101,0.0003638879081128989
िगृह,101,0.0003638879081128989
ितेन,100,0.0003602850575375237
दुरा,100,0.0003602850575375237
भरतस,100,0.0003602850575375237
ुमार,100,0.0003602850575375237
रतिज,100,0.0003602850575375237
वभूत,100,0.0003602850575375237
ानुष,100,0.0003602850575375237
हृदय,99,0.00035668220696214847
सुमन,99,0.00035668220696214847
तारा,99,0.00035668220696214847
भूमौ,99,0.00035668220696214847
समुत,99,0.00035668220696214847
ातुम,98,0.00035307935638677324
नरेन,98,0.00035307935638677324
ेवित,98,0.00035307935638677324
मेवा,97,0.00034947650581139796
विशे,97,0.00034947650581139796
रीवस,97,0.00034947650581139796
रूपं,97,0.00034947650581139796
महाय,97,0.00034947650581139796
नाभि,97,0.00034947650581139796
छामि,97,0.00034947650581139796
काशं,97,0.00034947650581139796
ानान,96,0.00034587365523602273
रविश,96,0.00034587365523602273
षितम,95,0.0003422708046606475
ोदित,95,0.0003422708046606475
ाघवस,95,0.0003422708046606475
कुशल,95,0.0003422708046606475
मुहू,95,0.0003422708046606475
ाभाग,95,0.0003422708046606475
ुहूर,95,0.0003422708046606475
भूमि,94,0.0003386679540852723
िराज,94,0.0003386679540852723
ृहीत,94,0.0003386679540852723
सुखम,94,0.0003386679540852723
वलोक,94,0.0003386679540852723
ाजपु,94,0.0003386679540852723
तमिव,94,0.0003386679540852723
गृही,94,0.0003386679540852723
ुःखि,93,0.00033506510350989706
रिवा,93,0.00033506510350989706
तेषु,93,0.00033506510350989706
नवास,93,0.00033506510350989706
घुनन,92,0.0003314622529345218
वितम,92,0.0003314622529345218
पपात,92,0.0003314622529345218
रीति,92,0.0003314622529345218
ातरं,92,0.0003314622529345218
रतिप,92,0.0003314622529345218
रघुन,92,0.0003314622529345218
ःखित,92,0.0003314622529345218
नामि,91,0.00032785940235914655
ाराज,91,0.00032785940235914655
मानि,91,0.00032785940235914655
समाह,91,0.00032785940235914655
वायु,91,0.00032785940235914655
ाबलः,91,0.00032785940235914655
ासिन,91,0.00032785940235914655
रातु,91,0.00032785940235914655
िचित,91,0.00032785940235914655
थितम,91,0.00032785940235914655
ुःखा,91,0.00032785940235914655
िवाद,91,0.00032785940235914655
पितर,91,0.00032785940235914655
शोका,91,0.00032785940235914655
जपुत,91,0.00032785940235914655
निमि,90,0.0003242565517837713
िदमब,90,0.0003242565517837713
चकार,90,0.0003242565517837713
ातुर,90,0.0003242565517837713
िशेष,90,0.0003242565517837713
वादि,90,0.0003242565517837713
भगवा,90,0.0003242565517837713
सुहृ,90,0.0003242565517837713
साधु,90,0.0003242565517837713
हनूम,89,0.0003206537012083961
मिदम,89,0.0003206537012083961
रवीद,89,0.0003206537012083961
सहसा,89,0.0003206537012083961
ावणस,89,0.0003206537012083961
परिप,89,0.0003206537012083961
पादप,89,0.0003206537012083961
मानम,88,0.00031705085063302087
वनवा,88,0.00031705085063302087
ुदित,88,0.00031705085063302087
जनका,88,0.00031705085063302087
िभिर,88,0.00031705085063302087
तोऽस,88,0.00031705085063302087
िवास,87,0.0003134480000576456
देवत,87,0.0003134480000576456
याभि,87,0.0003134480000576456
सुता,87,0.0003134480000576456
वानु,87,0.0003134480000576456
हाभा,87,0.0003134480000576456
ामेव,87,0.0003134480000576456
ानना,86,0.00030984514948227036
ामपि,86,0.00030984514948227036
समाग,86,0.00030984514948227036
हितम,86,0.00030984514948227036
हायश,86,0.00030984514948227036
जिता,85,0.00030624229890689514
वनान,85,0.00030624229890689514
ततोऽ,85,0.00030624229890689514
मागम,85,0.00030624229890689514
भवान,85,0.00030624229890689514
चनमब,85,0.00030624229890689514
संवृ,84,0.0003026394483315199
िनाश,84,0.0003026394483315199
रतिम,84,0.0003026394483315199
शरीर,84,0.0003026394483315199
ागतः,84,0.0003026394483315199
पुरो,84,0.0003026394483315199
रीवो,84,0.0003026394483315199
िशार,83,0.0002990365977561447
ामिन,83,0.0002990365977561447
सुदु,83,0.0002990365977561447
शिरस,83,0.0002990365977561447
िमुख,83,0.0002990365977561447
नकात,83,0.0002990365977561447
ीताय,83,0.0002990365977561447
तारं,83,0.0002990365977561447
ाभरण,82,0.0002954337471807694
मानो,82,0.0002954337471807694
ेजसा,82,0.0002954337471807694
रविव,82,0.0002954337471807694
रिभि,82,0.0002954337471807694
ादाय,82,0.0002954337471807694
तापस,82,0.0002954337471807694
माहि,82,0.0002954337471807694
याया,82,0.0002954337471807694
यूथप,82,0.0002954337471807694
यवान,82,0.0002954337471807694
महाप,82,0.0002954337471807694
मुखा,82,0.0002954337471807694
धारय,82,0.0002954337471807694
तवान,82,0.0002954337471807694
ागता,82,0.0002954337471807694
समुप,82,0.0002954337471807694
विजा,81,0.0002918308966053942
णानि,81,0.0002918308966053942
मधुर,81,0.0002918308966053942
िमित,81,0.0002918308966053942
रुणा,81,0.0002918308966053942
पुरस,81,0.0002918308966053942
वासा,81,0.0002918308966053942
नूनं,81,0.0002918308966053942
विरा,81,0.0002918308966053942
ासीन,81,0.0002918308966053942
माभि,81,0.0002918308966053942
ागतम,80,0.00028822804603001895
सलिल,80,0.00028822804603001895
हाकप,80,0.00028822804603001895
ामुप,80,0.00028822804603001895
लोचन,80,0.00028822804603001895
दारु,80,0.00028822804603001895
पितृ,80,0.00028822804603001895
रियत,79,0.00028462519545464373
िशाच,79,0.00028462519545464373
विभू,79,0.00028462519545464373
ाणाम,79,0.00028462519545464373
भरतं,79,0.00028462519545464373
ंवृत,79,0.00028462519545464373
ेहीं,79,0.00028462519545464373
रुवन,79,0.00028462519545464373
शिता,79,0.00028462519545464373
नादि,78,0.0002810223448792685
लोकस,78,0.0002810223448792685
ुमहा,78,0.0002810223448792685
ीपति,78,0.0002810223448792685
परिष,78,0.0002810223448792685
धीमत,78,0.0002810223448792685
मांस,78,0.0002810223448792685
रीवं,78,0.0002810223448792685
िकृत,78,0.0002810223448792685
ाघवम,78,0.0002810223448792685
शोकस,78,0.0002810223448792685
ामुन,78,0.0002810223448792685
भाषि,78,0.0002810223448792685
तमान,78,0.0002810223448792685
ेवता,77,0.0002774194943038932
िवार,77,0.0002774194943038932
भूषण,77,0.0002774194943038932
माया,77,0.0002774194943038932
हामु,77,0.0002774194943038932
ाकार,77,0.0002774194943038932
नाति,76,0.000273816643728518
ीणां,76,0.000273816643728518
तिता,76,0.000273816643728518
रकाश,76,0.000273816643728518
कुमा,76,0.000273816643728518
कानन,76,0.000273816643728518
महेन,76,0.000273816643728518
दीना,76,0.000273816643728518
ोऽनु,76,0.000273816643728518
परमा,75,0.00027021379315314277
भिरा,75,0.00027021379315314277
रूपि,75,0.00027021379315314277
रितं,75,0.00027021379315314277
राता,75,0.00027021379315314277
ीडित,75,0.00027021379315314277
महता,74,0.00026661094257776754
ृताम,74,0.00026661094257776754
बाहो,74,0.00026661094257776754
विपु,74,0.00026661094257776754
ेवान,74,0.00026661094257776754
केचि,74,0.00026661094257776754
वराज,74,0.00026661094257776754
षितः,74,0.00026661094257776754
राधि,74,0.00026661094257776754
िषेक,74,0.00026661094257776754
परिक,73,0.0002630080920023923
निपु,73,0.0002630080920023923
िहित,73,0.0002630080920023923
ुरास,73,0.0002630080920023923
वेदि,73,0.0002630080920023923
वाली,73,0.0002630080920023923
नुमत,73,0.0002630080920023923
ानाद,73,0.0002630080920023923
वारि,73,0.0002630080920023923
थानं,73,0.0002630080920023923
माता,73,0.0002630080920023923
विलप,73,0.0002630080920023923
रविष,73,0.0002630080920023923
ामलक,73,0.0002630080920023923
षसान,72,0.00025940524142701704
ाकाश,72,0.00025940524142701704
रीणा,72,0.00025940524142701704
ृतान,72,0.00025940524142701704
ारणा,72,0.00025940524142701704
िभूष,72,0.00025940524142701704
ितास,72,0.00025940524142701704
महीप,72,0.00025940524142701704
िदित,72,0.00025940524142701704
िरिव,71,0.0002558023908516418
यवाद,71,0.0002558023908516418
दितः,71,0.0002558023908516418
िपुङ,71,0.0002558023908516418
विदि,71,0.0002558023908516418
मणेन,71,0.0002558023908516418
ाकीर,71,0.0002558023908516418
नियत,71,0.0002558023908516418
ोकान,71,0.0002558023908516418
थिवी,71,0.0002558023908516418
तुमु,70,0.0002521995402762666
मनुज,70,0.0002521995402762666
नेषु,70,0.0002521995402762666
भरतो,70,0.0002521995402762666
निवा,70,0.0002521995402762666
ाभिष,70,0.0002521995402762666
ीताम,70,0.0002521995402762666
रूपम,70,0.0002521995402762666
शासन,70,0.0002521995402762666
शिखर,70,0.0002521995402762666
भिवा,70,0.0002521995402762666
हिते,70,0.0002521995402762666
यथाव,70,0.0002521995402762666
ुभिर,70,0.0002521995402762666
कुला,70,0.0002521995402762666
िपुल,70,0.0002521995402762666
रुमा,70,0.0002521995402762666
मातर,70,0.0002521995402762666
शरथस,70,0.0002521995402762666
वाकु,69,0.00024859668970089136
सीते,69,0.00024859668970089136
सुधा,69,0.00024859668970089136
ेनैव,69,0.00024859668970089136
मेवं,69,0.00024859668970089136
सुखं,69,0.00024859668970089136
रामल,69,0.00024859668970089136
तोऽह,69,0.00024859668970089136
ायशा,69,0.00024859668970089136
चेतस,69,0.00024859668970089136
समान,68,0.00024499383912551613
मुदि,68,0.00024499383912551613
पतिः,68,0.00024499383912551613
ितैः,68,0.00024499383912551613
षसेन,68,0.00024499383912551613
पालय,68,0.00024499383912551613
महास,68,0.00024499383912551613
ारित,68,0.00024499383912551613
ादिन,68,0.00024499383912551613
थितं,68,0.00024499383912551613
कृति,67,0.00024139098855014088
मरूप,67,0.00024139098855014088
हुभि,67,0.00024139098855014088
चिरा,67,0.00024139098855014088
समास,67,0.00024139098855014088
िरूप,67,0.00024139098855014088
तपसा,67,0.00024139098855014088
ितरं,67,0.00024139098855014088
सेवि,67,0.00024139098855014088
गुणा,67,0.00024139098855014088
रतिग,67,0.00024139098855014088
रिणा,67,0.00024139098855014088
याणि,66,0.00023778813797476563
मारी,66,0.00023778813797476563
भाषत,66,0.00023778813797476563
रुषं,66,0.00023778813797476563
ानुव,66,0.00023778813797476563
पागम,65,0.0002341852873993904
याति,65,0.0002341852873993904
रूपे,65,0.0002341852873993904
िजान,65,0.0002341852873993904
विदा,65,0.0002341852873993904
रुषव,65,0.0002341852873993904
मिमा,65,0.0002341852873993904
ुमित,65,0.0002341852873993904
विमा,65,0.0002341852873993904
ुरात,65,0.0002341852873993904
बहुभ,65,0.0002341852873993904
येषु,65,0.0002341852873993904
थितो,65,0.0002341852873993904
वाचा,65,0.0002341852873993904
िषेच,65,0.0002341852873993904
रांश,65,0.0002341852873993904
मिहा,64,0.00023058243682401517
