pattern,frequency,probability
VVV,23779,0.11156307472882183
VVM,45213,0.21212419772548136
VVS,3,1.4074991555005068e-05
VMV,111039,0.5209576624254025
VMM,2419,0.011349134857185752
VMS,1762,0.008266711706639642
VSV,9,4.22249746650152e-05
VSM,0,0.0
VSS,0,0.0
MVV,10128,0.047517171489697106
MVM,13946,0.06542994407536688
MVS,0,0.0
MMV,343,0.001609240701122246
MMM,0,0.0
MMS,3,1.4074991555005068e-05
MSV,660,0.0030964981421011148
MSM,0,0.0
MSS,30,0.00014074991555005067
SVV,1602,0.007516045490372706
SVM,2166,0.010162143902713658
SVS,0,0.0
SMV,6,2.8149983110010135e-05
SMM,0,0.0
SMS,0,0.0
SSV,36,0.0001688998986600608
SSM,0,0.0
SSS,0,0.0
