triagram,frequency,probability
बलं,46,0.007241813602015114
ततः,156,0.02455919395465995
चैव,235,0.03699622166246851
तदा,190,0.02991183879093199
रथं,22,0.0034634760705289673
किं,175,0.027550377833753147
अपि,33,0.0051952141057934505
वयं,49,0.007714105793450882
कथं,138,0.02172544080604534
अहो,26,0.004093198992443325
यदि,198,0.031171284634760706
रणे,35,0.00551007556675063
तथा,214,0.033690176322418136
गमः,1,0.00015743073047858942
इति,165,0.025976070528967256
वचः,22,0.0034634760705289673
जरा,2,0.00031486146095717883
सतः,1,0.00015743073047858942
येन,76,0.011964735516372796
इमे,19,0.002991183879093199
एनं,2,0.00031486146095717883
उभौ,4,0.0006297229219143577
अजो,1,0.00015743073047858942
यथा,254,0.039987405541561716
ततो,262,0.04124685138539043
हतो,15,0.0023614609571788415
समे,1,0.00015743073047858942
एषा,17,0.0026763224181360202
यया,11,0.0017317380352644836
समो,9,0.0014168765743073047
योग,1,0.00015743073047858942
उभे,2,0.00031486146095717883
फलं,18,0.0028337531486146094
पदं,8,0.0012594458438287153
यदा,47,0.007399244332493703
परं,62,0.009760705289672544
मनः,21,0.0033060453400503777
वशे,5,0.0007871536523929471
मता,2,0.00031486146095717883
मां,354,0.05573047858942066
एवं,130,0.020465994962216624
नैव,35,0.00551007556675063
जनः,5,0.0007871536523929471
मयि,72,0.011335012594458438
केन,27,0.004250629722921915
काम,1,0.00015743073047858942
मनो,23,0.003620906801007557
परा,8,0.0012594458438287153
जहि,17,0.0026763224181360202
इमं,11,0.0017317380352644836
मया,297,0.04675692695214106
सखा,6,0.0009445843828715365
वेद,10,0.0015743073047858943
समः,4,0.0006297229219143577
तेन,130,0.020465994962216624
परो,4,0.0006297229219143577
एकं,1,0.00015743073047858942
फले,2,0.00031486146095717883
वशी,3,0.00047229219143576825
गवि,1,0.00015743073047858942
समं,15,0.0023614609571788415
नरः,9,0.0014168765743073047
समौ,1,0.00015743073047858942
सदा,34,0.0053526448362720405
शमः,2,0.00031486146095717883
यतो,6,0.0009445843828715365
वशं,7,0.001102015113350126
मतः,3,0.00047229219143576825
कां,2,0.00031486146095717883
पथि,24,0.003778337531486146
तात,70,0.01102015113350126
नेह,16,0.0025188916876574307
अहं,71,0.011177581863979848
यां,16,0.0025188916876574307
तया,27,0.004250629722921915
परः,2,0.00031486146095717883
गती,1,0.00015743073047858942
मते,5,0.0007871536523929471
इदं,61,0.009603274559193955
भूय,5,0.0007871536523929471
दमः,1,0.00015743073047858942
भयं,44,0.0069269521410579345
लोक,3,0.00047229219143576825
तमः,5,0.0007871536523929471
धाम,2,0.00031486146095717883
कथय,5,0.0007871536523929471
शशी,4,0.0006297229219143577
यमः,1,0.00015743073047858942
भाः,1,0.00015743073047858942
देव,24,0.003778337531486146
अमी,8,0.0012594458438287153
लभे,3,0.00047229219143576825
यशो,5,0.0007871536523929471
ततं,1,0.00015743073047858942
नमो,1,0.00015743073047858942
नमः,1,0.00015743073047858942
गतः,4,0.0006297229219143577
मतं,5,0.0007871536523929471
याः,5,0.0007871536523929471
रजो,2,0.00031486146095717883
रजः,4,0.0006297229219143577
मोह,1,0.00015743073047858942
लोभ,1,0.00015743073047858942
अधो,1,0.00015743073047858942
यतः,2,0.00031486146095717883
दया,3,0.00047229219143576825
जना,2,0.00031486146095717883
असौ,4,0.0006297229219143577
हतः,9,0.0014168765743073047
तां,232,0.036523929471032744
तपो,10,0.0015743073047858943
तपः,4,0.0006297229219143577
सति,4,0.0006297229219143577
शठो,5,0.0007871536523929471
शमो,1,0.00015743073047858942
नाम,204,0.03211586901763224
रतः,1,0.00015743073047858942
वनं,104,0.0163727959697733
वने,91,0.014326196473551637
गते,36,0.005667506297229219
नलं,1,0.00015743073047858942
सती,5,0.0007871536523929471
वरं,21,0.0033060453400503777
ययौ,16,0.0025188916876574307
धनं,16,0.0025188916876574307
वधं,17,0.0026763224181360202
इमौ,6,0.0009445843828715365
शंस,15,0.0023614609571788415
सुत,3,0.00047229219143576825
गतो,25,0.003935768261964736
बहु,13,0.0020465994962216624
हयं,2,0.00031486146095717883
वपा,1,0.00015743073047858942
भाग,1,0.00015743073047858942
ददौ,37,0.005824937027707809
वरो,8,0.0012594458438287153
किल,25,0.003935768261964736
वधे,11,0.0017317380352644836
वधो,8,0.0012594458438287153
नरं,6,0.0009445843828715365
अथो,3,0.00047229219143576825
कलं,2,0.00031486146095717883
हतौ,2,0.00031486146095717883
जया,2,0.00031486146095717883
शतं,15,0.0023614609571788415
ववौ,3,0.00047229219143576825
राम,238,0.03746851385390428
जलं,12,0.001889168765743073
हतं,14,0.002204030226700252
एतौ,5,0.0007871536523929471
मलं,2,0.00031486146095717883
शृण,1,0.00015743073047858942
जयं,3,0.00047229219143576825
करौ,1,0.00015743073047858942
गता,17,0.0026763224181360202
अलं,6,0.0009445843828715365
वीर,97,0.015270780856423173
गदे,1,0.00015743073047858942
वरय,2,0.00031486146095717883
मतो,4,0.0006297229219143577
वरद,4,0.0006297229219143577
अयं,40,0.006297229219143577
मखे,1,0.00015743073047858942
नदी,9,0.0014168765743073047
चलं,2,0.00031486146095717883
नभो,4,0.0006297229219143577
पथा,5,0.0007871536523929471
एते,19,0.002991183879093199
