trigram,frequency,probability
ृतर,11,8.890110156546758e-05
ुरु,573,0.004630939199728448
ेता,139,0.0011233866470545448
ुयु,17,0.00013739261151026808
ामक,68,0.0005495704460410723
िमक,12,9.6983019889601e-05
ानी,170,0.0013739261151026808
ीकं,15,0.00012122877486200125
ूढं,6,4.84915099448005e-05
ोधन,45,0.00036368632458600375
ुपस,103,0.0008324375873857419
ाजा,556,0.004493546588218179
ैता,44,0.0003556044062618703
ुपु,52,0.00042025975285493765
ाणा,528,0.004267252875142444
ामा,818,0.006611009189141134
ाचा,109,0.0008809290973305424
ूढा,26,0.00021012987642746883
ुपद,12,9.6983019889601e-05
ीमत,99,0.0008001099140892082
ूरा,83,0.0006707992209030735
ासा,388,0.0031357843097637654
ीमा,206,0.0016648751747714839
ुनस,40,0.00032327673296533665
ुधि,87,0.0007031268941996073
ुधा,154,0.001244615421916546
ानो,110,0.0008890110156546758
िरा,439,0.0035479621442945698
ाटश,2,1.616383664826683e-05
ारथ,78,0.0006303896292824064
ेतु,136,0.0010991408920821447
ेकि,2,1.616383664826683e-05
िता,2105,0.01701243807230084
ानः,35,0.00028286714134466954
ाशि,79,0.0006384715476065399
ाजश,28,0.00022629371307573566
ुजि,2,1.616383664826683e-05
िभो,16,0.00012931069318613465
ोजश,1,8.081918324133416e-06
ामन,202,0.0016325475014749501
ौजा,1,8.081918324133416e-06
ौभद,2,1.616383664826683e-05
ौपद,2,1.616383664826683e-05
ेया,56,0.0004525874261514713
ाकं,41,0.0003313586512894701
िशि,121,0.0009779121172201434
िबो,20,0.00016163836648266832
िजो,22,0.00017780220313093516
ायक,56,0.0004525874261514713
ीमि,111,0.0008970929339788092
ृपश,8,6.465534659306733e-05
िति,280,0.0022629371307573564
िंज,1,8.081918324133416e-06
ंजय,18,0.0001454745298344015
िकर,64,0.0005172427727445386
ौमद,2,1.616383664826683e-05
ीवि,222,0.0017941858679576183
ाना,1392,0.011250030307193716
ाशस,20,0.00016163836648266832
िशा,364,0.0029418182699845635
ारद,78,0.0006303896292824064
ाभि,684,0.005528032133707257
िरक,53,0.0004283416711790711
ितम,708,0.0057219981734864585
िदम,142,0.0011476324020269451
ेते,65,0.0005253246910686721
ेषा,333,0.0026912788019364275
ेषु,678,0.005479540623762456
ाभा,152,0.0012284515852682793
ागम,222,0.0017941858679576183
ेवा,304,0.0024569031705365587
ुवृ,22,0.00017780220313093516
ामह,218,0.0017618581946610848
िंह,136,0.0010991408920821447
ंहन,12,9.6983019889601e-05
ादं,87,0.0007031268941996073
िनद,35,0.00028286714134466954
ापव,42,0.0003394405696136035
ानक,88,0.0007112088125237406
ोमु,13,0.00010506493821373441
ुखा,132,0.001066813218785611
ैवा,113,0.000913256770627076
ुमु,121,0.0009779121172201434
ुलो,30,0.0002424575497240025
ोऽभ,174,0.0014062537883992145
ेतै,18,0.0001454745298344015
ितौ,120,0.00096983019889601
ाधव,11,8.890110156546758e-05
ृषी,27,0.00021821179475160223
ीके,15,0.00012122877486200125
ेशो,32,0.0002586213863722693
ेवद,33,0.00026670330469640274
ाशङ,5,4.040959162066708e-05
ीमक,16,0.00012931069318613465
ृको,2,1.616383664826683e-05
ोदर,40,0.00032327673296533665
िजय,25,0.0002020479581033354
ीपु,16,0.00012931069318613465
िरः,8,6.465534659306733e-05
ुलः,14,0.00011314685653786783
ेवश,9,7.273726491720074e-05
ुघो,12,9.6983019889601e-05
ोषम,19,0.00015355644815853492
िपु,245,0.001980069989412687
ासः,24,0.000193966039779202
िखण,1,8.081918324133416e-06
ापर,121,0.0009779121172201434
ाजि,148,0.0011961239119717456
ितः,681,0.005503786378734857
ृथि,116,0.0009375025255994763
िवी,97,0.0007839460774409413
ीपत,118,0.0009536663622477431
ाबा,192,0.001551728318233616
ाहु,221,0.001786103949633485
ृथक,30,0.0002424575497240025
ोषो,17,0.00013739261151026808
ृदय,100,0.0008081918324133416
ानि,1274,0.010296363944945972
ारय,219,0.0017699401129852182
ुना,106,0.0008566833423581422
ादय,121,0.0009779121172201434
ाते,289,0.002335674395674557
ेशं,69,0.0005576523643652057
ेनय,6,4.84915099448005e-05
ोरु,27,0.00021821179475160223
ुभय,15,0.00012122877486200125
ापय,86,0.0006950449758754738
ेऽच,7,5.6573428268933916e-05
ावद,100,0.0008081918324133416
िरी,73,0.0005899800376617394
ेऽह,48,0.000387932079558404
ुका,76,0.0006142257926341397
ानव,142,0.0011476324020269451
