trigram,frequency,probability
उवा,192,0.031042845594179466
आचा,7,0.0011317704122877931
अपर,23,0.0037186742118027485
अयन,1,0.00016168148746968473
ऽभव,71,0.011479385610347614
अनन,18,0.002910266774454325
ऽहं,178,0.02877930476960388
एते,38,0.006143896523848019
एवम,235,0.03799514955537591
ऽनु,105,0.016976556184316895
इमे,25,0.004042037186742118
ऽवस,13,0.0021018593371059015
एता,33,0.005335489086499595
ऽपि,212,0.034276475343573164
अपि,61,0.009862570735650769
ऽभि,117,0.018916734033953112
अधर,15,0.002425222312045271
ऽनि,12,0.0019401778496362166
अहो,41,0.006628940986257073
उपा,45,0.007275666936135812
अना,44,0.0071139854486661274
इषु,3,0.00048504446240905415
अवा,19,0.0030719482619240095
इति,196,0.03168957154405821
अशो,30,0.004850444624090542
आगम,19,0.0030719482619240095
ऽमृ,10,0.0016168148746968471
उभय,6,0.0009700889248181083
अवि,22,0.0035569927243330637
एनं,3,0.00048504446240905415
उभौ,8,0.0012934518997574779
अजो,2,0.00032336297493936947
ऽयं,135,0.021827000808407437
एनम,1,0.00016168148746968473
ऽपर,16,0.0025869037995149557
ऽयम,51,0.008245755860953921
ऽशो,3,0.00048504446240905415
अकी,3,0.00048504446240905415
एषा,23,0.0037186742118027485
उदप,4,0.0006467259498787389
उभे,4,0.0006467259498787389
आसी,21,0.003395311236863379
आपू,2,0.00032336297493936947
ऽहम,56,0.009054163298302345
अने,49,0.007922392886014552
एवं,156,0.025222312045270815
अघा,1,0.00016168148746968473
असक,10,0.0016168148746968471
अहं,120,0.019401778496362168
ऽनस,5,0.0008084074373484236
अनि,18,0.002910266774454325
आवृ,8,0.0012934518997574779
एतै,10,0.0016168148746968471
इमं,17,0.00274858528698464
एवा,12,0.0019401778496362166
ऽसि,57,0.00921584478577203
ऽशु,28,0.0045270816491511726
अकर,7,0.0011317704122877931
अपा,19,0.0030719482619240095
ऽपा,3,0.00048504446240905415
उपद,5,0.0008084074373484236
एतय,3,0.00048504446240905415
एकम,4,0.0006467259498787389
एकं,2,0.00032336297493936947
अयु,17,0.00274858528698464
इहै,12,0.0019401778496362166
ऽधि,24,0.003880355699272433
अभि,159,0.02570735650767987
आरु,17,0.00274858528698464
एका,18,0.002910266774454325
उपव,27,0.004365400161681488
उपै,1,0.00016168148746968473
एतस,19,0.0030719482619240095
असं,21,0.003395311236863379
ऽवा,6,0.0009700889248181083
अयत,3,0.00048504446240905415
एतन,9,0.0014551333872271624
अथव,40,0.0064672594987873885
एतद,46,0.007437348423605497
ऽनल,4,0.0006467259498787389
इती,22,0.0035569927243330637
एवे,1,0.00016168148746968473
आसु,4,0.0006467259498787389
एकभ,1,0.00016168148746968473
उदा,13,0.0021018593371059015
एवै,3,0.00048504446240905415
अधि,24,0.003880355699272433
ओमि,1,0.00016168148746968473
ऽहो,1,0.00016168148746968473
ऽवश,2,0.00032336297493936947
एकय,3,0.00048504446240905415
इदं,88,0.014227970897332255
अवज,6,0.0009700889248181083
एकत,3,0.00048504446240905415
अमृ,13,0.0021018593371059015
अहम,37,0.005982215036378334
ऽभा,3,0.00048504446240905415
अहि,6,0.0009700889248181083
ऽयश,1,0.00016168148746968473
इमा,55,0.00889248181083266
आहु,3,0.00048504446240905415
असि,7,0.0011317704122877931
आदि,25,0.004042037186742118
ऐरा,6,0.0009700889248181083
आयु,13,0.0021018593371059015
ऽशस,1,0.00016168148746968473
अपश,30,0.004850444624090542
ऽनन,5,0.0008084074373484236
अमी,9,0.0014551333872271624
ऋते,3,0.00048504446240905415
एतच,20,0.0032336297493936943
अजा,10,0.0016168148746968471
एको,10,0.0016168148746968471
ऽथव,4,0.0006467259498787389
अदृ,28,0.0045270816491511726
इदा,12,0.0019401778496362166
आधत,1,0.00016168148746968473
अथै,8,0.0012934518997574779
अनप,5,0.0008084074373484236
ऽती,3,0.00048504446240905415
ऋषि,40,0.0064672594987873885
एतत,32,0.0051738075990299115
अमा,15,0.002425222312045271
एतज,1,0.00016168148746968473
उभा,5,0.0008084074373484236
उपज,2,0.00032336297493936947
अधो,3,0.00048504446240905415
ऽवत,9,0.0014551333872271624
अधश,3,0.00048504446240905415
ऽखि,2,0.00032336297493936947
अतो,13,0.0021018593371059015
अभय,4,0.0006467259498787389
असत,7,0.0011317704122877931
ऽहि,5,0.0008084074373484236
आशा,3,0.00048504446240905415
ईहन,1,0.00016168148746968473
इदम,15,0.002425222312045271
असौ,9,0.0014551333872271624
आचर,2,0.00032336297493936947
अशा,1,0.00016168148746968473
आहा,7,0.0011317704122877931
अफल,7,0.0011317704122877931
अनु,109,0.017623282134195634
अदे,2,0.00032336297493936947
असद,2,0.00032336297493936947
अतत,1,0.00016168148746968473
ऽनह,1,0.00016168148746968473
ऽलस,1,0.00016168148746968473
अयथ,1,0.00016168148746968473
आजा,3,0.00048504446240905415
इवा,98,0.015844785772029104
अया,5,0.0008084074373484236
ऽकर,6,0.0009700889248181083
अगस,20,0.0032336297493936943
ऋषय,15,0.002425222312045271
ऋषी,19,0.0030719482619240095
ऽगर,1,0.00016168148746968473
ऽऽभ,3,0.00048504446240905415
अयो,51,0.008245755860953921
ऽनघ,32,0.0051738075990299115
आपृ,11,0.0017784963621665319
ऋषे,9,0.0014551333872271624
आजग,19,0.0030719482619240095
ऽना,4,0.0006467259498787389
अथो,17,0.00274858528698464
उपस,28,0.0045270816491511726
अनस,10,0.0016168148746968471
एकस,11,0.0017784963621665319
आपा,5,0.0008084074373484236
अगृ,2,0.00032336297493936947
उपो,6,0.0009700889248181083
इमौ,6,0.0009700889248181083
आयत,10,0.0016168148746968471
ऽगव,1,0.00016168148746968473
उदि,3,0.00048504446240905415
ऽशक,1,0.00016168148746968473
ऽऽस,8,0.0012934518997574779
ईदृ,14,0.0022635408245755863
उपप,10,0.0016168148746968471
अवे,16,0.0025869037995149557
ऊचु,16,0.0025869037995149557
आना,2,0.00032336297493936947
इहा,17,0.00274858528698464
आने,6,0.0009700889248181083
आनी,5,0.0008084074373484236
ऽवर,6,0.0009700889248181083
अनभ,3,0.00048504446240905415
औरस,3,0.00048504446240905415
आगत,18,0.002910266774454325
आहर,4,0.0006467259498787389
ऽमि,3,0.00048504446240905415
आसा,13,0.0021018593371059015
ओढव,1,0.00016168148746968473
उपक,9,0.0014551333872271624
आवा,11,0.0017784963621665319
उपय,3,0.00048504446240905415
एकव,10,0.0016168148746968471
उरग,1,0.00016168148746968473
अवस,8,0.0012934518997574779
अथर,2,0.00032336297493936947
अति,36,0.00582053354890865
अवध,11,0.0017784963621665319
ऽऽत,9,0.0014551333872271624
अयज,1,0.00016168148746968473
ऽचि,4,0.0006467259498787389
ऋतू,2,0.00032336297493936947
ऽदि,11,0.0017784963621665319
ऽजन,4,0.0006467259498787389
अती,11,0.0017784963621665319
अदद,2,0.00032336297493936947
ऊनष,1,0.00016168148746968473
इयम,6,0.0009700889248181083
अनय,9,0.0014551333872271624
ऽगत,18,0.002910266774454325
एषो,5,0.0008084074373484236
अपू,5,0.0008084074373484236
ऊषु,2,0.00032336297493936947
ऊचत,3,0.00048504446240905415
अवद,4,0.0006467259498787389
अशर,3,0.00048504446240905415
अनङ,1,0.00016168148746968473
ऽति,26,0.004203718674211803
आरो,16,0.0025869037995149557
अरि,7,0.0011317704122877931
एतौ,6,0.0009700889248181083
आपत,5,0.0008084074373484236
एना,5,0.0008084074373484236
अलं,11,0.0017784963621665319
ऽने,8,0.0012934518997574779
ऐषी,2,0.00032336297493936947
अशन,2,0.00032336297493936947
ऽपक,4,0.0006467259498787389
उपत,7,0.0011317704122877931
असम,11,0.0017784963621665319
इतस,6,0.0009700889248181083
अदि,11,0.0017784963621665319
इवौ,2,0.00032336297493936947
अयं,49,0.007922392886014552
एतम,3,0.00048504446240905415
ऽहन,11,0.0017784963621665319
ऽसौ,24,0.003880355699272433
आका,13,0.0021018593371059015
ऊषत,1,0.00016168148746968473
आया,4,0.0006467259498787389
आमन,11,0.0017784963621665319
अधू,2,0.00032336297493936947
आमो,1,0.00016168148746968473
अमर,9,0.0014551333872271624
अपह,3,0.00048504446240905415
अशु,6,0.0009700889248181083
ऐकम,1,0.00016168148746968473
अलङ,10,0.0016168148746968471
अपत,6,0.0009700889248181083
अपु,2,0.00032336297493936947
ऋची,5,0.0008084074373484236
ऽगा,2,0.00032336297493936947
उमा,5,0.0008084074373484236
ऽगच,1,0.00016168148746968473
अवन,3,0.00048504446240905415
आति,8,0.0012934518997574779
अशक,12,0.0019401778496362166
अथा,39,0.006305578011317704
अजय,1,0.00016168148746968473
ऽरा,2,0.00032336297493936947
ऽभू,27,0.004365400161681488
अंश,4,0.0006467259498787389
ऽपन,6,0.0009700889248181083
एकै,4,0.0006467259498787389
ऽदृ,2,0.00032336297493936947
ऽदी,2,0.00032336297493936947
ऽऽव,7,0.0011317704122877931
ऽवि,18,0.002910266774454325
ऽपव,2,0.00032336297493936947
आसम,1,0.00016168148746968473
ऽसी,10,0.0016168148746968471
ऽपश,11,0.0017784963621665319
अकृ,6,0.0009700889248181083
अगत,2,0.00032336297493936947
इयं,28,0.0045270816491511726
अचि,21,0.003395311236863379
अजर,1,0.00016168148746968473
असङ,5,0.0008084074373484236
असु,8,0.0012934518997574779
उदत,3,0.00048504446240905415
ऽहर,2,0.00032336297493936947
अवश,20,0.0032336297493936943
ऽपह,13,0.0021018593371059015
अलम,8,0.0012934518997574779
आवस,1,0.00016168148746968473
ऽहल,1,0.00016168148746968473
ऋतु,3,0.00048504446240905415
इमम,4,0.0006467259498787389
ऽभस,1,0.00016168148746968473
अहल,2,0.00032336297493936947
आसन,12,0.0019401778496362166
आजु,2,0.00032336297493936947
अदो,1,0.00016168148746968473
ऽसृ,1,0.00016168148746968473
ऊधस,1,0.00016168148746968473
इवो,26,0.004203718674211803
उपर,10,0.0016168148746968471
ऽऽश,8,0.0012934518997574779
उदी,4,0.0006467259498787389
अमो,6,0.0009700889248181083
एके,5,0.0008084074373484236
अवम,3,0.00048504446240905415
आयस,5,0.0008084074373484236
अनव,3,0.00048504446240905415
अनृ,11,0.0017784963621665319
आनय,20,0.0032336297493936943
अयम,12,0.0019401778496362166
ऽऽग,4,0.0006467259498787389
अरक,1,0.00016168148746968473
अका,10,0.0016168148746968471
ऽऽर,7,0.0011317704122877931
आवि,11,0.0017784963621665319
अवी,1,0.00016168148746968473
ऽयो,9,0.0014551333872271624
औपक,1,0.00016168148746968473
अनर,13,0.0021018593371059015
अलञ,1,0.00016168148746968473
ऊहु,1,0.00016168148746968473
आशी,8,0.0012934518997574779
ऽलो,1,0.00016168148746968473
अरो,5,0.0008084074373484236
आयक,1,0.00016168148746968473
ऽतप,2,0.00032336297493936947
ऽया,5,0.0008084074373484236
ऽतु,6,0.0009700889248181083
आशं,4,0.0006467259498787389
ऽभष,1,0.00016168148746968473
अहत,6,0.0009700889248181083
आबध,3,0.00048504446240905415
अवत,9,0.0014551333872271624
ऽगम,6,0.0009700889248181083
अतस,3,0.00048504446240905415
अवष,6,0.0009700889248181083
आवे,2,0.00032336297493936947
ऽऽप,4,0.0006467259498787389
ऽपद,1,0.00016168148746968473
ऽऽय,2,0.00032336297493936947
आचच,9,0.0014551333872271624
अरे,1,0.00016168148746968473
असा,2,0.00032336297493936947
अगच,2,0.00032336297493936947
ऽसा,7,0.0011317704122877931
अपव,4,0.0006467259498787389
ऽदद,1,0.00016168148746968473
उरस,4,0.0006467259498787389
अधस,2,0.00032336297493936947
ऽवम,1,0.00016168148746968473
आवल,1,0.00016168148746968473
ऽधर,4,0.0006467259498787389
अलर,1,0.00016168148746968473
ऽनृ,4,0.0006467259498787389
अपथ,2,0.00032336297493936947
ऽमन,4,0.0006467259498787389
अतद,2,0.00032336297493936947
अदु,6,0.0009700889248181083
ऽभी,5,0.0008084074373484236
उपग,6,0.0009700889248181083
औदु,1,0.00016168148746968473
ऽजय,1,0.00016168148746968473
ऽवृ,5,0.0008084074373484236
ऽसक,2,0.00032336297493936947
ऽनय,7,0.0011317704122877931
उपे,5,0.0008084074373484236
अमन,3,0.00048504446240905415
अशी,3,0.00048504446240905415
ऽरण,14,0.0022635408245755863
अली,1,0.00016168148746968473
उचि,5,0.0008084074373484236
इतो,6,0.0009700889248181083
अबु,2,0.00032336297493936947
ऽसन,4,0.0006467259498787389
आसे,4,0.0006467259498787389
ऽमम,1,0.00016168148746968473
अमि,5,0.0008084074373484236
ऽपग,1,0.00016168148746968473
अदी,2,0.00032336297493936947
एभि,4,0.0006467259498787389
ऽधश,1,0.00016168148746968473
अरण,7,0.0011317704122877931
अपी,3,0.00048504446240905415
ऽवन,2,0.00032336297493936947
ऋतव,4,0.0006467259498787389
ऽयत,2,0.00032336297493936947
ऽकल,1,0.00016168148746968473
ओषध,2,0.00032336297493936947
ऽसं,2,0.00032336297493936947
आनम,1,0.00016168148746968473
आरा,5,0.0008084074373484236
अतश,4,0.0006467259498787389
ऽतो,1,0.00016168148746968473
ऽचर,2,0.00032336297493936947
ऽबल,2,0.00032336297493936947
उपह,1,0.00016168148746968473
ऽपस,2,0.00032336297493936947
आदे,1,0.00016168148746968473
इहल,1,0.00016168148746968473
ऽनव,2,0.00032336297493936947
आरभ,1,0.00016168148746968473
अभे,1,0.00016168148746968473
अलस,1,0.00016168148746968473
अशू,1,0.00016168148746968473
आपञ,1,0.00016168148746968473
आतस,1,0.00016168148746968473
औदक,1,0.00016168148746968473
एकद,1,0.00016168148746968473
अपे,3,0.00048504446240905415
आलो,4,0.0006467259498787389
अपक,11,0.0017784963621665319
अपग,2,0.00032336297493936947
आलि,1,0.00016168148746968473
ऽहस,1,0.00016168148746968473
अजी,1,0.00016168148746968473
ऽधम,2,0.00032336297493936947
औपव,4,0.0006467259498787389
ऽयय,1,0.00016168148746968473
अअन,1,0.00016168148746968473
अकु,5,0.0008084074373484236
अकस,2,0.00032336297493936947
अपस,2,0.00032336297493936947
उदग,2,0.00032336297493936947
एकप,5,0.0008084074373484236
असन,3,0.00048504446240905415
ऽशि,1,0.00016168148746968473
एतध,1,0.00016168148746968473
उदङ,3,0.00048504446240905415
आवर,3,0.00048504446240905415
आपग,6,0.0009700889248181083
एकः,2,0.00032336297493936947
उपश,2,0.00032336297493936947
अचक,2,0.00032336297493936947
ऽऽक,1,0.00016168148746968473
आसस,10,0.0016168148746968471
ऽमा,6,0.0009700889248181083
ऽऽह,4,0.0006467259498787389
ऽहृ,2,0.00032336297493936947
ऽहव,2,0.00032336297493936947
आवश,1,0.00016168148746968473
आशो,1,0.00016168148746968473
आचम,1,0.00016168148746968473
आदा,4,0.0006467259498787389
उषि,6,0.0009700889248181083
अवक,6,0.0009700889248181083
एतछ,1,0.00016168148746968473
ईषत,2,0.00032336297493936947
अवल,3,0.00048504446240905415
ऽऽन,2,0.00032336297493936947
आजह,4,0.0006467259498787389
ऐणे,2,0.00032336297493936947
आगि,1,0.00016168148746968473
ऽजु,1,0.00016168148746968473
आसि,1,0.00016168148746968473
आशय,2,0.00032336297493936947
अवग,3,0.00048504446240905415
ऽबा,1,0.00016168148746968473
अलक,4,0.0006467259498787389
ऽहा,1,0.00016168148746968473
ऽशन,3,0.00048504446240905415
आबभ,5,0.0008084074373484236
आकु,2,0.00032336297493936947
अमु,1,0.00016168148746968473
ऽरो,4,0.0006467259498787389
उधृ,1,0.00016168148746968473
ऽमभ,1,0.00016168148746968473
अधी,1,0.00016168148746968473
ऽता,1,0.00016168148746968473
ऽभो,1,0.00016168148746968473
अपद,1,0.00016168148746968473
आनि,2,0.00032336297493936947
उपन,2,0.00032336297493936947
ऽऽद,7,0.0011317704122877931
ऽकु,2,0.00032336297493936947
अरा,1,0.00016168148746968473
अटन,2,0.00032336297493936947
अगो,1,0.00016168148746968473
इवे,2,0.00032336297493936947
एहि,4,0.0006467259498787389
आभि,1,0.00016168148746968473
अहे,1,0.00016168148746968473
ऽयु,2,0.00032336297493936947
ऐला,2,0.00032336297493936947
आचष,1,0.00016168148746968473
आहो,2,0.00032336297493936947
ऽनी,3,0.00048504446240905415
ऽरु,5,0.0008084074373484236
ऽथा,1,0.00016168148746968473
एषत,1,0.00016168148746968473
ऽदू,1,0.00016168148746968473
अयश,1,0.00016168148746968473
अङग,1,0.00016168148746968473
ऽमत,1,0.00016168148746968473
आपी,2,0.00032336297493936947
ऽमञ,1,0.00016168148746968473
अवृ,2,0.00032336297493936947
ऽपू,1,0.00016168148746968473
ऽका,7,0.0011317704122877931
इहस,4,0.0006467259498787389
अयू,1,0.00016168148746968473
ऽऽब,2,0.00032336297493936947
ऽनू,3,0.00048504446240905415
ऽदु,3,0.00048504446240905415
ऽचच,2,0.00032336297493936947
अतन,1,0.00016168148746968473
अजि,2,0.00032336297493936947
आकर,5,0.0008084074373484236
ऽपी,2,0.00032336297493936947
ऽला,1,0.00016168148746968473
आनु,5,0.0008084074373484236
अकण,1,0.00016168148746968473
अपृ,4,0.0006467259498787389
ऽपः,1,0.00016168148746968473
आमल,1,0.00016168148746968473
ऽभर,1,0.00016168148746968473
आगु,3,0.00048504446240905415
ऽवद,1,0.00016168148746968473
अभो,1,0.00016168148746968473
आजै,1,0.00016168148746968473
आचक,3,0.00048504446240905415
अदू,4,0.0006467259498787389
ऽचल,3,0.00048504446240905415
अदर,3,0.00048504446240905415
ऽसत,2,0.00032336297493936947
उटज,1,0.00016168148746968473
अधा,2,0.00032336297493936947
ऽवब,2,0.00032336297493936947
ऽनर,2,0.00032336297493936947
एकच,1,0.00016168148746968473
उपभ,1,0.00016168148746968473
इतश,3,0.00048504446240905415
अाय,1,0.00016168148746968473
ऋणा,3,0.00048504446240905415
असृ,1,0.00016168148746968473
ऽरि,3,0.00048504446240905415
अजश,1,0.00016168148746968473
अजस,1,0.00016168148746968473
एषु,2,0.00032336297493936947
उपध,2,0.00032336297493936947
आनृ,3,0.00048504446240905415
आधि,1,0.00016168148746968473
उपम,1,0.00016168148746968473
आनस,1,0.00016168148746968473
अवर,4,0.0006467259498787389
आगच,4,0.0006467259498787389
असञ,1,0.00016168148746968473
ऽनम,1,0.00016168148746968473
अदन,1,0.00016168148746968473
आरण,1,0.00016168148746968473
अवट,2,0.00032336297493936947
अखन,1,0.00016168148746968473
उरो,1,0.00016168148746968473
इहो,4,0.0006467259498787389
अशय,1,0.00016168148746968473
ऽभय,4,0.0006467259498787389
उदय,4,0.0006467259498787389
आगन,1,0.00016168148746968473
ऽमु,1,0.00016168148746968473
ऽगस,1,0.00016168148746968473
औदा,1,0.00016168148746968473
उलू,1,0.00016168148746968473
ऽपत,2,0.00032336297493936947
ऋजु,2,0.00032336297493936947
असप,1,0.00016168148746968473
उपल,4,0.0006467259498787389
अपय,1,0.00016168148746968473
ऽमर,1,0.00016168148746968473
अचू,1,0.00016168148746968473
अला,2,0.00032336297493936947
अशि,1,0.00016168148746968473
आहत,1,0.00016168148746968473
आपद,1,0.00016168148746968473
एकश,2,0.00032336297493936947
अनी,2,0.00032336297493936947
ऊरु,4,0.0006467259498787389
इवर,1,0.00016168148746968473
आजघ,3,0.00048504446240905415
अकम,3,0.00048504446240905415
आशङ,2,0.00032336297493936947
आरक,1,0.00016168148746968473
अजे,1,0.00016168148746968473
अपभ,1,0.00016168148746968473
अजै,1,0.00016168148746968473
अगर,2,0.00032336297493936947
अनू,1,0.00016168148746968473
ऽजि,1,0.00016168148746968473
उपच,1,0.00016168148746968473
इंद,1,0.00016168148746968473
ऽदन,1,0.00016168148746968473
ऽहू,1,0.00016168148746968473
उदर,1,0.00016168148746968473
अबन,2,0.00032336297493936947
अभव,8,0.0012934518997574779
ऽदा,2,0.00032336297493936947
आपि,1,0.00016168148746968473
अपन,3,0.00048504446240905415
ऊरू,1,0.00016168148746968473
ऋति,1,0.00016168148746968473
असे,1,0.00016168148746968473
इतर,1,0.00016168148746968473
उदक,3,0.00048504446240905415
आवय,1,0.00016168148746968473
अदग,2,0.00032336297493936947
अरज,1,0.00016168148746968473
ऽकृ,1,0.00016168148746968473
अरव,1,0.00016168148746968473
ऽतं,1,0.00016168148746968473
अरय,1,0.00016168148746968473
ऽसु,3,0.00048504446240905415
ऽसम,1,0.00016168148746968473
अभक,2,0.00032336297493936947
अभा,4,0.0006467259498787389
आभा,1,0.00016168148746968473
अवभ,1,0.00016168148746968473
अगा,1,0.00016168148746968473
आहव,1,0.00016168148746968473
एनो,1,0.00016168148746968473
अंह,1,0.00016168148746968473
ऽभज,1,0.00016168148746968473
आचि,1,0.00016168148746968473
आहृ,3,0.00048504446240905415
अपः,1,0.00016168148746968473
अभी,2,0.00032336297493936947
आषा,1,0.00016168148746968473
औषध,1,0.00016168148746968473
आयय,1,0.00016168148746968473
आमम,1,0.00016168148746968473
ऋषभ,2,0.00032336297493936947
अगम,1,0.00016168148746968473
अनक,1,0.00016168148746968473
अहन,1,0.00016168148746968473
आपु,1,0.00016168148746968473
आदर,1,0.00016168148746968473
अचन,1,0.00016168148746968473
एतल,1,0.00016168148746968473
ऽवध,2,0.00032336297493936947
आयो,2,0.00032336297493936947
ऽवय,1,0.00016168148746968473
ऋतो,1,0.00016168148746968473
अचर,1,0.00016168148746968473
अशस,1,0.00016168148746968473
अरु,2,0.00032336297493936947
इये,1,0.00016168148746968473
अहश,1,0.00016168148746968473
अवप,5,0.0008084074373484236
ईहा,2,0.00032336297493936947
एही,1,0.00016168148746968473
ऽबभ,1,0.00016168148746968473
ऽसव,2,0.00032336297493936947
आधा,1,0.00016168148746968473
आतो,1,0.00016168148746968473
ऽऽम,1,0.00016168148746968473
आमू,1,0.00016168148746968473
अभू,3,0.00048504446240905415
अबल,1,0.00016168148746968473
ऽके,1,0.00016168148746968473
एकह,1,0.00016168148746968473
ऋतप,1,0.00016168148746968473
अतु,2,0.00032336297493936947
इषव,1,0.00016168148746968473
अपो,1,0.00016168148746968473
आधो,1,0.00016168148746968473
ऋता,2,0.00032336297493936947
उवच,1,0.00016168148746968473
आरू,1,0.00016168148746968473
ईषच,1,0.00016168148746968473
एति,1,0.00016168148746968473
ऽकथ,1,0.00016168148746968473
उदध,2,0.00032336297493936947
आरम,1,0.00016168148746968473
एतं,2,0.00032336297493936947
अतः,1,0.00016168148746968473
असह,1,0.00016168148746968473
ऽयस,1,0.00016168148746968473
अवै,2,0.00032336297493936947
अबा,1,0.00016168148746968473
अथे,2,0.00032336297493936947
ऽदे,1,0.00016168148746968473
अवो,1,0.00016168148746968473
ऽऽज,1,0.00016168148746968473
ऽलघ,1,0.00016168148746968473
ऽदह,1,0.00016168148746968473
अघो,1,0.00016168148746968473
अधृ,1,0.00016168148746968473
अधः,1,0.00016168148746968473
अखि,1,0.00016168148746968473
