trigram,frequency,probability
धृत,100,0.00031583701546653866
तरा,142,0.0004484885619624849
राष,50,0.00015791850773326933
वाच,631,0.001992931567593859
षेत,40,0.00012633480618661546
कुर,317,0.0010012033390289275
रुक,42,0.00013265154649594622
समव,37,0.0001168596957226193
मवे,63,0.00019897731974391936
वेत,231,0.0007295835057277043
युय,11,3.474207170131925e-05
युत,244,0.0007706423177383543
सवः,11,3.474207170131925e-05
माम,341,0.0010770042227408968
मका,60,0.0001895022092799232
काः,83,0.0002621447228372271
पाण,206,0.0006506242518610696
डवा,13,4.105881201065002e-05
वाश,84,0.00026530309299189244
चैव,493,0.0015570764862500356
किम,144,0.00045480530227181567
मकु,21,6.632577324797311e-05
दृष,674,0.0021287414842444704
वान,1589,0.005018650175763299
नीक,7,2.2108591082657706e-05
यूढ,4,1.2633480618661545e-05
दुर,460,0.0014528502711460777
योध,160,0.0005053392247464618
धनस,4,1.2633480618661545e-05
तदा,635,0.0020055650482125203
चार,385,0.0012159725095461738
यमु,127,0.00040111300964250406
मुप,440,0.00138968286805277
पसङ,20,6.316740309330773e-05
राज,2110,0.006664161026343965
वचन,489,0.001544443005631374
चनम,157,0.0004958641142824657
नमब,93,0.00029372842438388095
रवी,705,0.0022266509590390974
वीत,525,0.0016581443311993278
यैत,27,8.527599417596543e-05
तां,1351,0.0042669580789529375
डुप,3,9.475110463996159e-06
पुत,761,0.002403519687700359
राण,659,0.00208136593192449
णाम,257,0.0008117011297490044
माच,61,0.00019266057943458857
महत,262,0.0008274929805223313
हती,32,0.00010106784494929236
तीं,137,0.00043269671118915796
चमू,20,6.316740309330773e-05
मूम,8,2.526696123732309e-05
ढां,4,1.2633480618661545e-05
रुप,133,0.0004200632305704964
पदप,2,6.316740309330773e-06
दपु,4,1.2633480618661545e-05
रेण,454,0.0014339000502180854
शिष,115,0.0003632125677865194
येण,70,0.00022108591082657704
धीम,89,0.0002810949437652194
मता,119,0.000375846048405181
शूर,122,0.00038532115886917714
महे,156,0.0004927057441278003
हेष,32,0.00010106784494929236
वास,793,0.0025045875326496513
भीम,126,0.0003979546394878387
मार,754,0.002381411096617701
जुन,61,0.00019266057943458857
नसम,63,0.00019897731974391936
समा,698,0.00220454236795644
युध,128,0.00040427137979716946
धान,281,0.0008875020134609736
