word,frequency,probability
च,2697,0.07937956204379562
न,1512,0.04450200141276195
स,1092,0.032140334353661405
तु,949,0.027931481045443844
हि,898,0.026430421473981634
ते,733,0.021574052272192137
मे,578,0.017012008476571697
तं,481,0.01415705203673181
वा,397,0.011684718624911702
मां,354,0.010419119378384743
मम,348,0.010242524134683306
सा,332,0.009771603484812808
राजा,321,0.009447845538026842
मया,297,0.008741464563221097
रामं,263,0.007740758182246291
ततो,262,0.007711325641629386
यथा,254,0.007475865316694137
राम,238,0.0070049446668236405
चैव,235,0.006916647044972922
तां,232,0.006828349423122204
सह,231,0.0067989168825052975
रामो,221,0.0065045914763362375
तथा,214,0.006298563692017895
नाम,204,0.0060042382858488345
यदि,198,0.005827643042147398
तदा,190,0.00559218271721215
वचनं,187,0.0055038850953614315
तव,178,0.005238992229809277
किं,175,0.005150694607958559
इव,169,0.004974099364257123
इति,165,0.0048563692017894984
ततः,156,0.004591476336237344
सीता,154,0.004532611255003532
कथं,138,0.0040616906051330354
चापि,135,0.003973392983282317
वै,134,0.003943960442665411
एवं,130,0.0038262302801977868
तेन,130,0.0038262302801977868
तौ,128,0.0037673651989639746
ये,126,0.0037085001177301624
रामेण,118,0.003473039792794914
सीतां,113,0.0033258770897103837
वनं,104,0.0030609842241582294
रामः,102,0.0030021191429244172
वीर,97,0.002854956439839887
तेषां,93,0.002737226277372263
देवि,93,0.002737226277372263
लोके,92,0.002707793736755357
वने,91,0.0026783611961384507
अथ,90,0.0026489286555215446
मा,86,0.0025311984930539203
पुनः,79,0.002325170708735578
भूमौ,79,0.002325170708735578
यो,78,0.002295738168118672
येन,76,0.00223687308688486
नूनं,73,0.0021485754650341416
मयि,72,0.0021191429244172355
अहं,71,0.0020897103838003295
वैदेही,71,0.0020897103838003295
पिता,70,0.002060277843183424
तात,70,0.002060277843183424
कृतं,69,0.0020308453025665177
एव,68,0.0020014127619496116
या,66,0.0019425476807157995
जगाम,66,0.0019425476807157995
खलु,65,0.0019131151400988934
देवी,65,0.0019131151400988934
एष,64,0.0018836825994819873
नु,63,0.0018542500588650812
भरतं,62,0.0018248175182481751
परं,62,0.0018248175182481751
इदं,61,0.001795384977631269
वाली,61,0.001795384977631269
विना,56,0.0016482222745467388
रामे,56,0.0016482222745467388
सहसा,55,0.0016187897339298327
पितरं,55,0.0016187897339298327
काले,55,0.0016187897339298327
महता,54,0.0015893571933129269
कैकेयी,53,0.0015599246526960208
सीतया,52,0.0015304921120791147
बभूव,51,0.0015010595714622086
पुरीं,51,0.0015010595714622086
कुरु,50,0.0014716270308453025
उवाच,50,0.0014716270308453025
रावणं,50,0.0014716270308453025
भरतो,49,0.0014421944902283964
वयं,49,0.0014421944902283964
तत,49,0.0014421944902283964
रूपं,48,0.0014127619496114904
तथैव,48,0.0014127619496114904
भव,47,0.0013833294089945845
यदा,47,0.0013833294089945845
पुरा,47,0.0013833294089945845
नो,47,0.0013833294089945845
बलं,46,0.0013538968683776784
यः,45,0.0013244643277607723
राघवं,45,0.0013244643277607723
कामं,45,0.0013244643277607723
को,44,0.0012950317871438662
परमं,44,0.0012950317871438662
भयं,44,0.0012950317871438662
सुखं,43,0.0012655992465269602
दुःखं,43,0.0012655992465269602
हा,43,0.0012655992465269602
माता,42,0.001236166705910054
राजानं,42,0.001236166705910054
सीते,41,0.0012067341652931482
घोरं,41,0.0012067341652931482
तपसा,41,0.0012067341652931482
साधु,41,0.0012067341652931482
वापि,40,0.0011773016246762421
भवति,40,0.0011773016246762421
मनसा,40,0.0011773016246762421
अयं,40,0.0011773016246762421
राघव,39,0.001147869084059336
दशरथो,39,0.001147869084059336
रामाय,38,0.00111843654344243
ददौ,37,0.0010890040028255239
पापं,36,0.0010595714622086178
गते,36,0.0010595714622086178
वाचा,36,0.0010595714622086178
नैव,35,0.001030138921591712
तानि,35,0.001030138921591712
देशं,35,0.001030138921591712
रणे,35,0.001030138921591712
भूतानि,34,0.0010007063809748058
सततं,34,0.0010007063809748058
जीवितं,34,0.0010007063809748058
सदा,34,0.0010007063809748058
लोकेषु,33,0.0009712738403578997
रावणो,33,0.0009712738403578997
चकार,33,0.0009712738403578997
राघवो,33,0.0009712738403578997
अपि,33,0.0009712738403578997
वेगेन,32,0.0009418412997409936
वीरौ,32,0.0009418412997409936
भरतः,32,0.0009418412997409936
रावणेन,32,0.0009418412997409936
वैदेहि,30,0.0008829762185071816
यानि,30,0.0008829762185071816
समरे,29,0.0008535436778902755
अथवा,29,0.0008535436778902755
दुःखेन,28,0.0008241111372733694
वीरो,28,0.0008241111372733694
मैथिली,28,0.0008241111372733694
मातरं,28,0.0008241111372733694
परुषं,27,0.0007946785966564634
केन,27,0.0007946785966564634
शोकेन,27,0.0007946785966564634
तया,27,0.0007946785966564634
सीताया,27,0.0007946785966564634
इह,27,0.0007946785966564634
नः,27,0.0007946785966564634
शोकं,27,0.0007946785966564634
भरत,27,0.0007946785966564634
कुशलं,26,0.0007652460560395574
करुणं,26,0.0007652460560395574
भुवि,26,0.0007652460560395574
यं,26,0.0007652460560395574
हृदयं,26,0.0007652460560395574
दिशं,26,0.0007652460560395574
अहो,26,0.0007652460560395574
पुरी,25,0.0007358135154226513
किल,25,0.0007358135154226513
गतो,25,0.0007358135154226513
पपात,25,0.0007358135154226513
जानामि,25,0.0007358135154226513
वीरः,24,0.0007063809748057452
भूयः,24,0.0007063809748057452
पथि,24,0.0007063809748057452
राघवः,24,0.0007063809748057452
गतिं,24,0.0007063809748057452
देव,24,0.0007063809748057452
शिरसा,24,0.0007063809748057452
मनो,23,0.0006769484341888392
नदीं,23,0.0006769484341888392
तासां,23,0.0006769484341888392
वनानि,23,0.0006769484341888392
नाहं,23,0.0006769484341888392
भूयो,23,0.0006769484341888392
महाराज,23,0.0006769484341888392
कैकेयि,22,0.0006475158935719331
हितं,22,0.0006475158935719331
सोऽहं,22,0.0006475158935719331
तेषु,22,0.0006475158935719331
इयं,22,0.0006475158935719331
गृहं,22,0.0006475158935719331
वचो,22,0.0006475158935719331
वचः,22,0.0006475158935719331
जनपदे,22,0.0006475158935719331
सदृशं,22,0.0006475158935719331
रथं,22,0.0006475158935719331
भारत,22,0.0006475158935719331
पादौ,22,0.0006475158935719331
दश,22,0.0006475158935719331
शृणु,22,0.0006475158935719331
तमुवाच,22,0.0006475158935719331
दिशो,21,0.000618083352955027
वालिनं,21,0.000618083352955027
शरणं,21,0.000618083352955027
कृते,21,0.000618083352955027
दीना,21,0.000618083352955027
बहुधा,21,0.000618083352955027
वरं,21,0.000618083352955027
बहवो,21,0.000618083352955027
पतितं,21,0.000618083352955027
भृशं,21,0.000618083352955027
फलानि,21,0.000618083352955027
मनः,21,0.000618083352955027
का,20,0.0005886508123381211
चिरं,20,0.0005886508123381211
चरणौ,20,0.0005886508123381211
देवीं,20,0.0005886508123381211
कृता,20,0.0005886508123381211
हरयो,20,0.0005886508123381211
पुनरेव,20,0.0005886508123381211
भवता,20,0.0005886508123381211
कुले,19,0.000559218271721215
भवनं,19,0.000559218271721215
इमे,19,0.000559218271721215
एते,19,0.000559218271721215
कालं,19,0.000559218271721215
रूपेण,19,0.000559218271721215
वनेषु,19,0.000559218271721215
हृता,19,0.000559218271721215
वो,18,0.0005297857311043089
नगरी,18,0.0005297857311043089
सेना,18,0.0005297857311043089
याति,18,0.0005297857311043089
भरतेन,18,0.0005297857311043089
देशे,18,0.0005297857311043089
लेभे,18,0.0005297857311043089
ता,18,0.0005297857311043089
फलं,18,0.0005297857311043089
भवतु,18,0.0005297857311043089
ततोऽहं,18,0.0005297857311043089
य,18,0.0005297857311043089
जानकी,18,0.0005297857311043089
निहतं,18,0.0005297857311043089
बाहू,18,0.0005297857311043089
दशरथं,17,0.0005003531904874029
गता,17,0.0005003531904874029
इतीव,17,0.0005003531904874029
वधं,17,0.0005003531904874029
इमां,17,0.0005003531904874029
सागरं,17,0.0005003531904874029
रजनीं,17,0.0005003531904874029
एषा,17,0.0005003531904874029
महीं,17,0.0005003531904874029
जहि,17,0.0005003531904874029
दीनं,17,0.0005003531904874029
नापि,17,0.0005003531904874029
तारा,17,0.0005003531904874029
देवा,17,0.0005003531904874029
कालो,17,0.0005003531904874029
कुरुते,16,0.0004709206498704968
ययौ,16,0.0004709206498704968
वसति,16,0.0004709206498704968
यां,16,0.0004709206498704968
रामेति,16,0.0004709206498704968
धनं,16,0.0004709206498704968
दीनां,16,0.0004709206498704968
विहाय,16,0.0004709206498704968
पूजां,16,0.0004709206498704968
सतां,16,0.0004709206498704968
चाहं,16,0.0004709206498704968
नेह,16,0.0004709206498704968
दिवं,16,0.0004709206498704968
तदिदं,16,0.0004709206498704968
ह,16,0.0004709206498704968
बत,16,0.0004709206498704968
हतो,15,0.0004414881092535908
तथेति,15,0.0004414881092535908
शुभं,15,0.0004414881092535908
पारं,15,0.0004414881092535908
समं,15,0.0004414881092535908
वानरं,15,0.0004414881092535908
कालेन,15,0.0004414881092535908
तावुभौ,15,0.0004414881092535908
शंस,15,0.0004414881092535908
वानरा,15,0.0004414881092535908
भरते,15,0.0004414881092535908
लभते,15,0.0004414881092535908
पृथिवी,15,0.0004414881092535908
पुरुषं,15,0.0004414881092535908
शुशुभे,15,0.0004414881092535908
शतं,15,0.0004414881092535908
हृदि,15,0.0004414881092535908
योगी,14,0.0004120555686366847
तेनैव,14,0.0004120555686366847
ननाद,14,0.0004120555686366847
परमां,14,0.0004120555686366847
सुता,14,0.0004120555686366847
रमते,14,0.0004120555686366847
रावणः,14,0.0004120555686366847
सूतं,14,0.0004120555686366847
येषां,14,0.0004120555686366847
भीरु,14,0.0004120555686366847
विललाप,14,0.0004120555686366847
परां,14,0.0004120555686366847
मधुरं,14,0.0004120555686366847
महतीं,14,0.0004120555686366847
हतं,14,0.0004120555686366847
बाला,13,0.0003826230280197787
बहु,13,0.0003826230280197787
शरीरं,13,0.0003826230280197787
कृतो,13,0.0003826230280197787
कुलं,13,0.0003826230280197787
देहं,13,0.0003826230280197787
यदिदं,13,0.0003826230280197787
नैवं,13,0.0003826230280197787
जातो,13,0.0003826230280197787
पुरं,13,0.0003826230280197787
चैनं,13,0.0003826230280197787
विदितं,13,0.0003826230280197787
मही,13,0.0003826230280197787
युधि,13,0.0003826230280197787
महाभाग,13,0.0003826230280197787
मतिं,13,0.0003826230280197787
भविता,12,0.0003531904874028726
गगनं,12,0.0003531904874028726
निहता,12,0.0003531904874028726
ताः,12,0.0003531904874028726
तेजसा,12,0.0003531904874028726
विविधा,12,0.0003531904874028726
वालिना,12,0.0003531904874028726
हनुमता,12,0.0003531904874028726
भाति,12,0.0003531904874028726
रुधिरं,12,0.0003531904874028726
