ngram,Frequency,Probability
रामेण,120,0.004243281471004243
सीतां,113,0.0039957567185289955
महाते,134,0.004738330975954739
हातेज,134,0.004738330975954739
ातेजा,128,0.004526166902404526
तेषां,93,0.0032885431400282886
वैदेह,189,0.006683168316831683
ैदेही,150,0.005304101838755304
देहीं,75,0.002652050919377652
महाबा,112,0.0039603960396039604
हाबाह,110,0.0038896746817538895
ाबाहो,62,0.0021923620933521925
पितरं,55,0.0019448373408769448
कैकेय,98,0.0034653465346534654
ैकेयी,75,0.002652050919377652
सीतया,52,0.0018387553041018388
पुरीं,52,0.0018387553041018388
रावणं,50,0.001768033946251768
राघवं,46,0.0016265912305516265
दुःखं,45,0.0015912305516265913
राजान,63,0.0022277227722772275
ाजानं,45,0.0015912305516265913
दशरथो,39,0.001379066478076379
रामाय,42,0.0014851485148514852
भूतान,60,0.0021216407355021216
ूतानि,35,0.0012376237623762376
जीवित,49,0.0017326732673267327
ीवितं,35,0.0012376237623762376
राघवो,39,0.001379066478076379
लोकेष,34,0.0012022630834512022
ोकेषु,34,0.0012022630834512022
रावणो,34,0.0012022630834512022
रावणे,39,0.001379066478076379
ावणेन,36,0.001272984441301273
वेगेन,40,0.0014144271570014145
ैदेहि,30,0.0010608203677510608
मैथिल,62,0.0021923620933521925
ैथिली,57,0.0020155586987270157
थिलीं,29,0.0010254596888260256
दुःखे,37,0.0013083451202263083
ुःखेन,29,0.0010254596888260256
मातरं,29,0.0010254596888260256
विविध,66,0.002333804809052334
िविधा,55,0.0019448373408769448
विधान,36,0.001272984441301273
िधानि,28,0.0009900990099009901
शोकेन,28,0.0009900990099009901
सीताय,49,0.0017326732673267327
ीताया,46,0.0016265912305516265
परुषं,27,0.0009547383309759548
करुणं,26,0.0009193776520509194
हृदयं,26,0.0009193776520509194
कुशलं,27,0.0009547383309759548
जानाम,35,0.0012376237623762376
ानामि,39,0.001379066478076379
शिरसा,25,0.000884016973125884
राघवः,24,0.0008486562942008486
तासां,23,0.0008132956152758133
महारा,54,0.0019094766619519095
हाराज,54,0.0019094766619519095
वनानि,29,0.0010254596888260256
सदृशं,24,0.0008486562942008486
जनपदे,22,0.0007779349363507779
तमुवा,25,0.000884016973125884
मुवाच,50,0.001768033946251768
सोऽहं,25,0.000884016973125884
ूताना,27,0.0009547383309759548
तानां,49,0.0017326732673267327
ैकेयि,22,0.0007779349363507779
नाराज,21,0.0007425742574257426
ाराजक,21,0.0007425742574257426
राजके,21,0.0007425742574257426
फलानि,22,0.0007779349363507779
वालिन,47,0.001661951909476662
ालिनं,21,0.0007425742574257426
पतितं,29,0.0010254596888260256
बहुधा,21,0.0007425742574257426
ाबाहु,43,0.0015205091937765204
बाहुः,21,0.0007425742574257426
देवीं,20,0.0007072135785007072
पुनरे,25,0.000884016973125884
ुनरेव,25,0.000884016973125884
केयीं,20,0.0007072135785007072
वनेषु,26,0.0009193776520509194
रूपेण,33,0.001166902404526167
ततोऽह,19,0.0006718528995756719
तोऽहं,26,0.0009193776520509194
भरतेन,19,0.0006718528995756719
निहतं,22,0.0007779349363507779
जानकी,26,0.0009193776520509194
सागरं,17,0.0006011315417256011
दशरथं,17,0.0006011315417256011
रजनीं,17,0.0006011315417256011
दीनां,25,0.000884016973125884
विहाय,18,0.0006364922206506365
रामेत,16,0.0005657708628005657
ामेति,18,0.0006364922206506365
कुरुत,20,0.0007072135785007072
ुरुते,16,0.0005657708628005657
पूजां,16,0.0005657708628005657
तदिदं,16,0.0005657708628005657
तथेति,15,0.0005304101838755304
पृथिव,37,0.0013083451202263083
ृथिवी,37,0.0013083451202263083
शुशुभ,16,0.0005657708628005657
ुशुभे,15,0.0005304101838755304
थिवीं,15,0.0005304101838755304
कालेन,16,0.0005657708628005657
बाहुं,17,0.0006011315417256011
तावुभ,15,0.0005304101838755304
ावुभौ,17,0.0006011315417256011
पुरुष,61,0.002157001414427157
ुरुषं,16,0.0005657708628005657
तेजाः,17,0.0006011315417256011
लोकान,16,0.0005657708628005657
ोकाना,19,0.0006718528995756719
कानां,25,0.000884016973125884
वानरं,15,0.0005304101838755304
वानरा,35,0.0012376237623762376
परमां,14,0.0004950495049504951
महाभा,70,0.0024752475247524753
हाभाग,70,0.0024752475247524753
ाभागा,31,0.0010961810466760963
तायाः,16,0.0005657708628005657
रावणः,14,0.0004950495049504951
मधुरं,14,0.0004950495049504951
येषां,14,0.0004950495049504951
विलला,14,0.0004950495049504951
िललाप,14,0.0004950495049504951
