trigram,frequency,probability
हैं,185630,0.01056086060744946
नही,155273,0.008833790384638798
किय,138874,0.00790081859612636
करन,111380,0.0063366301484551035
पुल,91210,0.005189118655419196
लेक,112173,0.00638174549867709
न्ह,114946,0.00653950699447226
हों,77478,0.004407877811474273
सरक,71766,0.004082910749093454
रका,82867,0.004714468760208557
दिय,91691,0.005216483703914499
पहल,75720,0.0043078616882835374
फिल,73545,0.004184121604131178
लोग,50176,0.0028546126264040518
दिल,56522,0.003215649212165374
ल्ल,60561,0.0034454359707361245
होन,51908,0.00295314955778423
पार,61928,0.0035232073247757913
र्ट,60958,0.0034680220918434745
वाल,95490,0.005432616384233954
बीज,40494,0.0023037843529497303
जेप,40726,0.0023169832952593156
मोद,39755,0.0022617411703342847
माम,57719,0.0032837489274437073
सिं,47238,0.0026874639518111166
कां,49602,0.0028219566225863714
ग्र,74424,0.004234129665726546
बता,53511,0.003044347422104337
ताय,41891,0.002383262466770809
करत,58283,0.0033158360113342503
भार,63403,0.003607123014028541
चुन,49622,0.002823094462440646
गया,32288,0.0018369286607408726
दौर,36591,0.002081734905388047
किस,71869,0.004088770624342968
खिल,37723,0.002146136641139988
दोन,29511,0.001678939596974848
कोर,43439,0.0024713312714916614
जां,25697,0.0014619535367646867
जान,65072,0.0037020757498677547
शुर,33194,0.0018884728061395108
लिय,53103,0.0030211354890771354
साम,34743,0.0019765985028530764
प्र,238691,0.013579606632832619
रदे,23718,0.0013493642831842174
ज्य,40115,0.0022822222877112272
याद,40801,0.002321250194712845
दर्,44464,0.002529645564023233
सबस,21353,0.001214814720416249
मंत,73323,0.00417149158174873
त्र,123685,0.0070366861187975355
यहा,20911,0.001189668459636781
क्य,45229,0.0025731679384492358
पाक,27071,0.00154012313475335
स्त,86674,0.004931056576469722
देन,28538,0.0016235836880643898
नेत,38457,0.002187895363791865
रुप,25481,0.0014496648663385211
शाम,20360,0.0011583209716515164
जार,25170,0.0014319714566045517
काफ,20198,0.0011491044688318925
महि,30406,0.0017298579304536352
हिल,31104,0.0017695685413678178
सकत,51929,0.002954344289631218
मुख,33635,0.001913562174926265
ख्य,32299,0.0018375544726607236
यमं,21404,0.0012177162120446494
बार,33380,0.0018990547167842644
बहु,22672,0.0012898552588056574
राज,83109,0.00472823662244528
हत्,27886,0.0015864901088150389
त्य,36607,0.0020826451772714668
मुत,18243,0.001037880623076553
ताब,19695,0.001120487796496887
वही,18236,0.0010374823791275568
रधा,20328,0.001156500427884677
धान,37669,0.002143064473533447
नमं,17763,0.001010572466573963
जहा,19255,0.0010954553197028464
रती,19852,0.0011294198393529424
पिछ,19365,0.0011017134389013565
गिर,31205,0.0017753146326319044
रफ्,22896,0.0013025990651735326
फ्त,31796,0.001808937800325718
रोप,28624,0.0016284763994377706
कुम,19950,0.0011349952546388879
जात,38040,0.00216417140283024
नका,26284,0.0014953491364876454
कार,113836,0.0064763568825600215
घटन,22877,0.0013015181173119718
वीड,16602,0.0009445208630333241
डिय,46684,0.002655945787847711
लाव,19324,0.0010993808672000935
हाल,26137,0.0014869860135587273
लां,18133,0.0010316225038780426
गां,30201,0.0017181950719473208
मीड,15664,0.0008911561738678465
करी,21711,0.001235182053807764
पूर,60750,0.003456188557359019
वहा,15993,0.0009098736394706632
सवा,21790,0.0012396765212321485
परि,34348,0.0019541261657311537
रिव,20430,0.0011623034111414776
होत,34520,0.001963911588477915
जबक,14027,0.0007980239817954726
जिस,47466,0.002700435326149847
समे,37711,0.0021454539372274236
फीस,14235,0.0008098575162799282
त्त,35889,0.0020417967265030095
ध्य,32417,0.0018442677278009436
यक्,32745,0.0018629283014110465
दिन,15816,0.0008998037567603332
मुझ,15115,0.0008599224698680095
बिह,15010,0.0008539488106330679
सिर,15694,0.0008928629336492584
कोश,14584,0.0008297128217370195
यों,13359,0.0007600201306627018
कहन,14830,0.0008437082519445968
शाद,13751,0.0007823217918064834
होग,35018,0.001992243800849352
पीए,19393,0.0011033064146973408
राह,22716,0.0012923585064850613
बया,14715,0.0008371656727825179
सुर,24320,0.0013836132627978823
रक्,32589,0.001854053150547705
क्ष,85778,0.0048800813509982215
तंक,29055,0.0016529968482973877
जाए,34950,0.0019883751453448183
बाह,14877,0.000846382175602142
विध,35072,0.0019953159684558933
नसभ,13341,0.0007589960747938547
द्व,16199,0.0009215933899696914
वार,39893,0.0022695922653287793
रिप,17733,0.0010088657067925512
पोर,22111,0.0012579388508932555
हमल,25043,0.001424746173529908
मां,28775,0.0016370670903375435
रहन,13751,0.0007823217918064834
लाक,30240,0.0017204138596631563
कपू,11979,0.0006815091807177563
चाह,39004,0.0022190152838062745
हिए,11865,0.0006750234935483911
वक्,16342,0.0009297289449277545
जिल,18164,0.0010333861556521683
जनत,11513,0.0006549975121131587
लोक,18401,0.001046869557925322
कसभ,11351,0.0006457810092935346
फैस,19173,0.0010907901763003206
रिल,14689,0.000835686480971961
सलि,13962,0.0007943260022690803
दूस,24568,0.001397722476990887
केज,11323,0.0006441880334975502
जरी,11468,0.0006524373724410409
रीव,12200,0.0006940823111074903
बना,36065,0.0020518097172206257
नान,16698,0.000949982494333842
जैस,18807,0.0010699677069670958
नरे,13344,0.0007591667507719959
रें,39240,0.0022324417940867147
जवा,25722,0.0014633758365825299
मही,13090,0.0007447161846227088
हीन,13116,0.0007461953764332657
कें,23880,0.0013585807860038415
शेय,11800,0.0006713255140219988
सलम,13896,0.0007905711307499741
लमा,14102,0.0008022908812490023
यूप,12420,0.0007065985495045106
चुक,28648,0.0016298418072629001
मुं,13579,0.0007725363690597221
विर,17560,0.0009990233920530761
सेन,16143,0.0009184074383777226
लगा,44036,0.0025052957911417574
गात,12977,0.0007382873894460574
स्प,25891,0.00147299058335115
पता,10975,0.0006243896200331726
सोश,10162,0.0005781364299569111
दुन,11213,0.00063792991429904
निय,38490,0.002189772799551418
बैठ,17877,0.0010170581537433281
बैं,14291,0.000813043467871897
कंप,15053,0.0008563951663197582
षेत,12810,0.0007287864266628648
पत्,25163,0.0014315732126555555
त्न,9986,0.0005681234392392949
मिल,63471,0.003610991669533075
जरि,11616,0.0006608573873626727
कान,22544,0.0012825730837383
करक,9313,0.0005298351281429554
सुप,14264,0.0008115073840686263
देत,15419,0.000877217635652983
र्र,12516,0.0007120601808050285
रवा,33065,0.0018811337390794397
गाय,14839,0.0008442202798790204
ताओ,17259,0.0009818989022462438
तैय,14631,0.0008323867453945647
सुब,9978,0.0005676683032975851
ट्व,14927,0.0008492267752378285
तेम,8819,0.0005017304837423735
मेर,32169,0.0018301585136079389
रिक,29011,0.0016504936006179836
चर्,12632,0.0007186596519598211
र्च,14884,0.0008467804195511381
मौक,13065,0.0007432938848048656
मौज,13463,0.0007659368979049296
शिक,19798,0.0011263476717464009
काय,13707,0.0007798185441270794
सां,14327,0.0008150915796095912
धाय,12099,0.0006883362198434037
