digram,frequency,probability
की,660338,0.09484322683390363
है,200214,0.028756397204648503
ये,63840,0.009169230910649407
और,373063,0.053582405877499996
का,329899,0.04738283377494249
आज,15304,0.0021980875604100648
हो,100558,0.014442974967310198
यह,70945,0.010189710008709621
पर,311144,0.04468908493833175
हर,17302,0.0024850569112790733
के,1057030,0.15181942590043457
से,439000,0.0630528253410885
इस,175741,0.02524138172726249
हब,100,1.4362830373824259e-05
जो,39674,0.0056983093225110365
को,509093,0.07312016403501313
ही,126516,0.0181712784757475
कि,302135,0.04339513754995392
नए,9782,0.001404972067167489
भी,211223,0.030337601200502815
एक,173695,0.024947518217814046
उन,10120,0.001453518433831015
इन,25541,0.003668410505778454
जब,34227,0.004915965952048829
तो,94261,0.013538547538670485
कर,167026,0.023989661060183708
तक,56693,0.008142719423832188
चल,12449,0.001788028753237382
जा,59297,0.008516727526766571
आम,10299,0.0014792279002001604
ओर,15195,0.002182432075302596
आप,19875,0.0028546125367975715
एच,187,2.6858492799051365e-05
एस,1107,0.00015899653223823453
रह,6519,0.0009363129120696035
गए,33943,0.004875175513787168
ने,448586,0.06442964626072328
आए,10683,0.0015343811688356456
उस,18575,0.002667895741937856
हम,20866,0.00299694818580217
या,22345,0.0032093744470310308
दल,6549,0.0009406217611817507
वे,23562,0.003384170092680472
दे,16278,0.002337981528251113
अब,49817,0.007155131207328031
जल,1641,0.00023569404643445608
दो,30733,0.00441412865878741
था,37761,0.005423548377459778
मे,2215,0.00031813669278020734
तब,10061,0.0014450443639104588
नो,319,4.581742889249939e-05
पा,2633,0.0003781733237427927
आठ,2689,0.0003862165087521343
कई,41184,0.005915188061155783
वो,36423,0.0052313737070580095
वन,1982,0.0002846712980091968
ले,15512,0.002227962247587619
उल,157,2.2549643686904085e-05
कम,16546,0.002376473913652962
वह,45196,0.006491424815753612
बल,2537,0.00036438500658392145
थे,11742,0.0016864835424944445
बन,8733,0.0012543059765460726
फल,534,7.669751419622155e-05
नई,7749,0.0011129757256676419
नौ,1800,0.00025853094672883664
आई,11712,0.0016821746933822971
सा,1291,0.00018542414012607118
शो,11274,0.0016192654963449469
डे,1496,0.00021486794239241092
कह,5580,0.0008014459348593936
गई,47690,0.006849633805276789
तू,176,2.5278581457930694e-05
सब,6608,0.000949095831102307
घर,25402,0.0036484461715588384
दी,37697,0.005414356166020531
थी,16645,0.002390693115723048
ली,7659,0.0011000491783312
रे,235,3.375265137848701e-05
भर,4953,0.0007113909884155156
मत,1127,0.0001618690983129994
मई,5656,0.0008123616859435001
बस,5031,0.0007225939961070985
मन,2557,0.00036725757265868627
ओम,1031,0.0001480807811541281
दम,1981,0.0002845276697054586
गआ,1,1.4362830373824258e-07
गत,256,3.67688457569901e-05
छह,3934,0.0005650337469062463
घट,250,3.590707593456065e-05
ठप,258,3.7056102364466586e-05
मच,1182,0.00016976865501860274
बम,2288,0.00032862155895309905
रच,395,5.6733179976605824e-05
शव,5320,0.0007641025758874506
सी,2359,0.00033881916851851427
मड,8,1.1490264299059407e-06
जी,7186,0.0010321129906630112
ना,7971,0.0011448612090975317
लग,5382,0.0007730075307192216
कप,1719,0.000246897054126039
शक,2655,0.0003813331464250341
एज,146,2.0969732345783417e-05
जज,2163,0.0003106680209858187
दर,2125,0.00030521014544376547
ऐप,2378,0.00034154810628954087
फट,135,1.938982100466275e-05
तय,7402,0.0010631367042704717
सच,2254,0.0003237381966259988
मर,488,7.009061222426238e-05
छू,367,5.271158747193503e-05
सौ,1135,0.00016301812474290534
खत,541,7.770291232238923e-05
पद,6700,0.0009623096350462253
दस,1679,0.0002411519219765093
भय,261,3.748698727568131e-05
कल,2486,0.00035705996309327105
उठ,906,0.00013012724318684778
छल,14,2.010796252335396e-06
बच,1242,0.0001783863532428973
उप,942,0.0001352978621214245
छप,27,3.87796420093255e-06
धो,174,2.499132485045421e-05
आग,4281,0.0006148727683034165
बी,1105,0.00015870927563075806
आर,777,0.00011159919200461449
जन,746,0.00010714671458872898
जय,788,0.00011317910334573516
अल,669,9.608733520088429e-05
आओ,36,5.170618934576733e-06
पल,733,0.00010527954664013182
रन,2448,0.00035160208755121786
..,386,5.544052524296164e-05
खा,830,0.00011921149210274135
ला,1093,0.00015698573598589915
लव,1995,0.00028653846595779397
लत,233,3.3465394771010524e-05
कब,1584,0.00022750723312137626
ब्,12,1.723539644858911e-06
हक,1378,0.00019791980255129827
एल,231,3.317813816353404e-05
खो,799,0.00011475901468685582
डर,3047,0.0004376354414904252
रथ,379,5.443512711679394e-05
नव,92,1.3213803943918318e-05
सर,831,0.00011935512040647958
अप,385,5.5296896939223395e-05
टू,592,8.502795581303961e-05
पे,220,3.159822682241337e-05
हल,815,0.00011705706754666771
फन,101,1.4506458677562501e-05
टल,366,5.2567959168196786e-05
धर,404,5.8025834710250004e-05
डी,725,0.00010413052021022587
छत,504,7.238866508407427e-05
ती,3,4.3088491121472775e-07
टन,524,7.526123115883911e-05
ढह,52,7.468671794388615e-06
हद,1121,0.00016100732849056994
रख,2963,0.0004255706639764128
जे,450,6.463273668220916e-05
यश,341,4.8977251574740724e-05
न.,86,1.2352034121488863e-05
ईद,923,0.0001325689243503979
कट,661,9.493830877097835e-05
रो,220,3.159822682241337e-05
गम,149,2.1400617256998144e-05
रण,180,2.5853094672883666e-05
यू,466,6.693078954202105e-05
मठ,125,1.7953537967280324e-05
गो,253,3.6337960845775375e-05
टफ,48,6.894158579435644e-06
इज,227,3.2603624948581064e-05
सम,51,7.3250434906503715e-06
इट,18,2.5853094672883666e-06
पथ,141,2.0251590827092206e-05
छा,243,3.4901677808392946e-05
ऐड,465,6.67871612382828e-05
जग,84,1.2064777514012376e-05
सह,467,6.707441784575928e-05
जू,16,2.2980528598118814e-06
धन,1498,0.0002151551989998874
एम,742,0.000106572201373776
गं,12,1.723539644858911e-06
घी,228,3.274725325231931e-05
जप,57,8.186813313079828e-06
ओट,19,2.7289377710266093e-06
झा,662,9.508193707471659e-05
लो,376,5.4004242205579215e-05
बह,260,3.734335897194307e-05
छठ,187,2.6858492799051365e-05
कद,330,4.739734023362005e-05
ढक,89,1.2782919032703591e-05
बग,23,3.3034509859795794e-06
दफ,2,2.8725660747648517e-07
गा,230,3.30345098597958e-05
टच,389,5.5871410154176364e-05
आय,1164,0.00016718334555131437
एफ,86,1.2352034121488863e-05
हट,381,5.4722383724270426e-05
आस,293,4.208309299530508e-05
लय,82,1.1777520906535892e-05
बज,273,3.9210526920540226e-05
ऐन,189,2.714574940652785e-05
एड,152,2.1831502168212874e-05
हे,62,8.904954831771041e-06
एप,721,0.0001035560069952729
सो,969,0.00013917582632235706
हग,20,2.872566074764852e-06
रु,47,6.750530275697402e-06
वश,23,3.3034509859795794e-06
दब,47,6.750530275697402e-06
तट,404,5.8025834710250004e-05
भा,103,1.4793715285038987e-05
पी,1168,0.00016775785876626734
शी,412,5.917486114015595e-05
डट,39,5.601503845791461e-06
लद,32,4.596105719623763e-06
कस,189,2.714574940652785e-05
रा,81,1.163389260279765e-05
फर,22,3.1598226822413368e-06
ऐश,113,1.622999832242141e-05
गल,17,2.441681163550124e-06
मो,2,2.8725660747648517e-07
शह,125,1.7953537967280324e-05
हू,31,4.4524774158855205e-06
अन,14,2.010796252335396e-06
पो,75,1.0772122780368195e-05
छे,20,2.872566074764852e-06
ईश,18,2.5853094672883666e-06
हई,10,1.436283037382426e-06
बू,45,6.4632736682209166e-06
दा,85,1.220840581775062e-05
जम,96,1.3788317158871288e-05
ओ.,99,1.4219202070086016e-05
दि,131,1.8815307789709777e-05
गौ,221,3.174185512615161e-05
तन,119,1.7091768144850868e-05
भट,204,2.9300173962601486e-05
खश,3,4.3088491121472775e-07
टी,413,5.931848944389419e-05
वी,431,6.190379891118255e-05
गन,266,3.820512879437253e-05
नर,20,2.872566074764852e-06
ढा,55,7.899556705603342e-06
थक,140,2.010796252335396e-05
गज,108,1.55118568037302e-05
जस,79,1.1346635995321164e-05
तस,76,1.0915751084106437e-05
मऊ,210,3.0161943785030943e-05
टु,74,1.0628494476629951e-05
थम,231,3.317813816353404e-05
थल,21,3.016194378503094e-06
सज,39,5.601503845791461e-06
आन,38,5.4578755420532185e-06
शम,8,1.1490264299059407e-06
कै,4,5.745132149529703e-07
नं,15,2.1544245560736387e-06
डक,40,5.745132149529704e-06
ठन,64,9.192211439247525e-06
पौ,4,5.745132149529703e-07
वल,4,5.745132149529703e-07
मी,82,1.1777520906535892e-05
ऋण,251,3.605070423829889e-05
गप,16,2.2980528598118814e-06
ढल,18,2.5853094672883666e-06
तह,151,2.1687873864474632e-05
डू,24,3.447079289717822e-06
डु,55,7.899556705603342e-06
गइ,4,5.745132149529703e-07
नस,71,1.0197609565415224e-05
डि,48,6.894158579435644e-06
लु,4,5.745132149529703e-07
अथ,8,1.1490264299059407e-06
एन,402,5.773857810277352e-05
बढ,27,3.87796420093255e-06
ठग,230,3.30345098597958e-05
एग,19,2.7289377710266093e-06
घई,205,2.9443802266339732e-05
ऐज,47,6.750530275697402e-06
ए.,290,4.165220808409035e-05
नच,94,1.3501060551394804e-05
मघ,4,5.745132149529703e-07
आल,76,1.0915751084106437e-05
पब,429,6.161654230370607e-05
बे,59,8.474069920556313e-06
हज,146,2.0969732345783417e-05
री,29,4.165220808409035e-06
गऐ,5,7.18141518691213e-07
ऐस,19,2.7289377710266093e-06
टस,18,2.5853094672883666e-06
मस,18,2.5853094672883666e-06
फू,19,2.7289377710266093e-06
शत,27,3.87796420093255e-06
मल,30,4.3088491121472774e-06
शै,5,7.18141518691213e-07
ओड,37,5.3142472383149755e-06
घन,29,4.165220808409035e-06
उर,51,7.3250434906503715e-06
मं,14,2.010796252335396e-06
गे,74,1.0628494476629951e-05
वद,6,8.617698224294555e-07
दू,5,7.18141518691213e-07
भू,39,5.601503845791461e-06
तप,21,3.016194378503094e-06
खल,40,5.745132149529704e-06
मा,27,3.87796420093255e-06
आफ,114,1.6373626626159656e-05
ई.,55,7.899556705603342e-06
नन,309,4.438114585511696e-05
रब,18,2.5853094672883666e-06
आइ,11,1.5799113411206684e-06
यस,218,3.1310970214936884e-05
रस,257,3.6912474060728344e-05
पट,25,3.5907075934560647e-06
डा,49,7.037786883173887e-06
सट,6,8.617698224294555e-07
डब,129,1.8528051182233293e-05
नम,92,1.3213803943918318e-05
जच,19,2.7289377710266093e-06
वध,111,1.5942741714944926e-05
सन,164,2.3555041813071784e-05
नट,14,2.010796252335396e-06
कण,67,9.623096350462254e-06
ईज,47,6.750530275697402e-06
बै,7,1.005398126167698e-06
नभ,7,1.005398126167698e-06
अम,7,1.005398126167698e-06
पच,31,4.4524774158855205e-06
जद,107,1.5368228499991958e-05
पू,7,1.005398126167698e-06
नह,8,1.1490264299059407e-06
आश,8,1.1490264299059407e-06
डल,16,2.2980528598118814e-06
